sw4150B-ms98-a-0002,0.346375,0.576375,yes,B,ny,u-2-1
sw4150B-ms98-a-0004,3.312375,4.062375,[laughter],O,,
sw4150B-ms98-a-0004,4.062375,4.192375,i,B,sd^t,u-4-1
sw4150B-ms98-a-0004,4.192375,4.392375,think,I,sd^t,u-4-1
sw4150B-ms98-a-0004,4.622375,4.652375,w[e]-,I,sd^t,u-4-1
sw4150B-ms98-a-0004,4.652375,4.682375,i,I,sd^t,u-4-1
sw4150B-ms98-a-0004,4.682375,4.822375,think,I,sd^t,u-4-1
sw4150B-ms98-a-0004,4.822375,4.912375,we're,I,sd^t,u-4-1
sw4150B-ms98-a-0004,4.912375,5.042375,going,I,sd^t,u-4-1
sw4150B-ms98-a-0004,5.042375,5.102375,to,I,sd^t,u-4-1
sw4150B-ms98-a-0004,5.102375,5.192375,talk,I,sd^t,u-4-1
sw4150B-ms98-a-0004,5.192375,5.442375,about,I,sd^t,u-4-1
sw4150B-ms98-a-0004,5.442375,5.872375,parents,I,sd^t,u-4-1
sw4150B-ms98-a-0004,5.872375,6.182375,spending,I,sd^t,u-4-1
sw4150B-ms98-a-0004,6.182375,6.432375,time,I,sd^t,u-4-1
sw4150B-ms98-a-0004,6.432375,6.522375,with,I,sd^t,u-4-1
sw4150B-ms98-a-0004,6.522375,6.612375,their,I,sd^t,u-4-1
sw4150B-ms98-a-0004,6.612375,7.072375,children,I,sd^t,u-4-1
sw4150B-ms98-a-0004,7.072375,7.222375,we,B,sd,u-4-2
sw4150B-ms98-a-0004,7.222375,7.442375,have,B,+,u-6-1
sw4150B-ms98-a-0004,7.442375,7.672375,three,I,+,u-6-1
sw4150B-ms98-a-0004,7.672375,8.112375,children,I,+,u-6-1
sw4150B-ms98-a-0004,8.112375,8.212375,who,I,+,u-6-1
sw4150B-ms98-a-0004,8.212375,8.332375,are,I,+,u-6-1
sw4150B-ms98-a-0004,8.332375,8.712375,eleven,I,+,u-6-1
sw4150B-ms98-a-0004,8.712375,8.952375,nine,I,+,u-6-1
sw4150B-ms98-a-0004,8.952375,9.082375,and,I,+,u-6-1
sw4150B-ms98-a-0004,9.082375,9.332375,eight,I,+,u-6-1
sw4150B-ms98-a-0005,10.159875,10.349875,so,B,sd^t,u-6-2
sw4150B-ms98-a-0005,10.349875,10.529875,this,I,sd^t,u-6-2
sw4150B-ms98-a-0005,10.529875,10.639875,is,I,sd^t,u-6-2
sw4150B-ms98-a-0005,10.639875,10.699875,a,I,sd^t,u-6-2
sw4150B-ms98-a-0005,10.699875,10.929875,big,I,sd^t,u-6-2
sw4150B-ms98-a-0005,10.929875,11.169875,issue,I,sd^t,u-6-2
sw4150B-ms98-a-0005,11.169875,11.339875,with,I,sd^t,u-6-2
sw4150B-ms98-a-0005,11.339875,11.528125,us,I,sd^t,u-6-2
sw4150B-ms98-a-0005,11.912250,12.069875,although,I,sd^t,u-6-2
sw4150B-ms98-a-0005,12.069875,12.139875,i,I,sd^t,u-6-2
sw4150B-ms98-a-0005,12.139875,12.319875,don't,I,sd^t,u-6-2
sw4150B-ms98-a-0005,12.319875,12.939875,recall,I,sd^t,u-6-2
sw4150B-ms98-a-0005,12.939875,13.339875,marking,I,sd^t,u-6-2
sw4150B-ms98-a-0005,13.339875,13.439875,it,I,sd^t,u-6-2
sw4150B-ms98-a-0005,13.439875,13.589875,on,I,sd^t,u-6-2
sw4150B-ms98-a-0005,13.589875,13.739875,my,I,sd^t,u-6-2
sw4150B-ms98-a-0005,13.739875,14.009875,little,I,sd^t,u-6-2
sw4150B-ms98-a-0005,14.169875,14.419875,things,I,sd^t,u-6-2
sw4150B-ms98-a-0005,14.419875,14.509875,to,I,sd^t,u-6-2
sw4150B-ms98-a-0005,14.509875,14.749875,talk,I,sd^t,u-6-2
sw4150B-ms98-a-0005,14.749875,15.109875,about,I,sd^t,u-6-2
sw4150B-ms98-a-0005,15.109875,15.349875,but,B,sd,u-6-3
sw4150B-ms98-a-0005,15.349875,16.149875,[laughter],O,,
sw4150B-ms98-a-0005,16.149875,16.529875,perhaps,B,+,u-8-1
sw4150B-ms98-a-0005,16.529875,16.939875,they,I,+,u-8-1
sw4150B-ms98-a-0005,16.939875,17.089875,are,I,+,u-8-1
sw4150B-ms98-a-0005,17.089875,17.389875,looking,I,+,u-8-1
sw4150B-ms98-a-0005,17.389875,17.789875,for,I,+,u-8-1
sw4150B-ms98-a-0005,18.049875,18.079875,uh,I,+,u-8-1
sw4150B-ms98-a-0005,18.079875,18.259875,words,I,+,u-8-1
sw4150B-ms98-a-0005,18.259875,18.339875,to,I,+,u-8-1
sw4150B-ms98-a-0005,18.889875,19.009875,be,I,+,u-8-1
sw4150B-ms98-a-0005,19.009875,19.349875,said,I,+,u-8-1
sw4150B-ms98-a-0005,19.349875,20.169875,like,I,+,u-8-1
sw4150B-ms98-a-0005,20.169875,20.339875,day,I,+,u-8-1
sw4150B-ms98-a-0005,20.339875,20.839875,care,I,+,u-8-1
sw4150B-ms98-a-0005,20.839875,21.029875,and,I,+,u-8-1
sw4150B-ms98-a-0005,21.709875,22.279875,quality,I,+,u-8-1
sw4150B-ms98-a-0005,22.279875,23.109875,time,I,+,u-8-1
sw4150B-ms98-a-0005,23.109875,23.369875,and,B,%,u-8-2
sw4150B-ms98-a-0006,24.038500,24.339500,anyway,B,h,u-10-1
sw4150B-ms98-a-0006,24.718500,24.938500,you,B,qy^d,u-10-2
sw4150B-ms98-a-0006,24.938500,25.108500,don't,I,qy^d,u-10-2
sw4150B-ms98-a-0006,25.108500,25.208500,have,I,qy^d,u-10-2
sw4150B-ms98-a-0006,25.208500,25.568500,children,I,qy^d,u-10-2
sw4150B-ms98-a-0007,26.715250,26.845250,but,B,qy^d,u-12-1
sw4150B-ms98-a-0007,26.845250,26.935250,you're,I,qy^d,u-12-1
sw4150B-ms98-a-0007,26.935250,27.345250,married,I,qy^d,u-12-1
sw4150B-ms98-a-0009,31.347750,31.567750,oh,B,b,u-14-1
sw4150B-ms98-a-0010,33.352375,33.432375,you,B,sd^t,u-16-1
sw4150B-ms98-a-0010,33.432375,33.582375,know,I,sd^t,u-16-1
sw4150B-ms98-a-0010,33.582375,33.642375,i,I,sd^t,u-16-1
sw4150B-ms98-a-0010,33.642375,33.832375,know,I,sd^t,u-16-1
sw4150B-ms98-a-0010,33.832375,33.932375,we're,I,sd^t,u-16-1
sw4150B-ms98-a-0010,33.932375,34.062375,not,I,sd^t,u-16-1
sw4150B-ms98-a-0010,34.062375,34.242375,supposed,I,sd^t,u-16-1
sw4150B-ms98-a-0010,34.242375,34.302375,to,I,sd^t,u-16-1
sw4150B-ms98-a-0010,34.302375,34.442375,do,I,sd^t,u-16-1
sw4150B-ms98-a-0010,34.442375,34.652375,this,I,sd^t,u-16-1
sw4150B-ms98-a-0010,34.652375,34.822375,long,I,sd^t,u-16-1
sw4150B-ms98-a-0010,34.822375,35.162375,distance,I,sd^t,u-16-1
sw4150B-ms98-a-0010,35.162375,35.412375,but,B,sd,u-16-2
sw4150B-ms98-a-0010,35.412375,35.732375,actually,I,sd,u-16-2
sw4150B-ms98-a-0010,35.732375,35.832375,i'm,I,sd,u-16-2
sw4150B-ms98-a-0010,35.832375,36.032375,getting,I,sd,u-16-2
sw4150B-ms98-a-0010,36.032375,36.062375,a,I,sd,u-16-2
sw4150B-ms98-a-0010,36.062375,36.352375,call,I,sd,u-16-2
sw4150B-ms98-a-0010,36.352375,36.432375,i,B,sd,u-16-3
sw4150B-ms98-a-0010,36.432375,36.652375,wonder,I,sd,u-16-3
sw4150B-ms98-a-0010,36.652375,36.752375,if,I,sd,u-16-3
sw4150B-ms98-a-0010,36.752375,36.812375,i,I,sd,u-16-3
sw4150B-ms98-a-0010,36.812375,36.922375,could,I,sd,u-16-3
sw4150B-ms98-a-0010,36.922375,37.352375,possibly,I,sd,u-16-3
sw4150B-ms98-a-0010,37.352375,37.612375,take,I,sd,u-16-3
sw4150B-ms98-a-0010,37.612375,37.702375,it,I,sd,u-16-3
sw4150B-ms98-a-0010,37.702375,37.792375,on,I,sd,u-16-3
sw4150B-ms98-a-0010,37.792375,38.102375,call,I,sd,u-16-3
sw4150B-ms98-a-0010,38.102375,38.482375,waiting,I,sd,u-16-3
sw4150B-ms98-a-0010,38.592375,38.742375,could,B,ad,u-16-4
sw4150B-ms98-a-0010,38.742375,38.822375,i,I,ad,u-16-4
sw4150B-ms98-a-0010,38.822375,39.102375,ask,I,ad,u-16-4
sw4150B-ms98-a-0010,39.102375,39.192375,you,I,ad,u-16-4
sw4150B-ms98-a-0010,39.192375,39.272375,to,I,ad,u-16-4
sw4150B-ms98-a-0010,39.272375,39.502375,hold,I,ad,u-16-4
sw4150B-ms98-a-0010,39.502375,39.702375,one,I,ad,u-16-4
sw4150B-ms98-a-0010,39.702375,39.982375,minute,I,ad,u-16-4
sw4150B-ms98-a-0010,40.430750,40.532500,i'll,B,sd,u-18-1
sw4150B-ms98-a-0010,40.532500,40.702375,be,I,sd,u-18-1
sw4150B-ms98-a-0010,40.702375,40.912375,right,I,sd,u-18-1
sw4150B-ms98-a-0010,40.912375,41.142375,back,I,sd,u-18-1
sw4150B-ms98-a-0010,41.142375,41.432375,excuse,B,co,u-18-2
sw4150B-ms98-a-0010,41.432375,41.502375,me,I,co,u-18-2
sw4150B-ms98-a-0010,41.502375,41.682375,just,B,+,u-20-1
sw4150B-ms98-a-0010,41.682375,41.722375,a,I,+,u-20-1
sw4150B-ms98-a-0010,41.722375,42.012375,moment,I,+,u-20-1
sw4150B-ms98-a-0010,42.012375,42.102375,they're,B,sd,u-20-2
sw4150B-ms98-a-0010,42.102375,42.222375,gonna,I,sd,u-20-2
sw4150B-ms98-a-0010,42.222375,42.342375,get,I,sd,u-20-2
sw4150B-ms98-a-0010,42.342375,42.522375,mad,I,sd,u-20-2
sw4150B-ms98-a-0012,58.968375,59.349875,hello,B,fp,u-22-1
sw4150B-ms98-a-0012,59.941125,60.153500,i'm,B,fa,u-24-1
sw4150B-ms98-a-0012,60.153500,60.333500,so,I,fa,u-24-1
sw4150B-ms98-a-0012,60.333500,60.693500,sorry,I,fa,u-24-1
sw4150B-ms98-a-0012,61.243500,61.343500,that,B,sd,u-26-1
sw4150B-ms98-a-0012,61.343500,61.443500,was,I,sd,u-26-1
sw4150B-ms98-a-0012,61.443500,61.563500,my,I,sd,u-26-1
sw4150B-ms98-a-0012,61.563500,61.943500,daughter's,I,sd,u-26-1
sw4150B-ms98-a-0012,61.943500,62.323500,Brownie,I,sd,u-26-1
sw4150B-ms98-a-0012,62.323500,62.603500,leader,I,sd,u-26-1
sw4150B-ms98-a-0012,62.603500,62.833500,telling,I,sd,u-26-1
sw4150B-ms98-a-0012,62.833500,62.923500,me,I,sd,u-26-1
sw4150B-ms98-a-0012,62.923500,63.053500,that,I,sd,u-26-1
sw4150B-ms98-a-0012,63.053500,63.153500,there,I,sd,u-26-1
sw4150B-ms98-a-0012,63.153500,63.233500,is,I,sd,u-26-1
sw4150B-ms98-a-0012,63.233500,63.283500,a,I,sd,u-26-1
sw4150B-ms98-a-0012,63.283500,63.563500,meeting,I,sd,u-26-1
sw4150B-ms98-a-0012,63.563500,64.353500,tomorrow,I,sd,u-26-1
sw4150B-ms98-a-0012,64.353500,64.693500,Brownie,B,+,u-28-1
sw4150B-ms98-a-0012,64.693500,65.203500,meeting,I,+,u-28-1
sw4150B-ms98-a-0014,67.115375,67.915375,[laughter],O,,
sw4150B-ms98-a-0016,70.008875,70.168875,well,B,sd^t,u-32-1
sw4150B-ms98-a-0016,70.168875,70.238875,i,I,sd^t,u-32-1
sw4150B-ms98-a-0016,70.238875,70.378875,don't,I,sd^t,u-32-1
sw4150B-ms98-a-0016,70.378875,70.508875,wanna,I,sd^t,u-32-1
sw4150B-ms98-a-0016,70.828875,70.858875,i,I,sd^t,u-32-1
sw4150B-ms98-a-0016,70.858875,71.018875,don't,I,sd^t,u-32-1
sw4150B-ms98-a-0016,71.018875,71.148875,want,I,sd^t,u-32-1
sw4150B-ms98-a-0016,71.148875,71.238875,this,I,sd^t,u-32-1
sw4150B-ms98-a-0016,71.238875,71.308875,to,I,sd^t,u-32-1
sw4150B-ms98-a-0016,71.308875,71.398875,be,I,sd^t,u-32-1
sw4150B-ms98-a-0016,71.398875,71.428875,a,I,sd^t,u-32-1
sw4150B-ms98-a-0016,71.428875,72.008875,[laughter-unilateral],O,,
sw4150B-ms98-a-0016,72.008875,72.838875,[laughter-conversation],O,,
sw4150B-ms98-a-0016,72.838875,72.948875,but,B,ny,u-32-2
sw4150B-ms98-a-0016,73.478875,73.758875,yes,I,ny,u-32-2
sw4150B-ms98-a-0016,73.758875,73.848875,we,B,sd^e,u-32-3
sw4150B-ms98-a-0016,73.848875,74.118875,do,I,sd^e,u-32-3
sw4150B-ms98-a-0016,74.118875,74.318875,both,B,sd,u-34-1
sw4150B-ms98-a-0016,74.318875,74.408875,my,I,sd,u-34-1
sw4150B-ms98-a-0016,74.408875,74.728875,husband,I,sd,u-34-1
sw4150B-ms98-a-0016,74.728875,74.818875,and,I,sd,u-34-1
sw4150B-ms98-a-0016,74.818875,74.908875,i,I,sd,u-34-1
sw4150B-ms98-a-0016,74.908875,75.238875,work,I,sd,u-34-1
sw4150B-ms98-a-0016,75.358875,75.618875,and,B,sd,u-34-2
sw4150B-ms98-a-0016,75.618875,75.738875,our,I,sd,u-34-2
sw4150B-ms98-a-0016,75.738875,76.208875,children,I,sd,u-34-2
sw4150B-ms98-a-0016,76.208875,76.428875,are,I,sd,u-34-2
sw4150B-ms98-a-0016,76.688875,77.018875,sixth,I,sd,u-34-2
sw4150B-ms98-a-0016,77.018875,77.278875,fourth,I,sd,u-34-2
sw4150B-ms98-a-0016,77.278875,77.428875,and,I,sd,u-34-2
sw4150B-ms98-a-0016,77.428875,77.668875,third,I,sd,u-34-2
