sw3926B-ms98-a-0002,0.484750,0.902000,yes,B,o,u-2-1
sw3926B-ms98-a-0004,16.343125,16.671875,yeah,B,ny,u-4-1
sw3926B-ms98-a-0006,18.073750,18.364250,well,B,sd,u-6-1
sw3926B-ms98-a-0006,18.364250,18.503125,as,I,sd,u-6-1
sw3926B-ms98-a-0006,18.503125,18.687250,i,I,sd,u-6-1
sw3926B-ms98-a-0006,18.687250,18.840375,look,I,sd,u-6-1
sw3926B-ms98-a-0006,18.840375,18.920375,at,I,sd,u-6-1
sw3926B-ms98-a-0006,18.920375,19.010375,our,I,sd,u-6-1
sw3926B-ms98-a-0006,19.010375,19.340375,trial,I,sd,u-6-1
sw3926B-ms98-a-0006,19.340375,19.830375,systems,I,sd,u-6-1
sw3926B-ms98-a-0006,19.830375,19.910375,i,B,sv,u-6-2
sw3926B-ms98-a-0006,19.910375,20.090375,think,I,sv,u-6-2
sw3926B-ms98-a-0006,20.090375,20.250375,they've,I,sv,u-6-2
sw3926B-ms98-a-0006,20.250375,20.470375,gotten,I,sv,u-6-2
sw3926B-ms98-a-0006,20.470375,20.560375,to,I,sv,u-6-2
sw3926B-ms98-a-0006,20.560375,20.660375,be,I,sv,u-6-2
sw3926B-ms98-a-0006,20.660375,20.940375,quite,I,sv,u-6-2
sw3926B-ms98-a-0006,20.940375,21.000375,a,I,sv,u-6-2
sw3926B-ms98-a-0006,21.000375,21.470375,joke,I,sv,u-6-2
sw3926B-ms98-a-0006,21.660375,21.750375,the,I,sv,u-6-2
sw3926B-ms98-a-0006,21.750375,21.920375,way,I,sv,u-6-2
sw3926B-ms98-a-0006,21.920375,22.040375,that,I,sv,u-6-2
sw3926B-ms98-a-0006,22.040375,22.310375,people,I,sv,u-6-2
sw3926B-ms98-a-0006,22.310375,22.483375,can,I,sv,u-6-2
sw3926B-ms98-a-0006,22.483375,23.071000,appeal,I,sv,u-6-2
sw3926B-ms98-a-0006,23.071000,23.400375,and,I,sv,u-6-2
sw3926B-ms98-a-0006,23.400375,23.680375,file,I,sv,u-6-2
sw3926B-ms98-a-0006,23.680375,23.800375,for,I,sv,u-6-2
sw3926B-ms98-a-0006,23.800375,24.560375,mistrials,I,sv,u-6-2
sw3926B-ms98-a-0006,24.560375,24.940375,and,B,sv,u-6-3
sw3926B-ms98-a-0006,25.300375,25.430375,they've,I,sv,u-6-3
sw3926B-ms98-a-0006,25.430375,25.850375,taken,I,sv,u-6-3
sw3926B-ms98-a-0006,25.850375,25.900375,a,I,sv,u-6-3
sw3926B-ms98-a-0006,25.900375,26.140375,lot,I,sv,u-6-3
sw3926B-ms98-a-0006,26.140375,26.230375,of,I,sv,u-6-3
sw3926B-ms98-a-0006,26.230375,26.360375,the,I,sv,u-6-3
sw3926B-ms98-a-0006,26.360375,26.600375,things,I,sv,u-6-3
sw3926B-ms98-a-0006,26.600375,26.740375,that,I,sv,u-6-3
sw3926B-ms98-a-0006,26.740375,26.890375,that,I,sv,u-6-3
sw3926B-ms98-a-0006,26.890375,27.020375,were,I,sv,u-6-3
sw3926B-ms98-a-0006,27.020375,27.280375,set,I,sv,u-6-3
sw3926B-ms98-a-0006,27.280375,27.420375,up,I,sv,u-6-3
sw3926B-ms98-a-0006,27.420375,27.560375,to,I,sv,u-6-3
sw3926B-ms98-a-0006,27.560375,27.800375,make,I,sv,u-6-3
sw3926B-ms98-a-0006,27.800375,27.910375,it,I,sv,u-6-3
sw3926B-ms98-a-0006,27.910375,28.050375,be,I,sv,u-6-3
sw3926B-ms98-a-0006,28.050375,28.170375,a,I,sv,u-6-3
sw3926B-ms98-a-0006,28.170375,28.380375,fair,I,sv,u-6-3
sw3926B-ms98-a-0006,28.380375,28.893000,system,I,sv,u-6-3
sw3926B-ms98-a-0007,29.341875,29.561875,and,I,sv,u-6-3
