sw2102A-ms98-a-0002,0.524750,1.013875,okay,B,o,u-1-1
sw2102A-ms98-a-0002,1.728750,1.918750,well,B,sd,u-1-2
sw2102A-ms98-a-0002,2.103250,2.265875,my,I,sd,u-1-2
sw2102A-ms98-a-0002,2.265875,2.765875,favorite,I,sd,u-1-2
sw2102A-ms98-a-0002,2.765875,3.175875,probably,I,sd,u-1-2
sw2102A-ms98-a-0002,3.495875,3.655875,all,I,sd,u-1-2
sw2102A-ms98-a-0002,3.655875,3.985875,time,I,sd,u-1-2
sw2102A-ms98-a-0002,3.985875,4.345875,TV,I,sd,u-1-2
sw2102A-ms98-a-0002,4.345875,4.715875,show,I,sd,u-1-2
sw2102A-ms98-a-0002,4.715875,5.027125,is,I,sd,u-1-2
sw2102A-ms98-a-0002,5.027125,5.313000,Star,I,sd,u-1-2
sw2102A-ms98-a-0002,5.313000,5.594250,Trek,I,sd,u-1-2
sw2102A-ms98-a-0003,6.501625,6.720250,and,B,sd,u-1-3
sw2102A-ms98-a-0003,6.720250,6.801250,i,I,sd,u-1-3
sw2102A-ms98-a-0003,6.801250,6.983000,would,I,sd,u-1-3
sw2102A-ms98-a-0003,6.983000,7.263000,[vocalized-noise],I,sd,u-1-3
sw2102A-ms98-a-0003,7.263000,7.490250,like,I,sd,u-1-3
sw2102A-ms98-a-0003,7.490250,7.655875,that,I,sd,u-1-3
sw2102A-ms98-a-0003,7.655875,7.899000,i,B,sd,u-1-4
sw2102A-ms98-a-0003,7.899000,8.015750,i,I,sd,u-1-4
sw2102A-ms98-a-0003,8.015750,8.193000,like,I,sd,u-1-4
sw2102A-ms98-a-0003,8.193000,8.283000,the,I,sd,u-1-4
sw2102A-ms98-a-0003,8.283000,8.798375,adventure,I,sd,u-1-4
sw2102A-ms98-a-0003,8.798375,8.972875,of,I,sd,u-1-4
sw2102A-ms98-a-0003,8.972875,9.143750,it,I,sd,u-1-4
sw2102A-ms98-a-0004,9.993625,10.385625,and,B,+,u-3-1
sw2102A-ms98-a-0004,10.385625,10.499625,the,I,+,u-3-1
sw2102A-ms98-a-0004,10.499625,10.903125,idea,I,+,u-3-1
sw2102A-ms98-a-0004,10.903125,11.123125,that,I,+,u-3-1
sw2102A-ms98-a-0004,11.123125,11.450500,that,I,+,u-3-1
sw2102A-ms98-a-0004,11.821875,11.923500,we,I,+,u-3-1
sw2102A-ms98-a-0004,11.923500,12.063125,would,I,+,u-3-1
sw2102A-ms98-a-0004,12.063125,12.583125,survive,I,+,u-3-1
sw2102A-ms98-a-0004,12.583125,12.803125,long,I,+,u-3-1
sw2102A-ms98-a-0004,12.803125,13.023125,enough,I,+,u-3-1
sw2102A-ms98-a-0004,13.023125,13.183125,to,I,+,u-3-1
sw2102A-ms98-a-0004,13.183125,13.393125,get,I,+,u-3-1
sw2102A-ms98-a-0004,13.393125,13.483125,to,I,+,u-3-1
sw2102A-ms98-a-0004,13.483125,13.683125,that,I,+,u-3-1
sw2102A-ms98-a-0004,13.683125,14.103125,point,I,+,u-3-1
sw2102A-ms98-a-0004,14.103125,14.243125,and,I,+,u-3-1
sw2102A-ms98-a-0004,14.243125,14.343125,be,I,+,u-3-1
sw2102A-ms98-a-0004,14.343125,14.533125,able,I,+,u-3-1
sw2102A-ms98-a-0004,14.533125,14.663125,to,I,+,u-3-1
sw2102A-ms98-a-0004,14.663125,14.803125,do,I,+,u-3-1
sw2102A-ms98-a-0004,14.803125,14.983125,these,I,+,u-3-1
sw2102A-ms98-a-0004,14.983125,15.583125,fantastic,I,+,u-3-1
sw2102A-ms98-a-0004,15.583125,15.873125,things,I,+,u-3-1
sw2102A-ms98-a-0004,15.873125,16.034750,in,I,+,u-3-1
sw2102A-ms98-a-0004,16.034750,16.492375,space,I,+,u-3-1
sw2102A-ms98-a-0005,17.310500,17.421875,and,B,sd,u-5-1
sw2102A-ms98-a-0005,17.421875,17.531875,then,I,sd,u-5-1
sw2102A-ms98-a-0005,17.531875,17.632875,i,I,sd,u-5-1
sw2102A-ms98-a-0005,17.632875,17.796750,like,I,sd,u-5-1
sw2102A-ms98-a-0005,17.796750,17.907375,the,I,sd,u-5-1
sw2102A-ms98-a-0005,17.907375,18.171875,they,B,sd,u-5-2
sw2102A-ms98-a-0005,18.171875,18.281875,have,I,sd,u-5-2
sw2102A-ms98-a-0005,18.281875,18.351875,a,I,sd,u-5-2
sw2102A-ms98-a-0005,18.351875,18.531875,new,I,sd,u-5-2
sw2102A-ms98-a-0005,18.531875,18.721875,one,I,sd,u-5-2
sw2102A-ms98-a-0005,18.721875,19.071875,now,I,sd,u-5-2
sw2102A-ms98-a-0005,19.071875,19.301875,the,B,sd,u-5-3
sw2102A-ms98-a-0005,19.301875,19.531875,Star,I,sd,u-5-3
sw2102A-ms98-a-0005,19.531875,19.781875,Trek,I,sd,u-5-3
sw2102A-ms98-a-0005,19.781875,19.851875,the,I,sd,u-5-3
sw2102A-ms98-a-0005,19.851875,20.101875,Next,I,sd,u-5-3
sw2102A-ms98-a-0005,20.101875,20.696875,Generation,I,sd,u-5-3
sw2102A-ms98-a-0005,21.279375,21.659750,which,B,+,u-7-1
sw2102A-ms98-a-0005,21.855750,22.078000,it's,I,+,u-7-1
sw2102A-ms98-a-0005,22.078000,22.161875,an,I,+,u-7-1
sw2102A-ms98-a-0005,22.161875,22.311875,all,I,+,u-7-1
sw2102A-ms98-a-0005,22.311875,22.461875,new,I,+,u-7-1
sw2102A-ms98-a-0005,22.461875,22.852375,cast,I,+,u-7-1
sw2102A-ms98-a-0005,22.944125,23.008125,but,I,+,u-7-1
sw2102A-ms98-a-0005,23.008125,23.161875,kind,I,+,u-7-1
sw2102A-ms98-a-0005,23.161875,23.231875,of,I,+,u-7-1
sw2102A-ms98-a-0005,23.231875,23.341875,the,I,+,u-7-1
sw2102A-ms98-a-0005,23.341875,23.601875,same,I,+,u-7-1
sw2102A-ms98-a-0005,23.601875,23.971875,idea,I,+,u-7-1
sw2102A-ms98-a-0005,23.971875,24.261875,going,I,+,u-7-1
sw2102A-ms98-a-0005,24.261875,24.471875,out,I,+,u-7-1
sw2102A-ms98-a-0005,24.471875,24.561875,to,I,+,u-7-1
sw2102A-ms98-a-0005,24.561875,24.731875,new,I,+,u-7-1
sw2102A-ms98-a-0005,24.731875,25.301875,places,I,+,u-7-1
sw2102A-ms98-a-0005,25.301875,25.662500,and,I,+,u-7-1
