sw3965A-ms98-a-0002,0.906375,1.512625,okay,B,b^m,u-2-1
sw3965A-ms98-a-0002,1.512625,1.622625,do,B,qy,u-2-2
sw3965A-ms98-a-0002,1.622625,1.932625,you,I,qy,u-2-2
sw3965A-ms98-a-0002,1.932625,2.122625,uh,I,qy,u-2-2
sw3965A-ms98-a-0002,2.122625,2.312625,do,I,qy,u-2-2
sw3965A-ms98-a-0002,2.312625,2.482625,any,I,qy,u-2-2
sw3965A-ms98-a-0002,2.482625,3.114500,woodworking,I,qy,u-2-2
sw3965A-ms98-a-0004,5.727000,6.007375,oh,B,qo,u-4-1
sw3965A-ms98-a-0004,6.291375,6.864875,um,I,qo,u-4-1
sw3965A-ms98-a-0004,7.098375,7.277000,what,I,qo,u-4-1
sw3965A-ms98-a-0004,7.277000,7.337000,do,I,qo,u-4-1
sw3965A-ms98-a-0004,7.337000,7.437000,you,I,qo,u-4-1
sw3965A-ms98-a-0004,7.437000,7.697000,do,I,qo,u-4-1
sw3965A-ms98-a-0004,7.697000,7.917000,for,B,qy,u-4-2
sw3965A-ms98-a-0004,7.917000,7.957000,a,I,qy,u-4-2
sw3965A-ms98-a-0004,7.957000,8.367000,hobby,I,qy,u-4-2
sw3965A-ms98-a-0004,8.367000,8.517000,or,I,qy,u-4-2
sw3965A-ms98-a-0004,8.517000,8.939875,for,I,qy,u-4-2
sw3965A-ms98-a-0006,11.012500,11.596125,um-hum,B,b,u-6-1
sw3965A-ms98-a-0008,21.470250,22.132250,um-hum,B,b,u-8-1
sw3965A-ms98-a-0010,32.128625,32.468625,well,B,nd,u-10-1
sw3965A-ms98-a-0010,32.468625,32.678625,i'm,I,nd,u-10-1
sw3965A-ms98-a-0010,32.678625,32.898625,not,I,nd,u-10-1
sw3965A-ms98-a-0010,32.898625,32.978625,the,I,nd,u-10-1
sw3965A-ms98-a-0010,32.978625,33.168625,one,I,nd,u-10-1
sw3965A-ms98-a-0010,33.168625,33.308625,that,I,nd,u-10-1
sw3965A-ms98-a-0010,33.308625,33.598625,cuts,I,nd,u-10-1
sw3965A-ms98-a-0010,33.598625,33.738625,them_1,I,nd,u-10-1
sw3965A-ms98-a-0010,33.738625,34.028625,out,I,nd,u-10-1
sw3965A-ms98-a-0010,34.028625,34.248625,my,B,nd,u-10-2
sw3965A-ms98-a-0010,34.248625,34.618625,husband,I,nd,u-10-2
sw3965A-ms98-a-0010,34.618625,34.878625,cuts,I,nd,u-10-2
sw3965A-ms98-a-0010,34.878625,35.018625,them_1,I,nd,u-10-2
sw3965A-ms98-a-0010,35.018625,35.432375,out,I,nd,u-10-2
sw3965A-ms98-a-0010,35.771250,36.228625,but,B,sd,u-12-1
sw3965A-ms98-a-0010,36.228625,36.593125,um,I,sd,u-12-1
sw3965A-ms98-a-0011,37.197375,37.551625,he,I,sd,u-12-1
sw3965A-ms98-a-0011,37.551625,38.001625,likes,I,sd,u-12-1
sw3965A-ms98-a-0011,38.001625,38.481625,using,I,sd,u-12-1
sw3965A-ms98-a-0011,38.481625,38.957125,the,I,sd,u-12-1
sw3965A-ms98-a-0011,38.957125,39.441000,little,I,sd,u-12-1
sw3965A-ms98-a-0011,40.058625,40.461625,band,I,sd,u-12-1
sw3965A-ms98-a-0011,40.461625,40.821625,saws,I,sd,u-12-1
sw3965A-ms98-a-0011,40.821625,40.971625,and,I,sd,u-12-1
sw3965A-ms98-a-0011,40.971625,41.201625,jig,I,sd,u-12-1
sw3965A-ms98-a-0011,41.201625,41.582125,saws,I,sd,u-12-1
sw3965A-ms98-a-0011,41.778000,42.241625,more,B,+,u-14-1
sw3965A-ms98-a-0011,42.241625,42.411625,than,I,+,u-14-1
sw3965A-ms98-a-0011,42.411625,42.501625,the,I,+,u-14-1
sw3965A-ms98-a-0011,42.501625,42.891625,stroll,I,+,u-14-1
sw3965A-ms98-a-0011,42.891625,43.161625,saw,I,+,u-14-1
sw3965A-ms98-a-0011,43.161625,43.551625,because,I,+,u-14-1
sw3965A-ms98-a-0011,43.551625,43.681625,the,I,+,u-14-1
sw3965A-ms98-a-0011,43.681625,43.981625,stroll,I,+,u-14-1
sw3965A-ms98-a-0011,43.981625,44.271625,saw,I,+,u-14-1
sw3965A-ms98-a-0011,44.271625,44.616500,is,I,+,u-14-1
sw3965A-ms98-a-0012,45.379750,45.609750,is,I,+,u-14-1
sw3965A-ms98-a-0012,45.609750,45.689750,a,I,+,u-14-1
sw3965A-ms98-a-0012,45.689750,45.909750,lot,I,+,u-14-1
sw3965A-ms98-a-0012,45.909750,46.551625,slower,I,+,u-14-1
sw3965A-ms98-a-0013,47.708375,48.162250,and,B,sd,u-16-1
sw3965A-ms98-a-0013,48.162250,48.452250,then,I,sd,u-16-1
sw3965A-ms98-a-0013,48.452250,48.772250,um,I,sd,u-16-1
sw3965A-ms98-a-0013,48.772250,49.062250,he's,I,sd,u-16-1
sw3965A-ms98-a-0013,49.062250,49.302250,got,I,sd,u-16-1
sw3965A-ms98-a-0013,49.302250,49.382250,a,I,sd,u-16-1
sw3965A-ms98-a-0013,49.382250,49.872250,router,I,sd,u-16-1
sw3965A-ms98-a-0013,49.872250,50.042250,but,B,sd,u-16-2
sw3965A-ms98-a-0013,50.042250,50.212250,now,I,sd,u-16-2
sw3965A-ms98-a-0013,50.212250,50.312250,he,I,sd,u-16-2
sw3965A-ms98-a-0013,50.312250,50.622250,wants,I,sd,u-16-2
sw3965A-ms98-a-0013,50.622250,50.682250,a,I,sd,u-16-2
sw3965A-ms98-a-0013,50.682250,51.132250,plunge,I,sd,u-16-2
sw3965A-ms98-a-0013,51.132250,51.670875,router,I,sd,u-16-2
sw3965A-ms98-a-0014,52.253750,53.105375,[laughter],O,,
sw3965A-ms98-a-0015,53.535000,53.675000,but,B,sd,u-20-1
sw3965A-ms98-a-0015,53.675000,54.025000,anyhow,I,sd,u-20-1
sw3965A-ms98-a-0015,54.025000,54.175000,he,I,sd,u-20-1
sw3965A-ms98-a-0015,54.175000,54.505000,cuts,I,sd,u-20-1
sw3965A-ms98-a-0015,54.505000,54.665000,them_1,I,sd,u-20-1
sw3965A-ms98-a-0015,54.665000,54.915000,out,I,sd,u-20-1
sw3965A-ms98-a-0015,54.915000,55.015000,and,B,sd,u-20-2
sw3965A-ms98-a-0015,55.015000,55.215000,then,I,sd,u-20-2
sw3965A-ms98-a-0015,55.215000,55.555000,i,I,sd,u-20-2
sw3965A-ms98-a-0015,55.555000,55.735000,i,I,sd,u-20-2
sw3965A-ms98-a-0015,55.735000,55.995000,took,I,sd,u-20-2
sw3965A-ms98-a-0015,55.995000,56.085000,a,I,sd,u-20-2
sw3965A-ms98-a-0015,56.085000,56.717125,tole,I,sd,u-20-2
sw3965A-ms98-a-0015,56.939250,57.506250,painting,B,+,u-22-1
sw3965A-ms98-a-0015,57.890375,58.571375,class,I,+,u-22-1
sw3965A-ms98-a-0016,59.311500,59.461500,to,B,+,u-24-1
sw3965A-ms98-a-0016,59.461500,59.721500,learn,I,+,u-24-1
sw3965A-ms98-a-0016,59.721500,59.871500,how,I,+,u-24-1
sw3965A-ms98-a-0016,59.871500,59.971500,to,I,+,u-24-1
sw3965A-ms98-a-0016,59.971500,60.321500,paint,I,+,u-24-1
sw3965A-ms98-a-0016,60.321500,60.471500,them_1,I,+,u-24-1
sw3965A-ms98-a-0016,60.471500,60.791500,right,I,+,u-24-1
sw3965A-ms98-a-0016,60.791500,60.961500,you,I,+,u-24-1
sw3965A-ms98-a-0016,60.961500,61.289875,know,I,+,u-24-1
sw3965A-ms98-a-0017,62.048375,62.248375,and,B,sd,u-26-1
sw3965A-ms98-a-0017,62.248375,62.388375,what,I,sd,u-26-1
sw3965A-ms98-a-0017,62.388375,62.508375,we,I,sd,u-26-1
sw3965A-ms98-a-0017,62.508375,62.768375,wanna,I,sd,u-26-1
sw3965A-ms98-a-0017,62.768375,63.058375,do,I,sd,u-26-1
sw3965A-ms98-a-0017,63.058375,63.542625,is,I,sd,u-26-1
sw3965A-ms98-a-0017,63.542625,63.838375,you,I,sd,u-26-1
sw3965A-ms98-a-0017,63.838375,63.988375,know,I,sd,u-26-1
sw3965A-ms98-a-0017,63.988375,64.318375,make,I,sd,u-26-1
sw3965A-ms98-a-0017,64.318375,64.488375,them_1,I,sd,u-26-1
sw3965A-ms98-a-0017,64.488375,64.618375,and,I,sd,u-26-1
sw3965A-ms98-a-0017,64.618375,64.738375,then,I,sd,u-26-1
sw3965A-ms98-a-0017,64.738375,65.018375,maybe,I,sd,u-26-1
sw3965A-ms98-a-0017,65.018375,65.288375,take,I,sd,u-26-1
sw3965A-ms98-a-0017,65.288375,65.408375,them_1,I,sd,u-26-1
sw3965A-ms98-a-0017,65.408375,65.688375,to,I,sd,u-26-1
sw3965A-ms98-a-0017,65.688375,66.088375,these,I,sd,u-26-1
sw3965A-ms98-a-0017,66.088375,66.448375,craft,I,sd,u-26-1
sw3965A-ms98-a-0017,66.448375,67.058375,shows,I,sd,u-26-1
sw3965A-ms98-a-0017,67.058375,67.490875,or,I,sd,u-26-1
sw3965A-ms98-a-0017,67.901500,68.158375,flea,B,+,u-28-1
sw3965A-ms98-a-0017,68.158375,68.658375,market,I,+,u-28-1
sw3965A-ms98-a-0017,68.658375,69.038375,things,I,+,u-28-1
sw3965A-ms98-a-0017,69.038375,69.178375,and,I,+,u-28-1
sw3965A-ms98-a-0017,69.178375,69.308375,s[ee]-,I,+,u-28-1
sw3965A-ms98-a-0017,69.308375,69.699125,and,I,+,u-28-1
sw3965A-ms98-a-0017,69.699125,69.868375,see,I,+,u-28-1
sw3965A-ms98-a-0017,69.868375,69.948375,if,I,+,u-28-1
sw3965A-ms98-a-0017,69.948375,70.028375,we,I,+,u-28-1
sw3965A-ms98-a-0017,70.028375,70.158375,can,I,+,u-28-1
sw3965A-ms98-a-0017,70.158375,70.458375,sell,I,+,u-28-1
sw3965A-ms98-a-0017,70.458375,70.688375,some,I,+,u-28-1
sw3965A-ms98-a-0017,70.688375,70.798375,of,I,+,u-28-1
sw3965A-ms98-a-0017,70.798375,71.114500,them,I,+,u-28-1
sw3965A-ms98-a-0018,72.309625,72.759625,but,B,sd,u-30-1
sw3965A-ms98-a-0018,72.759625,72.849625,uh,I,sd,u-30-1
sw3965A-ms98-a-0018,72.849625,73.039625,i,I,sd,u-30-1
sw3965A-ms98-a-0018,73.039625,73.319625,really,I,sd,u-30-1
sw3965A-ms98-a-0018,73.319625,73.539625,like,I,sd,u-30-1
sw3965A-ms98-a-0018,73.539625,73.659625,it,I,sd,u-30-1
sw3965A-ms98-a-0018,73.659625,73.869625,so,I,sd,u-30-1
sw3965A-ms98-a-0018,73.869625,74.490500,far,I,sd,u-30-1
sw3965A-ms98-a-0019,75.354250,75.644250,and,B,sd,u-32-1
sw3965A-ms98-a-0019,75.644250,75.983750,then,I,sd,u-32-1
sw3965A-ms98-a-0019,75.983750,76.124250,my,I,sd,u-32-1
sw3965A-ms98-a-0019,76.124250,76.474250,neighbor,I,sd,u-32-1
sw3965A-ms98-a-0019,76.474250,76.664250,had,I,sd,u-32-1
sw3965A-ms98-a-0019,76.664250,76.734250,a,I,sd,u-32-1
sw3965A-ms98-a-0019,76.734250,77.004250,little,I,sd,u-32-1
sw3965A-ms98-a-0019,77.004250,77.384250,doll,I,sd,u-32-1
sw3965A-ms98-a-0019,77.384250,77.604250,made,I,sd,u-32-1
sw3965A-ms98-a-0019,77.604250,77.764250,out,I,sd,u-32-1
sw3965A-ms98-a-0019,77.764250,77.924250,of,I,sd,u-32-1
sw3965A-ms98-a-0019,77.924250,78.461375,wood,I,sd,u-32-1
sw3965A-ms98-a-0019,78.461375,78.674250,so,B,sd,u-34-1
sw3965A-ms98-a-0019,78.674250,78.724250,i,I,sd,u-34-1
sw3965A-ms98-a-0019,78.724250,78.934250,took,I,sd,u-34-1
sw3965A-ms98-a-0019,78.934250,79.004250,a,I,sd,u-34-1
sw3965A-ms98-a-0019,79.004250,79.444250,pattern,I,sd,u-34-1
sw3965A-ms98-a-0019,79.444250,79.634250,off,I,sd,u-34-1
sw3965A-ms98-a-0019,79.634250,79.744250,of,I,sd,u-34-1
sw3965A-ms98-a-0019,79.744250,80.248375,that,I,sd,u-34-1
sw3965A-ms98-a-0020,81.075875,81.317000,and,B,sd,u-34-2
sw3965A-ms98-a-0020,81.317000,81.457000,then,I,sd,u-34-2
sw3965A-ms98-a-0020,81.457000,81.647000,it's,I,sd,u-34-2
sw3965A-ms98-a-0020,81.647000,81.887000,just,I,sd,u-34-2
sw3965A-ms98-a-0020,81.887000,81.967000,a,I,sd,u-34-2
sw3965A-ms98-a-0020,81.967000,82.267000,wooden,I,sd,u-34-2
sw3965A-ms98-a-0020,82.267000,82.547000,doll,I,sd,u-34-2
sw3965A-ms98-a-0020,82.547000,82.737000,with,I,sd,u-34-2
sw3965A-ms98-a-0020,82.737000,82.787000,a,I,sd,u-34-2
sw3965A-ms98-a-0020,82.787000,83.177000,painted,I,sd,u-34-2
sw3965A-ms98-a-0020,83.177000,83.976625,face,I,sd,u-34-2
sw3965A-ms98-a-0020,83.976625,84.157000,and,B,sd,u-36-1
sw3965A-ms98-a-0020,84.157000,84.307000,then,I,sd,u-36-1
sw3965A-ms98-a-0020,84.307000,84.470875,you,I,sd,u-36-1
sw3965A-ms98-a-0020,84.742000,84.887000,you,I,sd,u-36-1
sw3965A-ms98-a-0020,84.887000,85.117000,make,I,sd,u-36-1
sw3965A-ms98-a-0020,85.117000,85.197000,the,I,sd,u-36-1
sw3965A-ms98-a-0020,85.197000,85.607000,dress,I,sd,u-36-1
sw3965A-ms98-a-0020,85.607000,85.937000,for,I,sd,u-36-1
sw3965A-ms98-a-0020,85.937000,86.168875,it,I,sd,u-36-1
sw3965A-ms98-a-0021,86.814750,87.016500,and,B,sd,u-36-2
sw3965A-ms98-a-0021,87.016500,87.096500,you,I,sd,u-36-2
sw3965A-ms98-a-0021,87.096500,87.396500,drill,I,sd,u-36-2
sw3965A-ms98-a-0021,87.396500,87.796500,holes,I,sd,u-36-2
sw3965A-ms98-a-0021,87.796500,88.096500,around,I,sd,u-36-2
sw3965A-ms98-a-0021,88.096500,88.156500,the,I,sd,u-36-2
sw3965A-ms98-a-0021,88.156500,88.446500,top,I,sd,u-36-2
sw3965A-ms98-a-0021,88.446500,88.516500,of,I,sd,u-36-2
sw3965A-ms98-a-0021,88.516500,88.616500,the,I,sd,u-36-2
sw3965A-ms98-a-0021,88.616500,88.966500,head,I,sd,u-36-2
sw3965A-ms98-a-0021,88.966500,89.076500,and,B,sd,u-36-3
sw3965A-ms98-a-0021,89.076500,89.308125,you,I,sd,u-36-3
sw3965A-ms98-a-0021,89.462625,89.676500,you,I,sd,u-36-3
sw3965A-ms98-a-0021,89.676500,89.936875,stick,I,sd,u-36-3
sw3965A-ms98-a-0021,89.936875,90.316500,in,I,sd,u-36-3
sw3965A-ms98-a-0021,90.316500,90.657125,uh,B,+,u-38-1
sw3965A-ms98-a-0021,90.657125,91.016500,like,I,+,u-38-1
sw3965A-ms98-a-0021,91.016500,91.511125,rope,I,+,u-38-1
sw3965A-ms98-a-0022,92.756625,93.010625,and,B,+,u-40-1
sw3965A-ms98-a-0022,93.010625,93.350625,tie,I,+,u-40-1
sw3965A-ms98-a-0022,93.350625,93.740625,ribbons,I,+,u-40-1
sw3965A-ms98-a-0022,93.740625,94.150625,around,I,+,u-40-1
sw3965A-ms98-a-0022,94.150625,94.432250,it,I,+,u-40-1
sw3965A-ms98-a-0022,95.087625,95.260625,it,B,sd,u-42-1
sw3965A-ms98-a-0022,95.260625,95.460625,looked,I,sd,u-42-1
sw3965A-ms98-a-0022,95.460625,95.720625,really,I,sd,u-42-1
sw3965A-ms98-a-0022,95.720625,96.240625,cute,I,sd,u-42-1
sw3965A-ms98-a-0022,96.240625,96.380625,you,I,sd,u-42-1
sw3965A-ms98-a-0022,96.380625,96.712125,know,I,sd,u-42-1
sw3965A-ms98-a-0022,96.712125,97.170625,so,B,sd,u-42-2
sw3965A-ms98-a-0022,97.170625,97.320625,i've,I,sd,u-42-2
sw3965A-ms98-a-0022,97.320625,97.470625,got,I,sd,u-42-2
sw3965A-ms98-a-0022,97.470625,97.520625,a,I,sd,u-42-2
sw3965A-ms98-a-0022,97.520625,97.840625,couple,I,sd,u-42-2
sw3965A-ms98-a-0022,97.840625,98.000625,of,I,sd,u-42-2
sw3965A-ms98-a-0022,98.000625,98.220625,those,I,sd,u-42-2
sw3965A-ms98-a-0022,98.220625,98.828000,started,I,sd,u-42-2
sw3965A-ms98-a-0023,100.207250,100.835250,yeah,B,aa,u-44-1
