sw3360B-ms98-a-0003,10.516625,11.091500,right,B,b,u-2-1
sw3360B-ms98-a-0005,35.829250,36.305875,right,B,aa,u-4-1
sw3360B-ms98-a-0005,36.430125,36.839250,right,B,aa^r,u-4-2
sw3360B-ms98-a-0005,37.133125,37.279250,and,B,sv,u-4-3
sw3360B-ms98-a-0005,37.279250,37.399250,then,I,sv,u-4-3
sw3360B-ms98-a-0005,37.399250,37.519250,when,I,sv,u-4-3
sw3360B-ms98-a-0005,37.519250,37.619250,you,I,sv,u-4-3
sw3360B-ms98-a-0005,37.619250,37.839250,read,I,sv,u-4-3
sw3360B-ms98-a-0005,37.839250,38.189250,about,I,sv,u-4-3
sw3360B-ms98-a-0005,38.189250,38.339250,that,I,sv,u-4-3
sw3360B-ms98-a-0005,38.339250,38.459250,they're,I,sv,u-4-3
sw3360B-ms98-a-0005,38.459250,38.819250,spending,I,sv,u-4-3
sw3360B-ms98-a-0005,38.819250,38.969250,all,I,sv,u-4-3
sw3360B-ms98-a-0005,38.969250,39.029250,the,I,sv,u-4-3
sw3360B-ms98-a-0005,39.029250,39.309250,money,I,sv,u-4-3
sw3360B-ms98-a-0005,39.309250,39.577750,on,I,sv,u-4-3
sw3360B-ms98-a-0005,40.530750,40.629250,you,I,sv,u-4-3
sw3360B-ms98-a-0005,40.629250,40.829250,know,I,sv,u-4-3
sw3360B-ms98-a-0005,40.829250,41.089250,these,I,sv,u-4-3
sw3360B-ms98-a-0005,41.089250,41.779250,studies,I,sv,u-4-3
sw3360B-ms98-a-0005,41.779250,42.000375,that,I,sv,u-4-3
sw3360B-ms98-a-0005,42.343125,42.589250,have,I,sv,u-4-3
sw3360B-ms98-a-0005,42.589250,42.889250,no,I,sv,u-4-3
sw3360B-ms98-a-0005,42.889250,43.409250,relevance,I,sv,u-4-3
sw3360B-ms98-a-0005,43.409250,44.259250,whatsoever,I,sv,u-4-3
sw3360B-ms98-a-0006,45.169750,45.339750,that,I,sv,u-4-3
sw3360B-ms98-a-0006,45.339750,45.529750,kind,I,sv,u-4-3
sw3360B-ms98-a-0006,45.529750,45.629750,of,I,sv,u-4-3
sw3360B-ms98-a-0006,45.629750,45.949750,ticks,I,sv,u-4-3
