sw3136A-ms98-a-0002,16.103250,16.534375,yeah,B,ny,u-2-1
sw3136A-ms98-a-0002,16.534375,16.710125,i,B,sd^e,u-2-2
sw3136A-ms98-a-0002,16.710125,17.082250,do,I,sd^e,u-2-2
sw3136A-ms98-a-0004,27.398750,27.528750,oh,B,b,u-4-1
sw3136A-ms98-a-0004,27.528750,27.988750,really,I,b,u-4-1
sw3136A-ms98-a-0006,32.767875,32.924125,did,B,qy,u-6-1
sw3136A-ms98-a-0006,32.924125,33.014125,you,I,qy,u-6-1
sw3136A-ms98-a-0006,33.014125,33.334125,plant,I,qy,u-6-1
sw3136A-ms98-a-0006,33.334125,33.534125,those,I,qy,u-6-1
sw3136A-ms98-a-0006,33.534125,34.024125,yourself,I,qy,u-6-1
sw3136A-ms98-a-0007,35.569000,36.099000,oh,B,b,u-8-1
sw3136A-ms98-a-0009,49.917000,50.257000,uh-huh,B,b,u-12-1
sw3136A-ms98-a-0011,58.027375,58.531875,oh,B,b,u-14-1
sw3136A-ms98-a-0013,60.506500,60.696500,that's,B,ba,u-16-1
sw3136A-ms98-a-0013,60.696500,61.076500,nice,I,ba,u-16-1
sw3136A-ms98-a-0013,61.076500,61.286625,oh,O,,
sw3136A-ms98-a-0013,61.587875,61.763500,i,B,sd,u-16-2
sw3136A-ms98-a-0013,61.763500,62.146500,love,I,sd,u-16-2
sw3136A-ms98-a-0013,62.146500,62.856500,blackberries,I,sd,u-16-2
sw3136A-ms98-a-0013,62.856500,62.946500,and,B,%,u-16-3
sw3136A-ms98-a-0013,62.946500,63.193375,we,I,%,u-16-3
sw3136A-ms98-a-0013,63.380750,63.551625,w[e]-,I,%,u-16-3
sw3136A-ms98-a-0013,63.724875,64.045750,uh,I,%,u-16-3
sw3136A-ms98-a-0013,64.720000,64.816500,when,B,sd,u-16-4
sw3136A-ms98-a-0013,64.816500,64.876500,i,I,sd,u-16-4
sw3136A-ms98-a-0013,64.876500,65.006500,was,I,sd,u-16-4
sw3136A-ms98-a-0013,65.006500,65.356500,smaller,I,sd,u-16-4
sw3136A-ms98-a-0013,65.356500,65.537000,we,I,sd,u-16-4
sw3136A-ms98-a-0013,65.676250,65.816500,my,I,sd,u-16-4
sw3136A-ms98-a-0013,65.816500,66.246500,family,I,sd,u-16-4
sw3136A-ms98-a-0013,66.246500,66.466500,lived,I,sd,u-16-4
sw3136A-ms98-a-0013,66.466500,66.566500,in,I,sd,u-16-4
sw3136A-ms98-a-0013,66.566500,67.280000,Tennessee,I,sd,u-16-4
sw3136A-ms98-a-0013,67.690625,67.836500,and,B,sd,u-18-1
sw3136A-ms98-a-0013,67.836500,67.936500,there,I,sd,u-18-1
sw3136A-ms98-a-0013,67.936500,68.176500,used,I,sd,u-18-1
sw3136A-ms98-a-0013,68.176500,68.266500,to,I,sd,u-18-1
sw3136A-ms98-a-0013,68.266500,68.481750,be,I,sd,u-18-1
sw3136A-ms98-a-0013,68.673875,69.126750,wild,I,sd,u-18-1
sw3136A-ms98-a-0013,69.842375,70.606500,blackberries,I,sd,u-18-1
sw3136A-ms98-a-0013,70.606500,70.816500,that,I,sd,u-18-1
sw3136A-ms98-a-0013,70.816500,71.006500,we'd,I,sd,u-18-1
sw3136A-ms98-a-0013,71.006500,71.136500,go,I,sd,u-18-1
sw3136A-ms98-a-0013,71.136500,71.266500,out,I,sd,u-18-1
sw3136A-ms98-a-0013,71.266500,71.396500,and,I,sd,u-18-1
sw3136A-ms98-a-0013,71.396500,71.606500,pick,I,sd,u-18-1
sw3136A-ms98-a-0013,71.606500,71.746500,my,I,sd,u-18-1
sw3136A-ms98-a-0013,71.746500,72.006500,brother,I,sd,u-18-1
sw3136A-ms98-a-0013,72.006500,72.116500,and,I,sd,u-18-1
sw3136A-ms98-a-0013,72.116500,72.355750,i,I,sd,u-18-1
sw3136A-ms98-a-0014,73.245750,73.467375,but,B,sd,u-18-2
sw3136A-ms98-a-0014,73.467375,73.567375,i,I,sd,u-18-2
sw3136A-ms98-a-0014,73.567375,73.737375,don't,I,sd,u-18-2
sw3136A-ms98-a-0014,73.737375,73.897375,have,I,sd,u-18-2
sw3136A-ms98-a-0014,73.897375,74.047375,any,I,sd,u-18-2
sw3136A-ms98-a-0014,74.047375,74.287375,down,I,sd,u-18-2
sw3136A-ms98-a-0014,74.287375,74.767375,here,I,sd,u-18-2
sw3136A-ms98-a-0016,98.580625,98.750625,oh,B,sv,u-22-1
sw3136A-ms98-a-0016,98.750625,98.860625,i,I,sv,u-22-1
sw3136A-ms98-a-0016,98.860625,99.160625,think,I,sv,u-22-1
sw3136A-ms98-a-0016,99.160625,99.240625,i,I,sv,u-22-1
sw3136A-ms98-a-0016,99.240625,99.440625,know,I,sv,u-22-1
sw3136A-ms98-a-0016,99.440625,99.569750,what,I,sv,u-22-1
sw3136A-ms98-a-0016,99.694125,99.902625,they,I,sv,u-22-1
sw3136A-ms98-a-0016,100.362250,100.503375,i,B,sd,u-24-1
sw3136A-ms98-a-0016,100.503375,100.690625,can't,I,sd,u-24-1
sw3136A-ms98-a-0016,100.690625,100.970625,remember,I,sd,u-24-1
