sw2602B-ms98-a-0003,2.514875,2.964875,okay,B,aa,u-2-1
sw2602B-ms98-a-0003,2.964875,3.154875,do,B,o,u-2-2
sw2602B-ms98-a-0003,3.154875,3.264875,i,I,o,u-2-2
sw2602B-ms98-a-0003,3.264875,3.444875,still,I,o,u-2-2
sw2602B-ms98-a-0003,3.634875,3.724875,can['t]-,I,o,u-2-2
sw2602B-ms98-a-0003,3.724875,4.004875,still,I,o,u-2-2
sw2602B-ms98-a-0003,4.004875,4.214875,can,I,o,u-2-2
sw2602B-ms98-a-0003,4.514875,4.834875,feel,I,o,u-2-2
sw2602B-ms98-a-0003,4.834875,4.994875,that,I,o,u-2-2
sw2602B-ms98-a-0003,5.114875,5.274875,the,I,o,u-2-2
sw2602B-ms98-a-0003,5.274875,5.744875,Soviet,I,o,u-2-2
sw2602B-ms98-a-0003,5.744875,6.084875,Union,I,o,u-2-2
sw2602B-ms98-a-0003,6.084875,6.294875,as,I,o,u-2-2
sw2602B-ms98-a-0003,6.294875,6.594875,such,I,o,u-2-2
sw2602B-ms98-a-0003,6.594875,6.704875,is,I,o,u-2-2
sw2602B-ms98-a-0003,6.704875,7.184875,still,I,o,u-2-2
sw2602B-ms98-a-0003,7.184875,7.415875,a,I,o,u-2-2
sw2602B-ms98-a-0003,7.415875,7.704875,threat,I,o,u-2-2
sw2602B-ms98-a-0003,7.704875,7.814875,to,I,o,u-2-2
sw2602B-ms98-a-0003,7.814875,8.034875,the,I,o,u-2-2
sw2602B-ms98-a-0003,8.034875,8.664875,civilized,I,o,u-2-2
sw2602B-ms98-a-0003,8.664875,9.014875,western,I,o,u-2-2
sw2602B-ms98-a-0003,9.014875,9.324875,world,I,o,u-2-2
sw2602B-ms98-a-0003,9.394875,10.174875,absolutely,B,na,u-2-3
sw2602B-ms98-a-0005,13.042625,13.242625,and,B,sd,u-2-4
sw2602B-ms98-a-0005,13.242625,13.372625,my,I,sd,u-2-4
sw2602B-ms98-a-0005,13.372625,13.912625,reasons,I,sd,u-2-4
sw2602B-ms98-a-0005,13.912625,13.982625,are,I,sd,u-2-4
sw2602B-ms98-a-0005,13.982625,14.402625,based,I,sd,u-2-4
sw2602B-ms98-a-0005,14.402625,15.032625,upon,I,sd,u-2-4
sw2602B-ms98-a-0005,15.532625,15.732625,not,I,sd,u-2-4
sw2602B-ms98-a-0005,15.732625,16.052625,only,I,sd,u-2-4
sw2602B-ms98-a-0005,16.052625,16.242625,from,I,sd,u-2-4
sw2602B-ms98-a-0005,16.242625,16.402625,what,I,sd,u-2-4
sw2602B-ms98-a-0005,16.402625,16.462625,i,I,sd,u-2-4
sw2602B-ms98-a-0005,16.462625,16.642625,read,I,sd,u-2-4
sw2602B-ms98-a-0005,16.642625,16.782625,in,I,sd,u-2-4
sw2602B-ms98-a-0005,16.782625,16.842625,the,I,sd,u-2-4
sw2602B-ms98-a-0005,16.842625,17.562625,newspapers,I,sd,u-2-4
sw2602B-ms98-a-0005,17.562625,17.672625,what,I,sd,u-2-4
sw2602B-ms98-a-0005,17.672625,17.722625,i,I,sd,u-2-4
sw2602B-ms98-a-0005,17.722625,17.932625,see,I,sd,u-2-4
sw2602B-ms98-a-0005,17.932625,17.992625,on,I,sd,u-2-4
sw2602B-ms98-a-0005,17.992625,18.062625,the,I,sd,u-2-4
sw2602B-ms98-a-0005,18.062625,18.772625,newspapers,I,sd,u-2-4
sw2602B-ms98-a-0005,18.772625,18.952625,but,I,sd,u-2-4
sw2602B-ms98-a-0005,18.952625,19.112625,up,I,sd,u-2-4
sw2602B-ms98-a-0005,19.112625,19.452625,against,I,sd,u-2-4
sw2602B-ms98-a-0005,19.452625,19.652625,some,I,sd,u-2-4
sw2602B-ms98-a-0005,19.652625,19.832625,of,I,sd,u-2-4
sw2602B-ms98-a-0005,19.832625,20.062625,the,I,sd,u-2-4
sw2602B-ms98-a-0006,21.426500,21.596500,fun,I,sd,u-2-4
sw2602B-ms98-a-0006,21.596500,21.726500,and,I,sd,u-2-4
sw2602B-ms98-a-0006,21.726500,22.236500,exciting,I,sd,u-2-4
sw2602B-ms98-a-0006,22.236500,22.536500,things,I,sd,u-2-4
sw2602B-ms98-a-0006,22.536500,22.606500,i,I,sd,u-2-4
sw2602B-ms98-a-0006,22.606500,22.856500,ran,I,sd,u-2-4
sw2602B-ms98-a-0006,22.856500,23.236500,into,I,sd,u-2-4
sw2602B-ms98-a-0006,23.236500,23.486500,during,I,sd,u-2-4
sw2602B-ms98-a-0006,23.486500,23.626500,my,I,sd,u-2-4
sw2602B-ms98-a-0006,23.626500,24.006500,six,I,sd,u-2-4
sw2602B-ms98-a-0006,24.006500,24.306500,years,I,sd,u-2-4
sw2602B-ms98-a-0006,24.306500,24.446500,as,I,sd,u-2-4
sw2602B-ms98-a-0006,24.446500,24.586500,a,I,sd,u-2-4
sw2602B-ms98-a-0006,24.586500,24.996500,soldier,I,sd,u-2-4
