sw3151A-ms98-a-0002,6.222000,6.772000,well,B,nd,u-2-1
sw3151A-ms98-a-0003,7.667125,8.467125,basically,I,nd,u-2-1
sw3151A-ms98-a-0003,8.467125,8.747125,i,I,nd,u-2-1
sw3151A-ms98-a-0003,8.747125,8.987125,think,I,nd,u-2-1
sw3151A-ms98-a-0003,8.987125,9.097125,it,I,nd,u-2-1
sw3151A-ms98-a-0003,9.097125,9.227125,would,I,nd,u-2-1
sw3151A-ms98-a-0003,9.227125,9.367125,be,I,nd,u-2-1
sw3151A-ms98-a-0003,9.367125,9.447125,a,I,nd,u-2-1
sw3151A-ms98-a-0003,9.447125,9.617125,good,I,nd,u-2-1
sw3151A-ms98-a-0003,9.617125,10.117125,idea,I,nd,u-2-1
sw3151A-ms98-a-0003,10.117125,10.947125,myself,I,nd,u-2-1
sw3151A-ms98-a-0004,11.744125,12.194125,i,B,sv,u-2-2
sw3151A-ms98-a-0004,12.194125,12.629000,uh,I,sv,u-2-2
sw3151A-ms98-a-0005,14.258500,14.460000,i,I,sv,u-2-2
sw3151A-ms98-a-0005,14.460000,14.668500,think,I,sv,u-2-2
sw3151A-ms98-a-0005,14.668500,14.798500,if,I,sv,u-2-2
sw3151A-ms98-a-0005,14.798500,15.328500,somebody's,I,sv,u-2-2
sw3151A-ms98-a-0005,15.328500,15.568500,not,I,sv,u-2-2
sw3151A-ms98-a-0005,15.568500,15.798500,on,I,sv,u-2-2
sw3151A-ms98-a-0005,15.798500,16.199125,drugs,I,sv,u-2-2
sw3151A-ms98-a-0005,16.199125,16.338500,they,I,sv,u-2-2
sw3151A-ms98-a-0005,16.338500,16.558500,have,I,sv,u-2-2
sw3151A-ms98-a-0005,16.558500,16.748500,no,I,sv,u-2-2
sw3151A-ms98-a-0005,16.748500,17.088500,reason,I,sv,u-2-2
sw3151A-ms98-a-0005,17.088500,17.208500,you,I,sv,u-2-2
sw3151A-ms98-a-0005,17.208500,17.368500,know,I,sv,u-2-2
sw3151A-ms98-a-0005,17.368500,17.578500,to,I,sv,u-2-2
sw3151A-ms98-a-0005,17.578500,17.788500,be,I,sv,u-2-2
sw3151A-ms98-a-0005,17.788500,18.208500,afraid,I,sv,u-2-2
sw3151A-ms98-a-0005,18.208500,18.308500,of,I,sv,u-2-2
sw3151A-ms98-a-0005,18.308500,18.589000,it,I,sv,u-2-2
sw3151A-ms98-a-0005,18.901625,19.028500,uh,B,sv,u-4-1
sw3151A-ms98-a-0005,19.028500,19.198500,i,I,sv,u-4-1
sw3151A-ms98-a-0005,19.198500,19.418500,do,I,sv,u-4-1
sw3151A-ms98-a-0005,19.418500,19.718500,think,I,sv,u-4-1
sw3151A-ms98-a-0005,19.718500,19.888500,that,I,sv,u-4-1
sw3151A-ms98-a-0005,19.888500,20.038500,there,I,sv,u-4-1
sw3151A-ms98-a-0005,20.038500,20.348500,has,I,sv,u-4-1
sw3151A-ms98-a-0005,20.348500,20.448500,to,I,sv,u-4-1
sw3151A-ms98-a-0005,20.448500,20.708500,be,I,sv,u-4-1
sw3151A-ms98-a-0005,20.708500,20.928500,some,I,sv,u-4-1
sw3151A-ms98-a-0005,20.928500,21.722500,controls,I,sv,u-4-1
sw3151A-ms98-a-0005,21.903250,22.394125,uh,I,sv,u-4-1
sw3151A-ms98-a-0005,23.049500,23.258500,like,B,sd,u-4-2
sw3151A-ms98-a-0005,23.258500,23.338500,i,I,sd,u-4-2
sw3151A-ms98-a-0005,23.338500,23.548500,don't,I,sd,u-4-2
sw3151A-ms98-a-0005,23.548500,23.738500,think,I,sd,u-4-2
sw3151A-ms98-a-0005,23.738500,23.968500,one,I,sd,u-4-2
sw3151A-ms98-a-0005,23.968500,24.358500,test,I,sd,u-4-2
sw3151A-ms98-a-0005,24.358500,25.008500,positive,I,sd,u-4-2
sw3151A-ms98-a-0005,25.008500,25.378500,should,I,sd,u-4-2
sw3151A-ms98-a-0006,27.026375,27.409000,uh,I,sd,u-4-2
sw3151A-ms98-a-0006,27.687750,28.042500,be,I,sd,u-4-2
sw3151A-ms98-a-0006,28.042500,28.456375,uh,I,sd,u-4-2
sw3151A-ms98-a-0007,30.039375,30.198250,the,I,sd,u-4-2
