sw2630B-ms98-a-0002,0.974875,2.112875,[laughter],O,,
sw2630B-ms98-a-0003,3.044750,3.314750,um,B,qy^d@,u-2-1
sw2630B-ms98-a-0003,3.314750,3.464750,to,I,qy^d@,u-2-1
sw2630B-ms98-a-0003,3.464750,3.844750,Williams,I,qy^d@,u-2-1
sw2630B-ms98-a-0003,3.844750,4.234750,College,I,qy^d@,u-2-1
sw2630B-ms98-a-0003,4.234750,4.334750,in,I,qy^d@,u-2-1
sw2630B-ms98-a-0003,4.334750,5.377625,Massachusetts,I,qy^d@,u-2-1
sw2630B-ms98-a-0004,6.098000,6.288000,and,B,+@,u-4-1
sw2630B-ms98-a-0004,6.288000,6.438000,that,I,+@,u-4-1
sw2630B-ms98-a-0004,6.438000,6.558000,he,I,+@,u-4-1
sw2630B-ms98-a-0004,6.558000,6.818000,was,I,+@,u-4-1
sw2630B-ms98-a-0004,6.818000,7.018000,[laughter-he],I,+@,u-4-1
sw2630B-ms98-a-0004,7.018000,7.385375,[laughter-was],I,+@,u-4-1
sw2630B-ms98-a-0004,7.385375,7.526000,uh,I,+@,u-4-1
sw2630B-ms98-a-0004,7.891375,8.168000,trying,I,+@,u-4-1
sw2630B-ms98-a-0004,8.168000,8.258000,to,I,+@,u-4-1
sw2630B-ms98-a-0004,8.258000,8.678000,decide,I,+@,u-4-1
sw2630B-ms98-a-0004,8.678000,9.018000,between,I,+@,u-4-1
sw2630B-ms98-a-0004,9.018000,9.358000,University,I,+@,u-4-1
sw2630B-ms98-a-0004,9.358000,9.428000,of,I,+@,u-4-1
sw2630B-ms98-a-0004,9.428000,10.008000,Pennsylvania,I,+@,u-4-1
sw2630B-ms98-a-0004,10.008000,10.168000,and,I,+@,u-4-1
sw2630B-ms98-a-0004,10.168000,10.628000,Williams,I,+@,u-4-1
sw2630B-ms98-a-0004,10.628000,10.788000,and,B,sd,u-4-2
sw2630B-ms98-a-0004,10.788000,10.858000,it,I,sd,u-4-2
sw2630B-ms98-a-0004,10.858000,11.008000,was,I,sd,u-4-2
sw2630B-ms98-a-0004,11.008000,11.068000,a,I,sd,u-4-2
sw2630B-ms98-a-0004,11.068000,11.248000,very,I,sd,u-4-2
sw2630B-ms98-a-0004,11.248000,11.798000,difficult,I,sd,u-4-2
sw2630B-ms98-a-0004,11.798000,12.395000,choice,I,sd,u-4-2
sw2630B-ms98-a-0004,12.395000,12.918000,and,B,o@,u-4-3
sw2630B-ms98-a-0004,12.918000,13.074500,uh,I,o@,u-4-3
sw2630B-ms98-a-0006,18.889750,19.189750,no,B,+@,u-6-1
sw2630B-ms98-a-0006,19.189750,19.329750,but,B,o@,u-6-2
sw2630B-ms98-a-0006,19.329750,19.569750,that's,I,o@,u-6-2
sw2630B-ms98-a-0006,19.569750,19.679750,one,I,o@,u-6-2
sw2630B-ms98-a-0006,19.679750,19.739750,of,I,o@,u-6-2
sw2630B-ms98-a-0006,19.739750,19.799750,the,I,o@,u-6-2
sw2630B-ms98-a-0006,19.799750,20.069750,reasons,I,o@,u-6-2
sw2630B-ms98-a-0006,20.069750,20.139750,why,I,o@,u-6-2
sw2630B-ms98-a-0006,20.139750,20.239750,he,I,o@,u-6-2
sw2630B-ms98-a-0006,20.239750,20.549750,chose,I,o@,u-6-2
sw2630B-ms98-a-0006,20.549750,21.057375,Williams,I,o@,u-6-2
sw2630B-ms98-a-0006,21.464125,21.589750,that,B,+@,u-8-1
sw2630B-ms98-a-0006,21.589750,21.719750,it,I,+@,u-8-1
sw2630B-ms98-a-0006,21.719750,21.949750,has,I,+@,u-8-1
sw2630B-ms98-a-0006,21.949750,22.309750,solid,I,+@,u-8-1
sw2630B-ms98-a-0006,22.309750,22.639750,liberal,I,+@,u-8-1
sw2630B-ms98-a-0006,22.639750,22.959750,arts,I,+@,u-8-1
sw2630B-ms98-a-0008,24.740375,25.239500,about,B,+@,u-10-1
sw2630B-ms98-a-0008,25.239500,25.369500,two,I,+@,u-10-1
sw2630B-ms98-a-0008,25.369500,25.831375,thousand,I,+@,u-10-1
sw2630B-ms98-a-0009,27.219375,27.510375,very,B,sd,u-12-1
sw2630B-ms98-a-0009,27.510375,27.980375,excited,I,sd,u-12-1
sw2630B-ms98-a-0009,27.980375,28.330375,yes,B,o@,u-12-2
sw2630B-ms98-a-0009,28.330375,28.537750,uh,I,o@,u-12-2
sw2630B-ms98-a-0009,28.853250,29.011500,i,B,+@,u-14-1
sw2630B-ms98-a-0009,29.011500,29.170375,have,I,+@,u-14-1
sw2630B-ms98-a-0009,29.170375,29.480375,another,I,+@,u-14-1
sw2630B-ms98-a-0009,29.480375,29.720375,son,I,+@,u-14-1
sw2630B-ms98-a-0009,29.720375,29.920375,who's,I,+@,u-14-1
sw2630B-ms98-a-0009,29.920375,30.070375,at,I,+@,u-14-1
sw2630B-ms98-a-0009,30.070375,30.260375,their,I,+@,u-14-1
sw2630B-ms98-a-0009,30.260375,30.650375,chief,I,+@,u-14-1
sw2630B-ms98-a-0009,30.650375,31.080375,rival,I,+@,u-14-1
sw2630B-ms98-a-0009,31.080375,31.600375,Amherst,I,+@,u-14-1
sw2630B-ms98-a-0009,31.600375,32.104500,College,I,+@,u-14-1
sw2630B-ms98-a-0011,36.234500,36.500000,well,B,sd,u-16-1
sw2630B-ms98-a-0011,36.500000,36.610000,they're,I,sd,u-16-1
sw2630B-ms98-a-0011,36.610000,37.040000,they're,I,sd,u-16-1
sw2630B-ms98-a-0011,37.040000,37.450000,they're,I,sd,u-16-1
sw2630B-ms98-a-0011,37.450000,37.900000,really,I,sd,u-16-1
sw2630B-ms98-a-0011,37.900000,38.130000,very,I,sd,u-16-1
sw2630B-ms98-a-0011,38.130000,38.390000,strong,I,sd,u-16-1
sw2630B-ms98-a-0011,38.390000,38.890000,academic,I,sd,u-16-1
sw2630B-ms98-a-0011,38.890000,39.160000,rather,I,sd,u-16-1
sw2630B-ms98-a-0011,39.160000,39.350000,than,I,sd,u-16-1
sw2630B-ms98-a-0011,39.350000,39.450000,you,I,sd,u-16-1
sw2630B-ms98-a-0011,39.450000,39.640000,know,I,sd,u-16-1
sw2630B-ms98-a-0011,39.640000,39.840000,big,I,sd,u-16-1
sw2630B-ms98-a-0011,39.840000,40.181875,sports,I,sd,u-16-1
sw2630B-ms98-a-0011,40.181875,40.863500,[vocalized-noise],O,,
sw2630B-ms98-a-0012,42.203875,42.689250,we're,B,sd,u-18-1
sw2630B-ms98-a-0012,42.689250,43.189250,outside,I,sd,u-18-1
sw2630B-ms98-a-0012,43.189250,43.309250,of,I,sd,u-18-1
sw2630B-ms98-a-0012,43.309250,43.529250,uh,I,sd,u-18-1
sw2630B-ms98-a-0012,43.529250,43.999250,Washington,I,sd,u-18-1
sw2630B-ms98-a-0012,43.999250,44.089250,in,I,sd,u-18-1
sw2630B-ms98-a-0012,44.089250,44.529250,Maryland,I,sd,u-18-1
sw2630B-ms98-a-0012,44.529250,44.659250,how,B,qo,u-18-2
sw2630B-ms98-a-0012,44.659250,44.829250,about,I,qo,u-18-2
sw2630B-ms98-a-0012,44.829250,45.059250,you,I,qo,u-18-2
sw2630B-ms98-a-0013,46.920875,47.240875,uh-huh,B,b,u-20-1
sw2630B-ms98-a-0013,47.240875,47.350875,do,B,qy,u-20-2
sw2630B-ms98-a-0013,47.350875,47.420875,you,I,qy,u-20-2
sw2630B-ms98-a-0013,47.420875,47.560875,have,I,qy,u-20-2
sw2630B-ms98-a-0013,47.560875,48.026750,children,I,qy,u-20-2
sw2630B-ms98-a-0013,48.026750,48.286500,in,I,qy,u-20-2
sw2630B-ms98-a-0015,52.163750,52.818500,okay,B,b,u-22-1
sw2630B-ms98-a-0015,52.818500,53.238500,um,I,b,u-22-1
sw2630B-ms98-a-0017,60.272625,60.577250,well,B,%,u-24-1
sw2630B-ms98-a-0017,60.577250,60.950750,i,I,%,u-24-1
sw2630B-ms98-a-0017,60.950750,61.399625,i,I,%,u-24-1
sw2630B-ms98-a-0017,61.904375,62.204875,one,B,sd,u-24-2
sw2630B-ms98-a-0017,62.204875,62.306625,of,I,sd,u-24-2
sw2630B-ms98-a-0017,62.306625,62.515500,the,I,sd,u-24-2
sw2630B-ms98-a-0017,62.515500,62.685000,the,I,sd,u-24-2
sw2630B-ms98-a-0017,62.685000,63.107250,advises,I,sd,u-24-2
sw2630B-ms98-a-0017,63.107250,63.317250,we've,I,sd,u-24-2
sw2630B-ms98-a-0017,63.317250,63.517250,given,I,sd,u-24-2
sw2630B-ms98-a-0017,63.517250,63.637250,our,I,sd,u-24-2
sw2630B-ms98-a-0017,63.637250,64.096000,children,I,sd,u-24-2
