sw2617A-ms98-a-0003,16.544750,16.928500,yeah,B,b,u-2-1
sw2617A-ms98-a-0005,33.287875,33.718875,right,B,b,u-4-1
sw2617A-ms98-a-0007,46.263750,46.696875,right,B,b,u-6-1
sw2617A-ms98-a-0008,51.434375,51.945125,yeah,B,aa,u-8-1
sw2617A-ms98-a-0009,52.514500,52.807125,i,B,aa,u-8-2
sw2617A-ms98-a-0009,52.807125,52.976625,i,I,aa,u-8-2
sw2617A-ms98-a-0009,52.976625,53.209125,agree,I,aa,u-8-2
sw2617A-ms98-a-0009,53.209125,53.379125,with,I,aa,u-8-2
sw2617A-ms98-a-0009,53.379125,53.629125,that,I,aa,u-8-2
sw2617A-ms98-a-0009,53.629125,53.789125,i,B,sd,u-8-3
sw2617A-ms98-a-0009,53.789125,53.981375,was,I,sd,u-8-3
sw2617A-ms98-a-0009,54.324125,54.469125,i,I,sd,u-8-3
sw2617A-ms98-a-0009,54.469125,54.629125,was,I,sd,u-8-3
sw2617A-ms98-a-0009,54.629125,54.969125,fairly,I,sd,u-8-3
sw2617A-ms98-a-0009,54.969125,55.169125,young,I,sd,u-8-3
sw2617A-ms98-a-0009,55.169125,55.259125,at,I,sd,u-8-3
sw2617A-ms98-a-0009,55.259125,55.329125,the,I,sd,u-8-3
sw2617A-ms98-a-0009,55.329125,55.679125,time,I,sd,u-8-3
sw2617A-ms98-a-0009,55.679125,55.929125,too,I,sd,u-8-3
sw2617A-ms98-a-0009,55.929125,56.150500,i,B,sd,u-8-4
sw2617A-ms98-a-0009,56.497125,56.589125,i,I,sd,u-8-4
sw2617A-ms98-a-0009,56.589125,56.779125,really,I,sd,u-8-4
sw2617A-ms98-a-0009,56.779125,56.989125,don't,I,sd,u-8-4
sw2617A-ms98-a-0009,56.989125,57.149125,have,I,sd,u-8-4
sw2617A-ms98-a-0009,57.149125,57.329125,very,I,sd,u-8-4
sw2617A-ms98-a-0009,57.329125,57.687125,many,I,sd,u-8-4
sw2617A-ms98-a-0009,57.811500,58.219125,memories,I,sd,u-8-4
sw2617A-ms98-a-0009,58.219125,58.539125,about,I,sd,u-8-4
sw2617A-ms98-a-0009,58.539125,58.649125,it,I,sd,u-8-4
sw2617A-ms98-a-0009,58.649125,58.779125,at,I,sd,u-8-4
sw2617A-ms98-a-0009,58.779125,59.178375,all,I,sd,u-8-4
sw2617A-ms98-a-0010,59.364875,59.494875,in,I,sd,u-8-4
sw2617A-ms98-a-0010,59.494875,60.034875,fact,I,sd,u-8-4
sw2617A-ms98-a-0010,60.034875,60.384875,and,B,sd,u-10-1
sw2617A-ms98-a-0010,60.384875,60.780750,uh,I,sd,u-10-1
sw2617A-ms98-a-0010,61.338250,61.464875,my,I,sd,u-10-1
sw2617A-ms98-a-0010,61.464875,61.894875,husband,I,sd,u-10-1
sw2617A-ms98-a-0010,61.894875,61.994875,is,I,sd,u-10-1
sw2617A-ms98-a-0010,61.994875,62.154875,a,I,sd,u-10-1
sw2617A-ms98-a-0010,62.154875,62.614875,Vietnam,I,sd,u-10-1
sw2617A-ms98-a-0010,62.614875,63.124875,veteran,I,sd,u-10-1
sw2617A-ms98-a-0010,63.284875,63.951625,and,B,%,u-10-2
sw2617A-ms98-a-0010,64.314625,64.459375,i-,I,%,u-10-2
sw2617A-ms98-a-0010,64.892500,64.997750,you,I,%,u-10-2
sw2617A-ms98-a-0010,64.997750,65.174750,know,I,%,u-10-2
sw2617A-ms98-a-0010,65.174750,65.422250,he,I,%,u-10-2
sw2617A-ms98-a-0010,65.817625,66.034875,in,I,%,u-10-2
sw2617A-ms98-a-0010,66.034875,66.314875,looking,I,%,u-10-2
sw2617A-ms98-a-0010,66.314875,66.464875,at,I,%,u-10-2
sw2617A-ms98-a-0010,66.464875,66.802500,the,I,%,u-10-2
sw2617A-ms98-a-0010,67.058625,67.374875,Persian,I,%,u-10-2
sw2617A-ms98-a-0010,67.374875,67.624875,Gulf,I,%,u-10-2
sw2617A-ms98-a-0010,67.624875,67.784875,war,I,%,u-10-2
sw2617A-ms98-a-0010,67.784875,67.884875,that,I,%,u-10-2
sw2617A-ms98-a-0010,67.884875,68.134875,just,I,%,u-10-2
sw2617A-ms98-a-0010,68.134875,68.314875,went,I,%,u-10-2
sw2617A-ms98-a-0010,68.314875,68.494875,on,I,%,u-10-2
sw2617A-ms98-a-0010,68.494875,68.794625,he,I,%,u-10-2
sw2617A-ms98-a-0011,69.237000,69.355875,i-,O,,
sw2617A-ms98-a-0011,69.878750,70.006000,it,B,sd,u-10-3
sw2617A-ms98-a-0011,70.006000,70.596000,frustrates,I,sd,u-10-3
sw2617A-ms98-a-0011,70.596000,70.876000,him,I,sd,u-10-3
sw2617A-ms98-a-0011,70.876000,71.186000,because,I,sd,u-10-3
sw2617A-ms98-a-0011,71.186000,71.286000,of,I,sd,u-10-3
sw2617A-ms98-a-0011,71.286000,71.466000,the,I,sd,u-10-3
sw2617A-ms98-a-0011,71.466000,71.846000,support,I,sd,u-10-3
sw2617A-ms98-a-0011,71.846000,71.976000,that,I,sd,u-10-3
sw2617A-ms98-a-0011,71.976000,72.156000,they,I,sd,u-10-3
sw2617A-ms98-a-0011,72.156000,72.486000,have,I,sd,u-10-3
sw2617A-ms98-a-0011,72.486000,72.576000,and,I,sd,u-10-3
sw2617A-ms98-a-0011,72.576000,72.636000,the,I,sd,u-10-3
sw2617A-ms98-a-0011,72.636000,73.046000,support,I,sd,u-10-3
sw2617A-ms98-a-0011,73.046000,73.176000,that,I,sd,u-10-3
sw2617A-ms98-a-0011,73.176000,73.246000,the,I,sd,u-10-3
sw2617A-ms98-a-0011,73.246000,73.716000,Vietnam,I,sd,u-10-3
sw2617A-ms98-a-0011,73.716000,73.946000,vets,I,sd,u-10-3
sw2617A-ms98-a-0011,73.946000,74.126000,did,I,sd,u-10-3
sw2617A-ms98-a-0011,74.126000,74.396000,not,I,sd,u-10-3
sw2617A-ms98-a-0011,74.396000,74.746000,have,I,sd,u-10-3
sw2617A-ms98-a-0011,74.746000,74.956000,from,I,sd,u-10-3
sw2617A-ms98-a-0011,74.956000,75.016000,the,I,sd,u-10-3
sw2617A-ms98-a-0011,75.016000,75.386000,people,I,sd,u-10-3
sw2617A-ms98-a-0011,75.386000,75.586000,or,I,sd,u-10-3
sw2617A-ms98-a-0011,75.586000,75.689375,the,I,sd,u-10-3
sw2617A-ms98-a-0011,75.689375,76.638500,administration,I,sd,u-10-3
sw2617A-ms98-a-0011,76.638500,76.926000,either,I,sd,u-10-3
sw2617A-ms98-a-0011,76.926000,77.283375,one,I,sd,u-10-3
sw2617A-ms98-a-0013,100.310750,100.768875,right,B,b,u-12-1
sw2617A-ms98-a-0015,102.381500,102.618500,that's,B,aa,u-14-1
sw2617A-ms98-a-0015,102.618500,102.918500,right,I,aa,u-14-1
sw2617A-ms98-a-0015,102.918500,102.958500,i,B,sv,u-14-2
sw2617A-ms98-a-0015,102.958500,103.093875,mean,I,sv,u-14-2
sw2617A-ms98-a-0015,103.093875,103.218125,they,I,sv,u-14-2
sw2617A-ms98-a-0015,103.218125,103.388500,weren't,I,sv,u-14-2
sw2617A-ms98-a-0015,103.388500,103.575125,there,I,sv,u-14-2
sw2617A-ms98-a-0015,103.575125,103.745750,by,I,sv,u-14-2
sw2617A-ms98-a-0015,103.745750,104.356000,choice,I,sv,u-14-2
sw2617A-ms98-a-0015,104.356000,104.836875,and,B,%,u-14-3
sw2617A-ms98-a-0015,104.973375,105.445250,and,I,%,u-14-3
sw2617A-ms98-a-0017,112.219875,112.688750,right,B,b,u-16-1
sw2617A-ms98-a-0019,123.965000,124.404250,right,B,b,u-18-1
sw2617A-ms98-a-0020,125.491125,125.671125,no,B,aa,u-20-1
sw2617A-ms98-a-0020,125.671125,125.731125,i,B,aa,u-20-2
sw2617A-ms98-a-0020,125.731125,125.901125,don't,I,aa,u-20-2
sw2617A-ms98-a-0020,125.901125,126.111125,think,I,aa,u-20-2
sw2617A-ms98-a-0020,126.111125,126.171125,you,I,aa,u-20-2
sw2617A-ms98-a-0020,126.171125,126.611125,can,I,aa,u-20-2
sw2617A-ms98-a-0020,126.611125,127.015250,and,B,sv,u-20-3
sw2617A-ms98-a-0020,127.143875,127.321000,i,I,sv,u-20-3
sw2617A-ms98-a-0020,127.321000,127.471125,i,I,sv,u-20-3
sw2617A-ms98-a-0020,127.471125,127.711125,agree,I,sv,u-20-3
sw2617A-ms98-a-0020,127.711125,127.851125,with,I,sv,u-20-3
sw2617A-ms98-a-0020,127.851125,127.981125,you,I,sv,u-20-3
sw2617A-ms98-a-0020,127.981125,128.191125,that,I,sv,u-20-3
sw2617A-ms98-a-0020,128.191125,128.421125,i,I,sv,u-20-3
sw2617A-ms98-a-0020,128.421125,128.551125,i,I,sv,u-20-3
sw2617A-ms98-a-0020,128.551125,128.751125,think,I,sv,u-20-3
