sw4147B-ms98-a-0002,1.002125,1.276375,yes,B,ny,u-2-1
sw4147B-ms98-a-0002,1.276375,1.406375,we,B,sd^e,u-2-2
sw4147B-ms98-a-0002,1.406375,1.616375,do,I,sd^e,u-2-2
sw4147B-ms98-a-0002,1.616375,1.846375,have,I,sd^e,u-2-2
sw4147B-ms98-a-0002,1.846375,2.004000,a,I,sd^e,u-2-2
sw4147B-ms98-a-0002,2.290250,2.496375,pet,I,sd^e,u-2-2
sw4147B-ms98-a-0002,2.496375,2.596375,we,B,sd,u-2-3
sw4147B-ms98-a-0002,2.596375,2.826375,have,I,sd,u-2-3
sw4147B-ms98-a-0002,2.826375,3.122375,a,I,sd,u-2-3
sw4147B-ms98-a-0002,3.517875,3.646375,a,I,sd,u-2-3
sw4147B-ms98-a-0002,3.646375,4.056375,dog,I,sd,u-2-3
sw4147B-ms98-a-0002,4.056375,4.176375,that,I,sd,u-2-3
sw4147B-ms98-a-0002,4.176375,4.356375,we,I,sd,u-2-3
sw4147B-ms98-a-0002,4.356375,4.726375,got,I,sd,u-2-3
sw4147B-ms98-a-0002,4.726375,5.716375,from,I,sd,u-2-3
sw4147B-ms98-a-0002,5.716375,5.846375,the,I,sd,u-2-3
sw4147B-ms98-a-0002,5.846375,5.976375,uh,I,sd,u-2-3
sw4147B-ms98-a-0003,7.530625,7.698625,well,B,sd,u-2-4
sw4147B-ms98-a-0003,7.698625,7.828625,we,I,sd,u-2-4
sw4147B-ms98-a-0003,7.828625,8.097750,call,I,sd,u-2-4
sw4147B-ms98-a-0003,8.097750,8.195625,it,I,sd,u-2-4
sw4147B-ms98-a-0003,8.195625,8.298625,the,I,sd,u-2-4
sw4147B-ms98-a-0003,8.298625,8.420000,S,I,sd,u-2-4
sw4147B-ms98-a-0003,8.420000,8.585750,P,I,sd,u-2-4
sw4147B-ms98-a-0003,8.585750,8.808625,C,I,sd,u-2-4
sw4147B-ms98-a-0003,8.808625,8.918625,A,I,sd,u-2-4
sw4147B-ms98-a-0003,8.918625,9.108625,it's,B,sd,u-2-5
sw4147B-ms98-a-0003,9.108625,9.434125,the,I,sd,u-2-5
sw4147B-ms98-a-0003,9.434125,9.662000,uh,I,sd,u-2-5
sw4147B-ms98-a-0003,9.662000,9.998625,an[imal]-,I,sd,u-2-5
sw4147B-ms98-a-0003,9.998625,10.158625,from,I,sd,u-2-5
sw4147B-ms98-a-0003,10.158625,10.248625,an,I,sd,u-2-5
sw4147B-ms98-a-0003,10.248625,10.568625,animal,I,sd,u-2-5
sw4147B-ms98-a-0003,10.568625,10.998375,shelter,I,sd,u-2-5
sw4147B-ms98-a-0003,11.416375,11.774875,uh,B,sd,u-4-1
sw4147B-ms98-a-0003,12.080000,12.318625,he'd,I,sd,u-4-1
sw4147B-ms98-a-0003,12.318625,12.498625,come,I,sd,u-4-1
sw4147B-ms98-a-0003,12.498625,12.598625,in,I,sd,u-4-1
sw4147B-ms98-a-0003,12.598625,12.788625,there,I,sd,u-4-1
sw4147B-ms98-a-0003,12.788625,12.928625,as,I,sd,u-4-1
sw4147B-ms98-a-0003,12.928625,12.968625,a,I,sd,u-4-1
sw4147B-ms98-a-0003,12.968625,13.457375,stray,I,sd,u-4-1
sw4147B-ms98-a-0003,13.803875,13.973875,uh,B,sd,u-6-1
sw4147B-ms98-a-0003,13.973875,14.271375,he's,I,sd,u-6-1
sw4147B-ms98-a-0003,14.271375,14.494125,a,I,sd,u-6-1
sw4147B-ms98-a-0003,14.607125,15.248625,Pomeranian,I,sd,u-6-1
sw4147B-ms98-a-0003,15.248625,15.460750,and,I,sd,u-6-1
sw4147B-ms98-a-0003,15.848750,16.268625,Sheltie,I,sd,u-6-1
sw4147B-ms98-a-0003,16.268625,16.958125,cross,I,sd,u-6-1
sw4147B-ms98-a-0003,17.421375,17.684250,uh,B,sd,u-8-1
sw4147B-ms98-a-0004,18.934375,19.249875,well,I,sd,u-8-1
sw4147B-ms98-a-0004,19.911625,20.097875,he,I,sd,u-8-1
sw4147B-ms98-a-0004,20.097875,20.347875,was,I,sd,u-8-1
sw4147B-ms98-a-0004,20.347875,20.557875,very,I,sd,u-8-1
sw4147B-ms98-a-0004,20.557875,20.747875,well,I,sd,u-8-1
sw4147B-ms98-a-0004,20.747875,21.057875,trained,I,sd,u-8-1
sw4147B-ms98-a-0004,21.057875,21.217875,when,I,sd,u-8-1
sw4147B-ms98-a-0004,21.217875,21.387875,we,I,sd,u-8-1
sw4147B-ms98-a-0004,21.387875,21.637875,got,I,sd,u-8-1
sw4147B-ms98-a-0004,21.637875,21.763750,him,I,sd,u-8-1
sw4147B-ms98-a-0004,22.197875,22.592125,uh,B,%,u-8-2
sw4147B-ms98-a-0004,23.120250,23.301750,he's,I,%,u-8-2
sw4147B-ms98-a-0005,25.211500,25.488375,no,B,aa,u-10-1
sw4147B-ms98-a-0005,25.748250,26.092125,uh,I,aa,u-10-1
sw4147B-ms98-a-0005,26.092125,26.352125,we,B,sv,u-10-2
sw4147B-ms98-a-0005,26.352125,26.882125,suspect,I,sv,u-10-2
sw4147B-ms98-a-0005,26.882125,27.022125,that,I,sv,u-10-2
sw4147B-ms98-a-0005,27.022125,27.242125,he,I,sv,u-10-2
sw4147B-ms98-a-0005,27.242125,27.694750,was,I,sv,u-10-2
sw4147B-ms98-a-0005,28.241500,28.442125,hurt,I,sv,u-10-2
sw4147B-ms98-a-0005,28.442125,28.532125,in,I,sv,u-10-2
sw4147B-ms98-a-0005,28.532125,28.632125,an,I,sv,u-10-2
sw4147B-ms98-a-0005,28.632125,29.282125,accident,I,sv,u-10-2
sw4147B-ms98-a-0005,29.282125,29.352125,you,I,sv,u-10-2
sw4147B-ms98-a-0005,29.352125,29.502125,know,I,sv,u-10-2
sw4147B-ms98-a-0005,29.612125,29.762125,got,I,sv,u-10-2
sw4147B-ms98-a-0005,29.762125,30.002375,away,I,sv,u-10-2
sw4147B-ms98-a-0005,30.002375,30.179375,from,I,sv,u-10-2
sw4147B-ms98-a-0005,30.179375,30.432125,somebody,I,sv,u-10-2
sw4147B-ms98-a-0005,30.432125,30.932125,traveling,I,sv,u-10-2
sw4147B-ms98-a-0005,30.932125,31.162125,through,I,sv,u-10-2
sw4147B-ms98-a-0005,31.162125,31.252125,and,I,sv,u-10-2
sw4147B-ms98-a-0005,31.252125,31.442125,hurt,I,sv,u-10-2
sw4147B-ms98-a-0005,31.442125,31.542125,in,I,sv,u-10-2
sw4147B-ms98-a-0005,31.542125,31.622125,an,I,sv,u-10-2
sw4147B-ms98-a-0005,31.622125,31.982125,accident,I,sv,u-10-2
sw4147B-ms98-a-0005,31.982125,32.365875,because,B,+,u-12-1
sw4147B-ms98-a-0006,33.112250,33.142250,a,I,+,u-12-1
sw4147B-ms98-a-0006,33.142250,33.422250,dog,I,+,u-12-1
sw4147B-ms98-a-0006,33.422250,33.572250,that,I,+,u-12-1
sw4147B-ms98-a-0006,33.572250,33.772250,looks,I,+,u-12-1
sw4147B-ms98-a-0006,33.772250,33.842250,as,I,+,u-12-1
sw4147B-ms98-a-0006,33.842250,34.022250,good,I,+,u-12-1
sw4147B-ms98-a-0006,34.022250,34.122250,as,I,+,u-12-1
sw4147B-ms98-a-0006,34.122250,34.282250,he,I,+,u-12-1
