sw3073B-ms98-a-0002,1.161250,1.585375,okay,B,b,u-2-1
sw3073B-ms98-a-0004,5.800750,5.920750,i,B,sd,u-4-1
sw3073B-ms98-a-0004,5.920750,6.120750,watch,I,sd,u-4-1
sw3073B-ms98-a-0004,6.120750,6.400750,evenings,I,sd,u-4-1
sw3073B-ms98-a-0004,6.400750,6.620750,because,I,sd,u-4-1
sw3073B-ms98-a-0004,6.620750,6.690750,i,I,sd,u-4-1
sw3073B-ms98-a-0004,6.690750,6.900750,work,I,sd,u-4-1
sw3073B-ms98-a-0004,6.900750,7.010750,all,I,sd,u-4-1
sw3073B-ms98-a-0004,7.010750,7.300750,day,I,sd,u-4-1
sw3073B-ms98-a-0004,7.300750,7.370750,i,B,sd,u-4-2
sw3073B-ms98-a-0004,7.370750,7.560750,used,I,sd,u-4-2
sw3073B-ms98-a-0004,7.560750,7.660750,to,I,sd,u-4-2
sw3073B-ms98-a-0004,7.660750,7.990750,watch,I,sd,u-4-2
sw3073B-ms98-a-0004,7.990750,8.748250,daytimes,I,sd,u-4-2
sw3073B-ms98-a-0004,9.095500,9.933875,um,B,sd,u-6-1
sw3073B-ms98-a-0004,9.933875,10.570750,mainly,I,sd,u-6-1
sw3073B-ms98-a-0004,10.570750,11.010750,like,I,sd,u-6-1
sw3073B-ms98-a-0004,11.010750,11.130750,All,I,sd,u-6-1
sw3073B-ms98-a-0004,11.130750,11.280750,My,I,sd,u-6-1
sw3073B-ms98-a-0004,11.280750,11.640750,Children,I,sd,u-6-1
sw3073B-ms98-a-0004,11.640750,11.810750,that,I,sd,u-6-1
sw3073B-ms98-a-0004,11.810750,11.960750,kind,I,sd,u-6-1
sw3073B-ms98-a-0004,11.960750,12.040750,of,I,sd,u-6-1
sw3073B-ms98-a-0004,12.040750,12.394625,thing,I,sd,u-6-1
sw3073B-ms98-a-0005,13.365875,13.605250,and,B,sd,u-8-1
sw3073B-ms98-a-0005,13.605250,14.195250,then,I,sd,u-8-1
sw3073B-ms98-a-0005,14.195250,14.805250,sometimes,I,sd,u-8-1
sw3073B-ms98-a-0005,14.805250,15.105250,Oprah,I,sd,u-8-1
sw3073B-ms98-a-0005,15.105250,15.535250,and,I,sd,u-8-1
sw3073B-ms98-a-0005,15.535250,15.995250,sometimes,I,sd,u-8-1
sw3073B-ms98-a-0005,15.995250,16.385250,Donahue,I,sd,u-8-1
sw3073B-ms98-a-0005,16.385250,16.565250,but,B,sd,u-8-2
sw3073B-ms98-a-0005,16.565250,16.855250,now,I,sd,u-8-2
sw3073B-ms98-a-0005,16.855250,17.035250,it's,I,sd,u-8-2
sw3073B-ms98-a-0005,17.035250,17.402375,mainly,I,sd,u-8-2
sw3073B-ms98-a-0005,17.516000,18.096625,evenings,I,sd,u-8-2
sw3073B-ms98-a-0007,22.079875,22.588000,yes,B,ny,u-10-1
sw3073B-ms98-a-0008,23.276125,23.396125,i,B,sd,u-12-1
sw3073B-ms98-a-0008,23.396125,23.916125,tape,I,sd,u-12-1
sw3073B-ms98-a-0008,23.916125,24.166125,Thirty,I,sd,u-12-1
sw3073B-ms98-a-0008,24.166125,24.933125,Something,I,sd,u-12-1
sw3073B-ms98-a-0008,24.933125,25.176125,and,B,+,u-14-1
sw3073B-ms98-a-0008,25.176125,25.386125,L,I,+,u-14-1
sw3073B-ms98-a-0008,25.386125,25.506125,A,I,+,u-14-1
sw3073B-ms98-a-0008,25.506125,25.836125,Law,I,+,u-14-1
sw3073B-ms98-a-0008,25.836125,26.066125,those,B,sd,u-14-2
sw3073B-ms98-a-0008,26.066125,26.126125,are,I,sd,u-14-2
sw3073B-ms98-a-0008,26.126125,26.186125,the,I,sd,u-14-2
sw3073B-ms98-a-0008,26.186125,26.466125,two,I,sd,u-14-2
sw3073B-ms98-a-0008,26.466125,26.616125,i,I,sd,u-14-2
sw3073B-ms98-a-0008,26.616125,26.976125,like,I,sd,u-14-2
sw3073B-ms98-a-0008,26.976125,27.036125,the,I,sd,u-14-2
sw3073B-ms98-a-0008,27.036125,27.440500,best,I,sd,u-14-2
sw3073B-ms98-a-0010,29.388250,29.544875,i,B,sd,u-16-1
sw3073B-ms98-a-0010,29.544875,29.961625,know,I,sd,u-16-1
sw3073B-ms98-a-0010,29.961625,30.161625,it's,B,sd,u-16-2
sw3073B-ms98-a-0010,30.161625,30.301625,going,I,sd,u-16-2
sw3073B-ms98-a-0010,30.301625,30.361625,to,I,sd,u-16-2
sw3073B-ms98-a-0010,30.361625,30.551625,be,I,sd,u-16-2
sw3073B-ms98-a-0010,30.551625,31.066000,history,I,sd,u-16-2
sw3073B-ms98-a-0010,31.066000,31.256125,i,I,sd,u-16-2
sw3073B-ms98-a-0010,31.256125,31.603875,know,I,sd,u-16-2
sw3073B-ms98-a-0011,32.591875,33.116375,uh-huh,B,b,u-18-1
sw3073B-ms98-a-0013,37.286000,37.605375,oh,B,%,u-20-1
sw3073B-ms98-a-0013,37.605375,37.977875,well,I,%,u-20-1
sw3073B-ms98-a-0013,37.977875,38.337875,well,I,%,u-20-1
sw3073B-ms98-a-0015,42.323375,42.834125,uh-huh,B,b,u-22-1
sw3073B-ms98-a-0017,47.717500,47.820500,i,B,aa,u-24-1
sw3073B-ms98-a-0017,47.820500,48.120500,know,I,aa,u-24-1
sw3073B-ms98-a-0017,48.120500,48.260500,i'm,B,sv,u-24-2
sw3073B-ms98-a-0017,48.260500,48.947875,amazed,I,sv,u-24-2
sw3073B-ms98-a-0019,50.410000,50.790000,huh-uh,B,b,u-26-1
sw3073B-ms98-a-0019,50.790000,50.930000,i'm,B,sd,u-26-2
sw3073B-ms98-a-0019,50.930000,51.450000,surprised,I,sd,u-26-2
sw3073B-ms98-a-0019,51.450000,51.569750,that,I,sd,u-26-2
sw3073B-ms98-a-0019,51.871125,52.060000,i,I,sd,u-26-2
sw3073B-ms98-a-0019,52.060000,52.200000,was,I,sd,u-26-2
sw3073B-ms98-a-0019,52.200000,52.670000,surprised,I,sd,u-26-2
sw3073B-ms98-a-0019,52.670000,52.760000,at,I,sd,u-26-2
sw3073B-ms98-a-0019,52.760000,52.820000,the,I,sd,u-26-2
sw3073B-ms98-a-0019,52.820000,53.220000,ending,I,sd,u-26-2
sw3073B-ms98-a-0019,53.220000,53.539625,of,I,sd,u-26-2
sw3073B-ms98-a-0019,53.539625,53.690000,you,I,sd,u-26-2
sw3073B-ms98-a-0019,53.690000,53.880000,know,I,sd,u-26-2
sw3073B-ms98-a-0019,53.880000,54.080000,with,I,sd,u-26-2
sw3073B-ms98-a-0019,54.080000,54.240000,all,I,sd,u-26-2
sw3073B-ms98-a-0019,54.240000,54.465000,the,I,sd,u-26-2
sw3073B-ms98-a-0019,54.766375,55.080000,funny,I,sd,u-26-2
sw3073B-ms98-a-0019,55.080000,55.390000,things,I,sd,u-26-2
sw3073B-ms98-a-0019,55.390000,55.870000,happening,I,sd,u-26-2
sw3073B-ms98-a-0019,55.870000,56.005375,and,I,sd,u-26-2
sw3073B-ms98-a-0020,56.883500,57.253500,different,I,sd,u-26-2
sw3073B-ms98-a-0020,57.253500,57.683500,things,I,sd,u-26-2
sw3073B-ms98-a-0022,67.047625,67.425125,uh-huh,B,b,u-28-1
sw3073B-ms98-a-0024,70.695000,71.058625,uh-huh,B,b^r,u-30-1
sw3073B-ms98-a-0026,74.138125,74.239750,i,B,aa,u-32-1
sw3073B-ms98-a-0026,74.239750,74.703750,know,I,aa,u-32-1
sw3073B-ms98-a-0028,77.169125,77.275000,i,B,aa,u-34-1
sw3073B-ms98-a-0028,77.275000,77.585000,know,I,aa,u-34-1
sw3073B-ms98-a-0028,77.585000,77.825000,isn't,B,qy,u-34-2
sw3073B-ms98-a-0028,77.825000,77.955000,that,I,qy,u-34-2
sw3073B-ms98-a-0028,77.955000,78.332125,funny,I,qy,u-34-2
sw3073B-ms98-a-0030,83.736000,83.996000,oh,B,ng,u-36-1
sw3073B-ms98-a-0030,83.996000,84.106000,i,I,ng,u-36-1
sw3073B-ms98-a-0030,84.106000,84.366000,don't,I,ng,u-36-1
sw3073B-ms98-a-0030,84.366000,84.686000,usually,I,ng,u-36-1
sw3073B-ms98-a-0030,84.686000,85.036000,like,I,ng,u-36-1
sw3073B-ms98-a-0030,85.036000,85.336000,stuff,I,ng,u-36-1
sw3073B-ms98-a-0030,85.336000,85.456000,that,I,ng,u-36-1
sw3073B-ms98-a-0030,85.456000,86.056000,continues,I,ng,u-36-1
sw3073B-ms98-a-0030,86.056000,86.296000,that's,B,sd,u-36-2
sw3073B-ms98-a-0030,86.296000,86.406000,why,I,sd,u-36-2
sw3073B-ms98-a-0030,86.406000,86.506000,i'm,I,sd,u-36-2
sw3073B-ms98-a-0030,86.506000,87.046000,surprised,I,sd,u-36-2
sw3073B-ms98-a-0030,87.046000,87.213000,i,I,sd,u-36-2
sw3073B-ms98-a-0030,87.213000,87.496000,like,I,sd,u-36-2
sw3073B-ms98-a-0030,87.496000,87.726000,those,I,sd,u-36-2
sw3073B-ms98-a-0030,87.726000,87.866000,two,I,sd,u-36-2
sw3073B-ms98-a-0030,87.866000,88.226000,shows,I,sd,u-36-2
sw3073B-ms98-a-0030,88.226000,88.516000,because,I,sd,u-36-2
sw3073B-ms98-a-0030,88.516000,88.856000,usually,I,sd,u-36-2
sw3073B-ms98-a-0030,88.856000,88.977625,i,I,sd,u-36-2
sw3073B-ms98-a-0030,88.977625,89.296750,like,I,sd,u-36-2
sw3073B-ms98-a-0030,89.839125,89.976000,you,I,sd,u-36-2
sw3073B-ms98-a-0030,89.976000,90.156000,know,I,sd,u-36-2
sw3073B-ms98-a-0030,90.156000,90.426000,stuff,I,sd,u-36-2
sw3073B-ms98-a-0030,90.426000,90.546000,that,I,sd,u-36-2
sw3073B-ms98-a-0030,90.546000,90.756000,just,I,sd,u-36-2
sw3073B-ms98-a-0030,90.756000,91.126000,ends,I,sd,u-36-2
sw3073B-ms98-a-0030,91.126000,91.346000,sort,I,sd,u-36-2
sw3073B-ms98-a-0030,91.346000,91.436000,of,I,sd,u-36-2
sw3073B-ms98-a-0030,91.436000,91.596000,that,I,sd,u-36-2
sw3073B-ms98-a-0030,91.596000,91.666000,you,I,sd,u-36-2
sw3073B-ms98-a-0030,91.666000,92.206000,just,I,sd,u-36-2
sw3073B-ms98-a-0030,92.206000,92.326000,you,I,sd,u-36-2
sw3073B-ms98-a-0030,92.326000,92.536000,don't,I,sd,u-36-2
sw3073B-ms98-a-0030,92.536000,92.726000,have,I,sd,u-36-2
sw3073B-ms98-a-0030,92.726000,92.826000,to,I,sd,u-36-2
sw3073B-ms98-a-0030,92.826000,92.966000,have,B,+,u-38-1
sw3073B-ms98-a-0030,92.966000,93.318875,watched,I,+,u-38-1
sw3073B-ms98-a-0030,93.592000,93.716000,you,I,+,u-38-1
sw3073B-ms98-a-0030,93.716000,93.990500,know,I,+,u-38-1
sw3073B-ms98-a-0031,94.748125,95.137875,yeah,B,aa,u-40-1
sw3073B-ms98-a-0031,95.137875,95.222750,i,B,%,u-40-2
sw3073B-ms98-a-0031,95.222750,95.320000,mean,I,%,u-40-2
sw3073B-ms98-a-0031,95.320000,95.380000,you,I,%,u-40-2
sw3073B-ms98-a-0031,95.380000,95.530000,don't,I,%,u-40-2
sw3073B-ms98-a-0031,95.530000,95.669125,have,I,%,u-40-2
sw3073B-ms98-a-0031,95.669125,96.123250,to,I,%,u-40-2
sw3073B-ms98-a-0032,96.580500,96.768500,yeah,B,b,u-42-1
sw3073B-ms98-a-0032,96.768500,96.868500,you,B,sd,u-42-2
sw3073B-ms98-a-0032,96.868500,97.038500,don't,I,sd,u-42-2
sw3073B-ms98-a-0032,97.038500,97.148500,have,I,sd,u-42-2
sw3073B-ms98-a-0032,97.148500,97.208500,to,I,sd,u-42-2
sw3073B-ms98-a-0032,97.208500,97.368500,have,I,sd,u-42-2
sw3073B-ms98-a-0032,97.368500,97.798500,watched,I,sd,u-42-2
sw3073B-ms98-a-0032,97.798500,97.920000,it,I,sd,u-42-2
sw3073B-ms98-a-0032,98.063125,98.438500,last,I,sd,u-42-2
sw3073B-ms98-a-0032,98.438500,98.628500,week,I,sd,u-42-2
sw3073B-ms98-a-0032,98.628500,98.728500,in,I,sd,u-42-2
sw3073B-ms98-a-0032,98.728500,98.898500,order,I,sd,u-42-2
sw3073B-ms98-a-0032,98.898500,99.028500,to,I,sd,u-42-2
sw3073B-ms98-a-0032,99.028500,99.448500,follow,I,sd,u-42-2
sw3073B-ms98-a-0032,99.448500,99.773750,so,B,sd,u-42-3
sw3073B-ms98-a-0033,100.399125,100.499125,you,B,+,u-44-1
sw3073B-ms98-a-0033,100.499125,100.829125,know,I,+,u-44-1
sw3073B-ms98-a-0033,100.829125,100.899125,i,I,+,u-44-1
sw3073B-ms98-a-0033,100.899125,101.199125,usually,I,+,u-44-1
sw3073B-ms98-a-0033,101.199125,101.379125,don't,I,+,u-44-1
sw3073B-ms98-a-0033,101.379125,101.589125,like,I,+,u-44-1
sw3073B-ms98-a-0033,101.589125,101.804500,that,I,+,u-44-1
sw3073B-ms98-a-0035,103.242750,103.761125,uh-huh,B,b,u-46-1
sw3073B-ms98-a-0037,105.770875,105.874000,i,B,aa,u-48-1
sw3073B-ms98-a-0037,105.874000,106.255250,know,I,aa,u-48-1
sw3073B-ms98-a-0039,110.252750,110.713500,uh-huh,B,b,u-50-1
sw3073B-ms98-a-0041,117.882750,118.367750,yeah,B,b,u-52-1
sw3073B-ms98-a-0041,118.543750,118.827000,yeah,O,,
sw3073B-ms98-a-0043,137.542500,137.976250,uh-huh,B,b,u-54-1
sw3073B-ms98-a-0045,151.557625,152.091875,huh,O,,
sw3073B-ms98-a-0047,158.615750,158.943875,uh-huh,B,b,u-58-1
sw3073B-ms98-a-0049,168.879875,169.059875,and,B,qw,u-60-1
sw3073B-ms98-a-0049,169.059875,169.189875,what,I,qw,u-60-1
sw3073B-ms98-a-0049,169.189875,169.399875,night,I,qw,u-60-1
sw3073B-ms98-a-0049,169.399875,169.469875,is,I,qw,u-60-1
sw3073B-ms98-a-0049,169.469875,169.549875,it,I,qw,u-60-1
sw3073B-ms98-a-0049,169.549875,169.889875,on,I,qw,u-60-1
sw3073B-ms98-a-0051,197.508750,198.416625,[laughter],O,,
sw3073B-ms98-a-0051,198.416625,198.565625,oh,B,ba,u-62-1
sw3073B-ms98-a-0051,198.565625,199.324125,great,I,ba,u-62-1
sw3073B-ms98-a-0051,199.324125,201.452250,[laughter],O,,
sw3073B-ms98-a-0053,213.106875,213.704625,oh,B,b,u-66-1
sw3073B-ms98-a-0055,219.790250,220.063500,huh,B,%,u-68-1
sw3073B-ms98-a-0057,236.432375,236.741250,uh-huh,B,b,u-70-1
sw3073B-ms98-a-0059,252.094500,252.417125,uh-huh,B,b,u-72-1
sw3073B-ms98-a-0061,254.404875,254.464875,oh,B,bf,u-74-1
sw3073B-ms98-a-0061,254.464875,254.554875,he,I,bf,u-74-1
sw3073B-ms98-a-0061,254.554875,254.937500,doesn't,I,bf,u-74-1
sw3073B-ms98-a-0063,268.439500,268.829500,um-hum,B,b,u-76-1
sw3073B-ms98-a-0065,270.485125,271.900250,[laughter],O,,
sw3073B-ms98-a-0067,277.362500,277.452500,so,B,br,u-80-1
sw3073B-ms98-a-0067,277.452500,277.512500,he,I,br,u-80-1
sw3073B-ms98-a-0067,277.512500,277.722500,didn't,I,br,u-80-1
sw3073B-ms98-a-0067,277.722500,277.865625,go,I,br,u-80-1
sw3073B-ms98-a-0067,277.865625,278.242500,howl,I,br,u-80-1
sw3073B-ms98-a-0069,283.381500,283.551500,oh,B,ba,u-82-1
sw3073B-ms98-a-0069,283.551500,283.779500,how,I,ba,u-82-1
sw3073B-ms98-a-0069,283.779500,284.541500,funny,I,ba,u-82-1
sw3073B-ms98-a-0071,292.955250,293.165875,huh,B,%,u-84-1
sw3073B-ms98-a-0073,302.422625,302.851125,[laughter],O,,
sw3073B-ms98-a-0075,307.419125,307.592125,it's,B,qy^d,u-88-1
sw3073B-ms98-a-0075,307.592125,307.762125,just,I,qy^d,u-88-1
sw3073B-ms98-a-0075,307.762125,307.812125,a,I,qy^d,u-88-1
sw3073B-ms98-a-0075,307.812125,308.042125,half,I,qy^d,u-88-1
sw3073B-ms98-a-0075,308.042125,308.152125,hour,I,qy^d,u-88-1
sw3073B-ms98-a-0075,308.152125,308.212125,or,B,qrr,u-88-2
sw3073B-ms98-a-0075,308.212125,308.302125,is,I,qrr,u-88-2
sw3073B-ms98-a-0075,308.302125,308.412125,it,I,qrr,u-88-2
sw3073B-ms98-a-0075,308.412125,308.896625,hour,I,qrr,u-88-2
sw3073B-ms98-a-0076,309.681000,310.080250,oh,B,b,u-90-1
sw3073B-ms98-a-0078,311.980250,312.128000,there's,B,sv,u-92-1
sw3073B-ms98-a-0078,312.128000,312.338000,not,I,sv,u-92-1
sw3073B-ms98-a-0078,312.338000,312.588000,many,I,sv,u-92-1
sw3073B-ms98-a-0078,312.588000,312.818000,half,I,sv,u-92-1
sw3073B-ms98-a-0078,312.818000,312.988000,hour,I,sv,u-92-1
sw3073B-ms98-a-0078,312.988000,313.308000,shows,I,sv,u-92-1
sw3073B-ms98-a-0078,313.308000,313.408000,it,B,sv,u-92-2
sw3073B-ms98-a-0078,313.408000,313.658000,seems,I,sv,u-92-2
sw3073B-ms98-a-0078,313.658000,313.808000,like,I,sv,u-92-2
sw3073B-ms98-a-0078,313.808000,314.028000,that,I,sv,u-92-2
sw3073B-ms98-a-0078,314.028000,314.150375,mu[ch]-,O,,
sw3073B-ms98-a-0080,320.019000,320.502375,uh-huh,B,b,u-94-1
sw3073B-ms98-a-0082,340.815500,341.227750,yeah,B,b,u-96-1
sw3073B-ms98-a-0082,341.227750,341.347750,no,B,b,u-96-2
sw3073B-ms98-a-0082,341.347750,341.427750,i,B,sd,u-96-3
sw3073B-ms98-a-0082,341.427750,341.687750,watch,I,sd,u-96-3
sw3073B-ms98-a-0082,341.687750,341.947750,those,I,sd,u-96-3
sw3073B-ms98-a-0082,341.947750,342.087750,if,I,sd,u-96-3
sw3073B-ms98-a-0082,342.087750,342.177750,i,I,sd,u-96-3
sw3073B-ms98-a-0082,342.177750,342.483750,ar[ound]-,O,,
sw3073B-ms98-a-0084,355.916875,356.106875,oh,B,sd,u-98-1
sw3073B-ms98-a-0084,356.106875,356.276875,see,I,sd,u-98-1
sw3073B-ms98-a-0084,356.276875,356.326875,i,I,sd,u-98-1
sw3073B-ms98-a-0084,356.326875,356.556875,like,I,sd,u-98-1
sw3073B-ms98-a-0084,356.556875,357.227250,sports,I,sd,u-98-1
sw3073B-ms98-a-0086,363.355000,363.865625,um-hum,B,b,u-100-1
sw3073B-ms98-a-0088,371.654875,372.016875,uh-huh,B,b^r,u-102-1
sw3073B-ms98-a-0090,378.621500,378.763000,i,B,b,u-104-1
sw3073B-ms98-a-0090,378.763000,379.049250,know,I,b,u-104-1
sw3073B-ms98-a-0092,387.336375,387.682750,no,B,b,u-106-1
sw3073B-ms98-a-0092,387.682750,387.792750,i,B,sd,u-106-2
sw3073B-ms98-a-0092,387.792750,388.012750,don't,I,sd,u-106-2
sw3073B-ms98-a-0092,388.012750,388.471750,sit,I,sd,u-106-2
sw3073B-ms98-a-0093,389.957625,390.077625,i,B,aa,u-108-1
sw3073B-ms98-a-0093,390.077625,390.407625,know,I,aa,u-108-1
sw3073B-ms98-a-0093,390.407625,390.577625,who,B,qh,u-108-2
sw3073B-ms98-a-0093,390.577625,390.867625,has,I,qh,u-108-2
sw3073B-ms98-a-0093,390.867625,391.137625,time,I,qh,u-108-2
sw3073B-ms98-a-0093,391.137625,391.167625,i,B,sd,u-108-3
sw3073B-ms98-a-0093,391.167625,391.287625,don't,I,sd,u-108-3
sw3073B-ms98-a-0093,391.287625,391.507625,have,I,sd,u-108-3
sw3073B-ms98-a-0093,391.507625,391.807625,time,I,sd,u-108-3
sw3073B-ms98-a-0093,391.807625,391.867625,to,I,sd,u-108-3
sw3073B-ms98-a-0093,391.867625,392.201875,sit,I,sd,u-108-3
sw3073B-ms98-a-0093,392.201875,392.349375,i,I,sd,u-108-3
