sw4821B-ms98-a-0003,28.721000,29.002375,um-hum,B,b,u-2-1
sw4821B-ms98-a-0005,32.436625,32.756500,uh-huh,B,b,u-4-1
sw4821B-ms98-a-0005,33.351625,33.686875,well,B,sd,u-4-2
sw4821B-ms98-a-0005,33.848750,33.955750,i-,I,sd,u-4-2
sw4821B-ms98-a-0005,34.140250,34.521000,i,I,sd,u-4-2
sw4821B-ms98-a-0005,34.521000,34.701875,get,I,sd,u-4-2
sw4821B-ms98-a-0005,34.701875,34.921000,a,I,sd,u-4-2
sw4821B-ms98-a-0005,34.921000,35.331000,weekend,B,+,u-6-1
sw4821B-ms98-a-0005,35.331000,35.651000,paper,I,+,u-6-1
sw4821B-ms98-a-0005,35.651000,35.811000,as,I,+,u-6-1
sw4821B-ms98-a-0005,35.811000,36.266750,well,I,+,u-6-1
sw4821B-ms98-a-0005,36.330750,36.679250,and,B,sd,u-6-2
sw4821B-ms98-a-0005,37.165125,37.371000,uh,I,sd,u-6-2
sw4821B-ms98-a-0005,37.371000,37.571000,in,I,sd,u-6-2
sw4821B-ms98-a-0005,37.571000,37.911000,addition,I,sd,u-6-2
sw4821B-ms98-a-0005,37.911000,38.031000,to,I,sd,u-6-2
sw4821B-ms98-a-0005,38.031000,38.221000,that,I,sd,u-6-2
sw4821B-ms98-a-0005,38.221000,38.301000,i,I,sd,u-6-2
sw4821B-ms98-a-0005,38.301000,38.501000,get,I,sd,u-6-2
sw4821B-ms98-a-0005,38.501000,38.561000,a,I,sd,u-6-2
sw4821B-ms98-a-0005,38.561000,39.001000,local,I,sd,u-6-2
sw4821B-ms98-a-0005,39.001000,39.491000,weekly,I,sd,u-6-2
sw4821B-ms98-a-0005,39.491000,39.747125,i-,O,,
sw4821B-ms98-a-0005,39.747125,39.861000,i,B,sd,u-6-3
sw4821B-ms98-a-0005,39.861000,40.041000,live,I,sd,u-6-3
sw4821B-ms98-a-0005,40.041000,40.211000,in,I,sd,u-6-3
sw4821B-ms98-a-0005,40.211000,40.716125,suburb,I,sd,u-6-3
sw4821B-ms98-a-0005,40.716125,40.866750,of,I,sd,u-6-3
sw4821B-ms98-a-0005,41.099000,41.771000,Milwaukee,I,sd,u-6-3
sw4821B-ms98-a-0005,41.771000,42.059875,and,B,sd,u-8-1
sw4821B-ms98-a-0005,42.155000,42.273375,they,I,sd,u-8-1
sw4821B-ms98-a-0005,42.273375,42.565375,get,I,sd,u-8-1
sw4821B-ms98-a-0005,42.565375,42.840625,they,I,sd,u-8-1
sw4821B-ms98-a-0006,43.510500,43.841625,have,I,sd,u-8-1
sw4821B-ms98-a-0006,43.841625,44.336125,community,I,sd,u-8-1
sw4821B-ms98-a-0006,44.336125,44.936125,newspapers,I,sd,u-8-1
sw4821B-ms98-a-0006,44.936125,45.206125,around,I,sd,u-8-1
sw4821B-ms98-a-0006,45.206125,45.366125,here,I,sd,u-8-1
sw4821B-ms98-a-0006,45.366125,45.626125,so,I,sd,u-8-1
sw4821B-ms98-a-0006,45.626125,45.716125,the,I,sd,u-8-1
sw4821B-ms98-a-0006,45.716125,46.237125,local,I,sd,u-8-1
sw4821B-ms98-a-0006,46.424000,46.548250,their,I,sd,u-8-1
sw4821B-ms98-a-0006,46.736125,47.336125,extremely,I,sd,u-8-1
sw4821B-ms98-a-0006,47.336125,47.814125,local,I,sd,u-8-1
sw4821B-ms98-a-0006,47.814125,48.187000,[laughter],I,sd,u-8-1
sw4821B-ms98-a-0006,48.187000,48.798875,stuff,I,sd,u-8-1
sw4821B-ms98-a-0006,49.005000,49.193000,uh,B,+,u-10-1
sw4821B-ms98-a-0006,49.193000,49.343625,is,I,+,u-10-1
sw4821B-ms98-a-0006,49.343625,49.456125,in,I,+,u-10-1
sw4821B-ms98-a-0006,49.456125,49.556125,the,I,+,u-10-1
sw4821B-ms98-a-0006,49.556125,49.866125,local,I,+,u-10-1
sw4821B-ms98-a-0006,49.866125,50.176125,paper,I,+,u-10-1
sw4821B-ms98-a-0006,50.176125,50.286125,that,I,+,u-10-1
sw4821B-ms98-a-0006,50.286125,50.516125,comes,I,+,u-10-1
sw4821B-ms98-a-0006,50.516125,50.666125,out,I,+,u-10-1
sw4821B-ms98-a-0006,50.666125,50.926125,once,I,+,u-10-1
sw4821B-ms98-a-0006,50.926125,50.986125,a,I,+,u-10-1
sw4821B-ms98-a-0006,50.986125,51.226125,week,I,+,u-10-1
sw4821B-ms98-a-0006,51.226125,51.636125,and,B,sd,u-10-2
sw4821B-ms98-a-0006,51.636125,51.726125,then,I,sd,u-10-2
