sw2040A-ms98-a-0002,1.935250,2.485250,yes,B,o,u-1-1
sw2040A-ms98-a-0002,2.485250,2.981500,um,B,qr,u-1-2
sw2040A-ms98-a-0002,3.215000,3.335250,i,I,qr,u-1-2
sw2040A-ms98-a-0002,3.335250,3.495250,was,I,qr,u-1-2
sw2040A-ms98-a-0002,3.495250,3.965250,wondering,I,qr,u-1-2
sw2040A-ms98-a-0002,3.965250,4.235250,whether,I,qr,u-1-2
sw2040A-ms98-a-0002,4.235250,4.505250,you,I,qr,u-1-2
sw2040A-ms98-a-0002,4.505250,4.845250,were,I,qr,u-1-2
sw2040A-ms98-a-0002,4.845250,4.978625,in,I,qr,u-1-2
sw2040A-ms98-a-0002,4.978625,5.517250,favor,I,qr,u-1-2
sw2040A-ms98-a-0002,5.517250,5.955125,of,I,qr,u-1-2
sw2040A-ms98-a-0002,6.267750,7.065250,statehood,I,qr,u-1-2
sw2040A-ms98-a-0002,7.065250,7.835250,independence,I,qr,u-1-2
sw2040A-ms98-a-0002,7.835250,7.975250,or,I,qr,u-1-2
sw2040A-ms98-a-0002,7.975250,8.075250,the,I,qr,u-1-2
sw2040A-ms98-a-0002,8.075250,8.505250,status,I,qr,u-1-2
sw2040A-ms98-a-0002,8.505250,8.795250,quo,I,qr,u-1-2
sw2040A-ms98-a-0002,8.795250,8.965250,for,I,qr,u-1-2
sw2040A-ms98-a-0002,8.965250,9.245250,Puerto,I,qr,u-1-2
sw2040A-ms98-a-0002,9.245250,9.695250,Rico,I,qr,u-1-2
sw2040A-ms98-a-0004,55.513375,55.833375,well,B,sd,u-3-1
sw2040A-ms98-a-0004,55.833375,56.229500,i'm,I,sd,u-3-1
sw2040A-ms98-a-0004,56.568500,56.723375,i,I,sd,u-3-1
sw2040A-ms98-a-0004,56.723375,57.260000,guess,I,sd,u-3-1
sw2040A-ms98-a-0005,58.613250,58.741000,i,I,sd,u-3-1
sw2040A-ms98-a-0005,58.741000,58.918000,don't,I,sd,u-3-1
sw2040A-ms98-a-0005,58.918000,59.133250,have,I,sd,u-3-1
sw2040A-ms98-a-0005,59.133250,59.463250,su[ch]-,I,sd,u-3-1
sw2040A-ms98-a-0005,59.463250,59.743250,such,I,sd,u-3-1
sw2040A-ms98-a-0005,59.743250,60.083250,close,I,sd,u-3-1
sw2040A-ms98-a-0005,60.083250,60.783250,experience,I,sd,u-3-1
sw2040A-ms98-a-0005,60.783250,61.103250,with,I,sd,u-3-1
sw2040A-ms98-a-0005,61.103250,61.437000,with,I,sd,u-3-1
sw2040A-ms98-a-0005,61.824875,62.461750,um,I,sd,u-3-1
sw2040A-ms98-a-0005,62.898625,63.033250,an,I,sd,u-3-1
sw2040A-ms98-a-0005,63.033250,63.373250,area,I,sd,u-3-1
sw2040A-ms98-a-0005,63.373250,63.753250,becoming,I,sd,u-3-1
sw2040A-ms98-a-0005,63.753250,63.833250,a,I,sd,u-3-1
sw2040A-ms98-a-0005,63.833250,64.103250,state,I,sd,u-3-1
sw2040A-ms98-a-0005,64.103250,64.233250,as,I,sd,u-3-1
sw2040A-ms98-a-0005,64.233250,64.383250,you,I,sd,u-3-1
sw2040A-ms98-a-0005,64.383250,64.696375,do,I,sd,u-3-1
sw2040A-ms98-a-0006,65.291875,65.851875,um,B,sv,u-3-2
sw2040A-ms98-a-0006,65.951875,66.151875,my,I,sv,u-3-2
sw2040A-ms98-a-0006,66.151875,66.771875,concern,I,sv,u-3-2
sw2040A-ms98-a-0006,66.771875,67.381750,is,I,sv,u-3-2
sw2040A-ms98-a-0006,67.747125,67.891875,the,I,sv,u-3-2
sw2040A-ms98-a-0006,67.891875,68.791125,economy,I,sv,u-3-2
sw2040A-ms98-a-0006,68.998375,69.681875,because,I,sv,u-3-2
sw2040A-ms98-a-0006,70.101875,70.281875,as,I,sv,u-3-2
sw2040A-ms98-a-0006,70.281875,70.431875,i,I,sv,u-3-2
sw2040A-ms98-a-0006,70.431875,70.961875,understand,I,sv,u-3-2
sw2040A-ms98-a-0006,70.961875,71.061875,it,I,sv,u-3-2
sw2040A-ms98-a-0006,71.061875,71.301875,Puerto,I,sv,u-3-2
sw2040A-ms98-a-0006,71.301875,71.631875,Rico,I,sv,u-3-2
sw2040A-ms98-a-0006,71.631875,71.881875,has,I,sv,u-3-2
sw2040A-ms98-a-0006,71.881875,72.021875,a,I,sv,u-3-2
sw2040A-ms98-a-0006,72.161875,72.491875,very,I,sv,u-3-2
sw2040A-ms98-a-0006,72.491875,72.771875,low,I,sv,u-3-2
sw2040A-ms98-a-0006,72.771875,72.893375,st[andard]-,I,sv,u-3-2
sw2040A-ms98-a-0006,73.101875,73.498500,uh,I,sv,u-3-2
sw2040A-ms98-a-0006,73.961750,74.411875,standard,I,sv,u-3-2
sw2040A-ms98-a-0006,74.411875,74.531875,of,I,sv,u-3-2
sw2040A-ms98-a-0006,74.531875,74.891875,living,I,sv,u-3-2
sw2040A-ms98-a-0006,74.891875,75.071875,or,I,sv,u-3-2
sw2040A-ms98-a-0006,75.071875,75.181875,at,I,sv,u-3-2
sw2040A-ms98-a-0006,75.181875,75.651875,least,I,sv,u-3-2
sw2040A-ms98-a-0006,75.651875,76.069625,um,I,sv,u-3-2
sw2040A-ms98-a-0006,76.178875,76.671875,annual,I,sv,u-3-2
sw2040A-ms98-a-0006,76.671875,77.021125,average,I,sv,u-3-2
sw2040A-ms98-a-0006,77.021125,77.681875,income,I,sv,u-3-2
sw2040A-ms98-a-0007,78.524125,78.984125,um,B,sv,u-3-3
sw2040A-ms98-a-0007,78.984125,79.234125,part,I,sv,u-3-3
sw2040A-ms98-a-0007,79.234125,79.354125,of,I,sv,u-3-3
sw2040A-ms98-a-0007,79.354125,79.520625,this,I,sv,u-3-3
sw2040A-ms98-a-0007,79.520625,79.709000,i,I,sv,u-3-3
sw2040A-ms98-a-0007,79.709000,80.368875,suppose,I,sv,u-3-3
sw2040A-ms98-a-0007,80.854125,81.054125,is,I,sv,u-3-3
sw2040A-ms98-a-0007,81.054125,81.739875,justified,I,sv,u-3-3
sw2040A-ms98-a-0007,81.739875,82.169250,in,I,sv,u-3-3
sw2040A-ms98-a-0007,82.169250,82.310500,i[n]-,I,sv,u-3-3
sw2040A-ms98-a-0007,82.525125,82.684125,in,I,sv,u-3-3
sw2040A-ms98-a-0007,82.684125,82.824125,that,I,sv,u-3-3
sw2040A-ms98-a-0007,82.824125,82.884125,the,I,sv,u-3-3
sw2040A-ms98-a-0007,82.884125,83.344125,climate,I,sv,u-3-3
sw2040A-ms98-a-0007,83.344125,83.454125,they,I,sv,u-3-3
sw2040A-ms98-a-0007,83.454125,83.704125,don't,I,sv,u-3-3
sw2040A-ms98-a-0007,83.704125,84.384125,need,I,sv,u-3-3
sw2040A-ms98-a-0007,84.384125,84.794125,perhaps,I,sv,u-3-3
sw2040A-ms98-a-0007,84.794125,84.874125,the,I,sv,u-3-3
sw2040A-ms98-a-0007,84.874125,85.284125,heating,I,sv,u-3-3
sw2040A-ms98-a-0007,85.284125,85.414125,and,I,sv,u-3-3
sw2040A-ms98-a-0007,85.414125,85.494125,the,I,sv,u-3-3
sw2040A-ms98-a-0007,85.494125,86.064125,housing,I,sv,u-3-3
sw2040A-ms98-a-0007,86.254125,86.384125,that,I,sv,u-3-3
sw2040A-ms98-a-0007,86.384125,86.564375,some,I,sv,u-3-3
sw2040A-ms98-a-0007,86.564375,86.756500,of,I,sv,u-3-3
sw2040A-ms98-a-0007,86.756500,87.098375,th[e]-,I,sv,u-3-3
sw2040A-ms98-a-0007,87.279125,87.364125,the,I,sv,u-3-3
sw2040A-ms98-a-0007,87.364125,87.614125,more,I,sv,u-3-3
sw2040A-ms98-a-0007,87.614125,88.204125,northern,I,sv,u-3-3
sw2040A-ms98-a-0007,88.204125,88.904125,territories,I,sv,u-3-3
sw2040A-ms98-a-0007,88.904125,89.262500,need,I,sv,u-3-3
sw2040A-ms98-a-0008,90.011750,90.720500,however,B,sv,u-3-4
sw2040A-ms98-a-0008,91.006750,91.201750,in,I,sv,u-3-4
sw2040A-ms98-a-0008,91.201750,91.421750,that,I,sv,u-3-4
sw2040A-ms98-a-0008,91.421750,91.673375,case,I,sv,u-3-4
sw2040A-ms98-a-0008,91.673375,91.831500,i,I,sv,u-3-4
sw2040A-ms98-a-0008,91.831500,92.466500,guess,I,sv,u-3-4
sw2040A-ms98-a-0008,92.653750,92.811875,i,I,sv,u-3-4
sw2040A-ms98-a-0008,92.811875,92.991750,would,I,sv,u-3-4
sw2040A-ms98-a-0008,92.991750,93.361750,favor,I,sv,u-3-4
sw2040A-ms98-a-0008,93.361750,93.871750,status,I,sv,u-3-4
sw2040A-ms98-a-0008,93.871750,94.361750,quo,I,sv,u-3-4
sw2040A-ms98-a-0009,95.307000,95.436375,i,B,sd,u-3-5
sw2040A-ms98-a-0009,95.436375,95.601250,have,I,sd,u-3-5
sw2040A-ms98-a-0009,95.601250,95.817000,been,I,sd,u-3-5
sw2040A-ms98-a-0009,95.817000,95.887000,to,I,sd,u-3-5
sw2040A-ms98-a-0009,95.887000,96.157000,Puerto,I,sd,u-3-5
sw2040A-ms98-a-0009,96.157000,96.617000,Rico,I,sd,u-3-5
sw2040A-ms98-a-0009,96.617000,96.997000,and,I,sd,u-3-5
sw2040A-ms98-a-0009,96.997000,97.207000,and,I,sd,u-3-5
sw2040A-ms98-a-0009,97.207000,97.407000,found,I,sd,u-3-5
sw2040A-ms98-a-0009,97.407000,97.557000,it,I,sd,u-3-5
sw2040A-ms98-a-0009,97.557000,97.807000,very,I,sd,u-3-5
sw2040A-ms98-a-0009,97.807000,98.067000,very,I,sd,u-3-5
sw2040A-ms98-a-0009,98.067000,98.567000,interesting,I,sd,u-3-5
sw2040A-ms98-a-0009,98.567000,98.667000,i,B,sd,u-3-6
sw2040A-ms98-a-0009,98.667000,98.857000,did,I,sd,u-3-6
sw2040A-ms98-a-0009,98.857000,99.067000,Peace,I,sd,u-3-6
sw2040A-ms98-a-0009,99.067000,99.227000,Corps,I,sd,u-3-6
sw2040A-ms98-a-0009,99.227000,99.677000,training,I,sd,u-3-6
sw2040A-ms98-a-0009,99.677000,99.957000,there,I,sd,u-3-6
sw2040A-ms98-a-0010,101.360500,101.750500,and,B,sd,u-5-1
sw2040A-ms98-a-0010,101.750500,102.220500,so,I,sd,u-5-1
sw2040A-ms98-a-0010,102.220500,102.730500,um,I,sd,u-5-1
sw2040A-ms98-a-0010,103.170500,103.260500,you,I,sd,u-5-1
sw2040A-ms98-a-0010,103.260500,103.440500,know,I,sd,u-5-1
sw2040A-ms98-a-0010,103.440500,103.560500,i,I,sd,u-5-1
sw2040A-ms98-a-0010,103.560500,103.890500,saw,I,sd,u-5-1
sw2040A-ms98-a-0010,103.890500,104.020500,it,I,sd,u-5-1
sw2040A-ms98-a-0010,104.460500,104.700500,also,I,sd,u-5-1
sw2040A-ms98-a-0010,104.700500,104.820500,as,I,sd,u-5-1
sw2040A-ms98-a-0010,104.820500,104.850500,a,I,sd,u-5-1
sw2040A-ms98-a-0010,104.850500,105.160500,young,I,sd,u-5-1
sw2040A-ms98-a-0010,105.160500,105.760500,student,I,sd,u-5-1
sw2040A-ms98-a-0010,105.760500,106.410500,and,B,sd,u-5-2
sw2040A-ms98-a-0010,106.410500,106.710500,and,I,sd,u-5-2
sw2040A-ms98-a-0010,106.710500,106.810500,it,I,sd,u-5-2
sw2040A-ms98-a-0010,106.810500,107.174250,was,I,sd,u-5-2
sw2040A-ms98-a-0010,107.562125,107.820500,very,I,sd,u-5-2
sw2040A-ms98-a-0010,107.820500,108.410500,foreign,I,sd,u-5-2
sw2040A-ms98-a-0010,108.410500,108.590500,in,I,sd,u-5-2
sw2040A-ms98-a-0010,108.590500,108.720500,a,I,sd,u-5-2
sw2040A-ms98-a-0010,108.720500,109.040500,certain,I,sd,u-5-2
sw2040A-ms98-a-0010,109.040500,109.470500,sense,I,sd,u-5-2
sw2040A-ms98-a-0010,109.470500,109.760500,although,I,sd,u-5-2
sw2040A-ms98-a-0010,109.760500,109.810500,i,I,sd,u-5-2
sw2040A-ms98-a-0010,109.810500,110.020500,had,I,sd,u-5-2
sw2040A-ms98-a-0010,110.020500,110.280500,grown,I,sd,u-5-2
sw2040A-ms98-a-0010,110.280500,110.430500,up,I,sd,u-5-2
sw2040A-ms98-a-0010,110.430500,110.540500,in,I,sd,u-5-2
sw2040A-ms98-a-0010,110.540500,111.200500,California,I,sd,u-5-2
sw2040A-ms98-a-0010,111.200500,111.360500,and,B,sd,u-5-3
sw2040A-ms98-a-0010,111.360500,111.500500,so,I,sd,u-5-3
sw2040A-ms98-a-0010,111.500500,111.580500,the,I,sd,u-5-3
