sw4037B-ms98-a-0003,6.928250,7.139500,yeah,B,ny,u-2-1
sw4037B-ms98-a-0003,7.139500,7.239500,we,B,sd^e,u-2-2
sw4037B-ms98-a-0003,7.239500,7.369500,do,I,sd^e,u-2-2
sw4037B-ms98-a-0003,7.369500,7.509500,have,I,sd^e,u-2-2
sw4037B-ms98-a-0003,7.509500,7.569500,the,I,sd^e,u-2-2
sw4037B-ms98-a-0003,7.569500,7.779500,death,I,sd^e,u-2-2
sw4037B-ms98-a-0003,7.779500,8.129500,penalty,I,sd^e,u-2-2
sw4037B-ms98-a-0003,8.129500,8.299500,here,I,sd^e,u-2-2
sw4037B-ms98-a-0003,8.299500,8.419500,it's,B,sd,u-2-3
sw4037B-ms98-a-0003,8.419500,8.559500,not,I,sd,u-2-3
sw4037B-ms98-a-0003,8.559500,9.049500,exercised,I,sd,u-2-3
sw4037B-ms98-a-0003,9.049500,9.299500,very,I,sd,u-2-3
sw4037B-ms98-a-0003,9.299500,9.630750,often,I,sd,u-2-3
sw4037B-ms98-a-0003,10.094125,10.259500,but,B,sd,u-2-4
sw4037B-ms98-a-0003,10.259500,10.349500,we,I,sd,u-2-4
sw4037B-ms98-a-0003,10.349500,10.509500,do,I,sd,u-2-4
sw4037B-ms98-a-0003,10.509500,10.699500,have,I,sd,u-2-4
sw4037B-ms98-a-0003,10.699500,10.919250,it,I,sd,u-2-4
sw4037B-ms98-a-0004,11.555375,11.652000,i,B,sd,u-4-1
sw4037B-ms98-a-0004,11.652000,11.862000,believe,I,sd,u-4-1
sw4037B-ms98-a-0004,11.862000,12.022000,it,I,sd,u-4-1
sw4037B-ms98-a-0004,12.022000,12.162000,i,B,sd@,u-4-2
sw4037B-ms98-a-0004,12.162000,12.402000,can't,I,sd@,u-4-2
sw4037B-ms98-a-0004,12.402000,12.522000,even,I,sd@,u-4-2
sw4037B-ms98-a-0004,12.522000,12.782000,remember,I,sd@,u-4-2
sw4037B-ms98-a-0004,12.782000,12.842000,the,I,sd@,u-4-2
sw4037B-ms98-a-0004,12.842000,13.102000,last,I,sd@,u-4-2
sw4037B-ms98-a-0004,13.102000,13.572000,execution,I,sd@,u-4-2
sw4037B-ms98-a-0004,13.572000,13.672000,we,I,sd@,u-4-2
sw4037B-ms98-a-0004,13.672000,13.872000,had,I,sd@,u-4-2
sw4037B-ms98-a-0004,13.872000,14.042000,here,I,sd@,u-4-2
sw4037B-ms98-a-0004,14.042000,14.469250,actually,I,sd@,u-4-2
sw4037B-ms98-a-0005,15.530750,15.756625,uh,B,+@,u-6-1
sw4037B-ms98-a-0005,15.756625,16.166625,personally,I,+@,u-6-1
sw4037B-ms98-a-0005,16.166625,16.356625,i'm,I,+@,u-6-1
sw4037B-ms98-a-0005,16.356625,16.476625,in,I,+@,u-6-1
sw4037B-ms98-a-0005,16.476625,16.796625,favor,I,+@,u-6-1
sw4037B-ms98-a-0005,16.796625,16.866625,of,I,+@,u-6-1
sw4037B-ms98-a-0005,16.866625,17.216625,capital,I,+@,u-6-1
sw4037B-ms98-a-0005,17.216625,17.656625,punishment,I,+@,u-6-1
sw4037B-ms98-a-0005,17.656625,17.716625,i,B,sd,u-6-2
sw4037B-ms98-a-0005,17.716625,17.876625,know,I,sd,u-6-2
sw4037B-ms98-a-0005,17.876625,18.036625,there's,I,sd,u-6-2
sw4037B-ms98-a-0005,18.036625,18.086625,a,I,sd,u-6-2
sw4037B-ms98-a-0005,18.086625,18.288000,lot,I,sd,u-6-2
sw4037B-ms98-a-0005,18.288000,18.520375,of,I,sd,u-6-2
sw4037B-ms98-a-0005,19.356500,19.476625,lot,I,sd,u-6-2
sw4037B-ms98-a-0005,19.476625,19.536625,of,I,sd,u-6-2
sw4037B-ms98-a-0005,19.536625,20.046625,problems,I,sd,u-6-2
sw4037B-ms98-a-0005,20.046625,20.236625,with,I,sd,u-6-2
sw4037B-ms98-a-0005,20.236625,20.386625,it,I,sd,u-6-2
sw4037B-ms98-a-0005,20.386625,20.796625,but,B,sv,u-6-3
sw4037B-ms98-a-0005,20.796625,21.191875,uh,I,sv,u-6-3
sw4037B-ms98-a-0006,21.954625,22.146500,seems,B,+,u-8-1
sw4037B-ms98-a-0006,22.146500,22.236500,to,I,+,u-8-1
sw4037B-ms98-a-0006,22.236500,22.426500,me,I,+,u-8-1
sw4037B-ms98-a-0006,22.426500,22.586500,that,I,+,u-8-1
sw4037B-ms98-a-0006,22.586500,22.756500,some,I,+,u-8-1
sw4037B-ms98-a-0006,22.756500,23.156500,crimes,I,+,u-8-1
sw4037B-ms98-a-0006,23.156500,23.266500,are,I,+,u-8-1
sw4037B-ms98-a-0006,23.266500,23.486500,just,I,+,u-8-1
sw4037B-ms98-a-0006,23.486500,23.676500,so,I,+,u-8-1
sw4037B-ms98-a-0006,23.676500,24.086500,heinous,I,+,u-8-1
sw4037B-ms98-a-0006,24.086500,24.371500,that,I,+,u-8-1
sw4037B-ms98-a-0006,24.740625,24.896500,that,I,+,u-8-1
sw4037B-ms98-a-0006,24.896500,24.966500,the,I,+,u-8-1
