sw4327A-ms98-a-0001,0.062250,0.258000,right,B,o,u-1-1
sw4327A-ms98-a-0001,0.258000,0.795125,uh,B,sd,u-1-2
sw4327A-ms98-a-0001,0.795125,1.370500,actually,I,sd,u-1-2
sw4327A-ms98-a-0001,1.370500,1.729875,i,I,sd,u-1-2
sw4327A-ms98-a-0002,2.079500,2.399500,lived,I,sd,u-1-2
sw4327A-ms98-a-0002,2.399500,2.579500,over,I,sd,u-1-2
sw4327A-ms98-a-0002,2.579500,2.649500,in,I,sd,u-1-2
sw4327A-ms98-a-0002,2.649500,3.009500,Europe,I,sd,u-1-2
sw4327A-ms98-a-0002,3.009500,3.159500,for,I,sd,u-1-2
sw4327A-ms98-a-0002,3.159500,3.219500,a,I,sd,u-1-2
sw4327A-ms98-a-0002,3.219500,3.489500,couple,I,sd,u-1-2
sw4327A-ms98-a-0002,3.489500,3.579500,of,I,sd,u-1-2
sw4327A-ms98-a-0002,3.579500,3.999500,years,I,sd,u-1-2
sw4327A-ms98-a-0002,3.999500,4.148750,i,B,sd,u-1-3
sw4327A-ms98-a-0002,4.148750,4.269500,lived,I,sd,u-1-3
sw4327A-ms98-a-0002,4.269500,4.359500,in,I,sd,u-1-3
sw4327A-ms98-a-0002,4.359500,4.890250,Germany,I,sd,u-1-3
sw4327A-ms98-a-0002,4.890250,5.019500,and,B,sd,u-1-4
sw4327A-ms98-a-0002,5.019500,5.109500,in,I,sd,u-1-4
sw4327A-ms98-a-0002,5.109500,5.449500,Germany,I,sd,u-1-4
sw4327A-ms98-a-0002,5.449500,5.539500,they,I,sd,u-1-4
sw4327A-ms98-a-0002,5.539500,5.709500,don't,I,sd,u-1-4
sw4327A-ms98-a-0002,5.709500,5.989500,have,I,sd,u-1-4
sw4327A-ms98-a-0002,5.989500,6.069500,the,I,sd,u-1-4
sw4327A-ms98-a-0002,6.069500,6.389500,jury,I,sd,u-1-4
sw4327A-ms98-a-0002,6.389500,6.827000,system,I,sd,u-1-4
sw4327A-ms98-a-0002,7.071875,7.209500,what,B,sd,u-1-5
sw4327A-ms98-a-0002,7.209500,7.319500,they,I,sd,u-1-5
sw4327A-ms98-a-0002,7.319500,7.549500,do,I,sd,u-1-5
sw4327A-ms98-a-0002,7.549500,7.679500,is,I,sd,u-1-5
sw4327A-ms98-a-0002,7.679500,7.809500,they,I,sd,u-1-5
sw4327A-ms98-a-0002,7.809500,8.156500,have,I,sd,u-1-5
sw4327A-ms98-a-0002,8.156500,8.466125,uh,I,sd,u-1-5
sw4327A-ms98-a-0002,8.824000,9.249500,three,I,sd,u-1-5
sw4327A-ms98-a-0002,9.249500,9.859500,judges,I,sd,u-1-5
sw4327A-ms98-a-0002,9.859500,10.569500,basically,I,sd,u-1-5
sw4327A-ms98-a-0003,11.066125,11.196125,and,B,sd,u-1-6
sw4327A-ms98-a-0003,11.196125,11.306125,you,I,sd,u-1-6
sw4327A-ms98-a-0003,11.306125,11.426125,get,I,sd,u-1-6
sw4327A-ms98-a-0003,11.426125,11.586125,up,I,sd,u-1-6
sw4327A-ms98-a-0003,11.586125,11.846125,there,I,sd,u-1-6
sw4327A-ms98-a-0003,11.846125,11.996125,and,B,sd,u-1-7
sw4327A-ms98-a-0003,11.996125,12.056125,the,I,sd,u-1-7
sw4327A-ms98-a-0003,12.056125,12.696125,prosecuting,I,sd,u-1-7
sw4327A-ms98-a-0003,12.696125,13.036125,attorney,I,sd,u-1-7
sw4327A-ms98-a-0003,13.036125,13.476125,presents,I,sd,u-1-7
sw4327A-ms98-a-0003,13.476125,13.656125,his,I,sd,u-1-7
sw4327A-ms98-a-0003,13.656125,14.146125,evidence,I,sd,u-1-7
sw4327A-ms98-a-0003,14.146125,14.266125,and,B,sd,u-1-8
sw4327A-ms98-a-0003,14.266125,14.406125,your,I,sd,u-1-8
sw4327A-ms98-a-0003,14.406125,14.796125,defense,I,sd,u-1-8
sw4327A-ms98-a-0003,14.796125,15.136125,attorney,I,sd,u-1-8
sw4327A-ms98-a-0003,15.136125,15.656125,presents,I,sd,u-1-8
sw4327A-ms98-a-0003,15.656125,15.886125,their,I,sd,u-1-8
sw4327A-ms98-a-0003,15.886125,16.309250,evidence,I,sd,u-1-8
sw4327A-ms98-a-0003,16.599250,16.716125,and,B,sd,u-1-9
sw4327A-ms98-a-0003,16.716125,16.886125,those,I,sd,u-1-9
sw4327A-ms98-a-0003,16.886125,17.096125,three,I,sd,u-1-9
sw4327A-ms98-a-0003,17.096125,17.346125,guys,I,sd,u-1-9
sw4327A-ms98-a-0003,17.346125,17.584125,take,I,sd,u-1-9
sw4327A-ms98-a-0003,17.584125,17.690875,the,I,sd,u-1-9
sw4327A-ms98-a-0003,17.690875,18.066125,evidence,I,sd,u-1-9
sw4327A-ms98-a-0003,18.066125,18.276125,go,I,sd,u-1-9
sw4327A-ms98-a-0003,18.276125,18.586125,off,I,sd,u-1-9
sw4327A-ms98-a-0003,18.586125,19.366125,figure,I,sd,u-1-9
sw4327A-ms98-a-0003,19.366125,19.446125,it,I,sd,u-1-9
sw4327A-ms98-a-0003,19.446125,19.745500,out,I,sd,u-1-9
sw4327A-ms98-a-0003,19.745500,19.926125,and,I,sd,u-1-9
sw4327A-ms98-a-0003,19.926125,20.026125,then,I,sd,u-1-9
sw4327A-ms98-a-0003,20.026125,20.216125,come,I,sd,u-1-9
sw4327A-ms98-a-0003,20.216125,20.426125,back,I,sd,u-1-9
sw4327A-ms98-a-0003,20.426125,20.526125,and,I,sd,u-1-9
sw4327A-ms98-a-0003,20.526125,20.696125,say,I,sd,u-1-9
