sw3398B-ms98-a-0002,1.882125,2.450250,hello,B,fp,u-1-1
sw3398B-ms98-a-0003,3.274625,3.799875,hi,B,fp^m,u-3-1
sw3398B-ms98-a-0005,5.775625,5.945625,[vocalized-noise],O,,
sw3398B-ms98-a-0007,8.072625,8.492625,hi,B,fp,u-5-1
sw3398B-ms98-a-0007,8.492625,8.642625,my,B,fp,u-5-2
sw3398B-ms98-a-0007,8.642625,8.802625,name,I,fp,u-5-2
sw3398B-ms98-a-0007,8.802625,8.942625,is,I,fp,u-5-2
sw3398B-ms98-a-0007,8.942625,9.372625,Lowell,I,fp,u-5-2
sw3398B-ms98-a-0007,9.372625,9.502625,and,B,fp,u-5-3
sw3398B-ms98-a-0007,9.502625,9.622625,i,I,fp,u-5-3
sw3398B-ms98-a-0007,9.622625,9.842625,live,I,fp,u-5-3
sw3398B-ms98-a-0007,9.842625,10.022625,in,I,fp,u-5-3
sw3398B-ms98-a-0007,10.022625,10.352625,Raleigh,I,fp,u-5-3
sw3398B-ms98-a-0007,10.352625,10.572625,North,I,fp,u-5-3
sw3398B-ms98-a-0007,10.572625,11.342625,Carolina,I,fp,u-5-3
sw3398B-ms98-a-0009,15.005500,15.285500,go,B,ad,u-7-1
sw3398B-ms98-a-0009,15.285500,15.485500,right,I,ad,u-7-1
sw3398B-ms98-a-0009,15.485500,16.065500,ahead,I,ad,u-7-1
sw3398B-ms98-a-0011,49.846875,50.306875,i'm,B,sd,u-9-1
sw3398B-ms98-a-0011,50.306875,50.536875,i'm,I,sd,u-9-1
sw3398B-ms98-a-0011,50.536875,51.106875,single,I,sd,u-9-1
sw3398B-ms98-a-0011,51.106875,51.226875,and,B,sd,u-9-2
sw3398B-ms98-a-0011,51.226875,51.446875,i,I,sd,u-9-2
sw3398B-ms98-a-0011,51.446875,51.606875,i,I,sd,u-9-2
sw3398B-ms98-a-0011,51.606875,51.816875,live,I,sd,u-9-2
sw3398B-ms98-a-0011,51.816875,51.896875,in,I,sd,u-9-2
sw3398B-ms98-a-0011,51.896875,51.976875,a,I,sd,u-9-2
sw3398B-ms98-a-0011,51.976875,52.386875,town,I,sd,u-9-2
sw3398B-ms98-a-0011,52.386875,52.823875,home,I,sd,u-9-2
sw3398B-ms98-a-0011,53.294750,53.596875,here,B,+,u-11-1
sw3398B-ms98-a-0011,53.596875,53.787500,in,I,+,u-11-1
sw3398B-ms98-a-0011,53.787500,54.307250,Raleigh,I,+,u-11-1
sw3398B-ms98-a-0011,54.307250,54.721250,and,B,sd,u-11-2
sw3398B-ms98-a-0011,55.179500,55.386750,it's,B,+,u-13-1
sw3398B-ms98-a-0011,55.386750,55.636875,pretty,I,+,u-13-1
sw3398B-ms98-a-0011,55.636875,56.166875,typical,I,+,u-13-1
sw3398B-ms98-a-0011,56.166875,56.336875,of,I,+,u-13-1
sw3398B-ms98-a-0011,56.336875,56.796875,the,I,+,u-13-1
sw3398B-ms98-a-0011,56.796875,57.066875,other,I,+,u-13-1
sw3398B-ms98-a-0011,57.066875,57.406875,town,I,+,u-13-1
sw3398B-ms98-a-0011,57.406875,57.756875,homes,I,+,u-13-1
sw3398B-ms98-a-0011,57.756875,57.876875,in,I,+,u-13-1
sw3398B-ms98-a-0011,57.876875,57.936875,the,I,+,u-13-1
sw3398B-ms98-a-0011,57.936875,58.426875,area,I,+,u-13-1
sw3398B-ms98-a-0011,58.426875,58.603500,the[re]-,O,,
sw3398B-ms98-a-0011,58.727750,58.916875,we,B,sd,u-15-1
sw3398B-ms98-a-0011,58.916875,59.066875,we,I,sd,u-15-1
sw3398B-ms98-a-0011,59.066875,59.206875,have,I,sd,u-15-1
sw3398B-ms98-a-0011,59.206875,59.246875,a,I,sd,u-15-1
sw3398B-ms98-a-0011,59.246875,59.476875,lot,I,sd,u-15-1
sw3398B-ms98-a-0011,59.476875,59.556875,of,I,sd,u-15-1
