sw4149B-ms98-a-0003,5.411500,5.878250,right,B,b,u-2-1
sw4149B-ms98-a-0005,17.888875,18.168875,right,B,sd,u-4-1
sw4149B-ms98-a-0005,18.168875,18.448875,now,I,sd,u-4-1
sw4149B-ms98-a-0005,18.448875,18.758875,i'm,I,sd,u-4-1
sw4149B-ms98-a-0005,18.758875,18.958875,in,I,sd,u-4-1
sw4149B-ms98-a-0005,18.958875,19.678875,college,I,sd,u-4-1
sw4149B-ms98-a-0005,19.678875,19.948875,and,B,sd,u-4-2
sw4149B-ms98-a-0005,19.948875,20.058875,i'm,I,sd,u-4-2
sw4149B-ms98-a-0005,20.058875,20.228875,on,I,sd,u-4-2
sw4149B-ms98-a-0005,20.228875,20.478875,work,I,sd,u-4-2
sw4149B-ms98-a-0005,20.478875,21.068000,study,I,sd,u-4-2
sw4149B-ms98-a-0005,21.542625,21.740375,and,B,sd,u-6-1
sw4149B-ms98-a-0005,21.740375,21.988875,so,I,sd,u-6-1
sw4149B-ms98-a-0005,21.988875,22.208875,my,I,sd,u-6-1
sw4149B-ms98-a-0005,22.208875,22.628875,budget,I,sd,u-6-1
sw4149B-ms98-a-0005,22.628875,22.958875,comes,I,sd,u-6-1
sw4149B-ms98-a-0005,22.958875,23.148875,from,I,sd,u-6-1
sw4149B-ms98-a-0005,23.148875,23.318875,my,I,sd,u-6-1
sw4149B-ms98-a-0005,23.318875,23.718875,dad's,I,sd,u-6-1
sw4149B-ms98-a-0005,23.718875,24.183750,help,I,sd,u-6-1
sw4149B-ms98-a-0006,24.713625,24.972500,[laughter-he],O,,
sw4149B-ms98-a-0006,24.972500,25.262500,helps,B,sd,u-8-1
sw4149B-ms98-a-0006,25.262500,25.432500,me,I,sd,u-8-1
sw4149B-ms98-a-0006,25.432500,25.492500,out,I,sd,u-8-1
sw4149B-ms98-a-0006,25.492500,25.562500,a,I,sd,u-8-1
sw4149B-ms98-a-0006,25.562500,25.882500,lot,I,sd,u-8-1
sw4149B-ms98-a-0006,26.302500,26.492500,and,B,sd,u-8-2
sw4149B-ms98-a-0006,26.492500,26.602500,i,I,sd,u-8-2
sw4149B-ms98-a-0006,26.602500,26.812500,get,I,sd,u-8-2
sw4149B-ms98-a-0006,26.812500,27.112500,paid,I,sd,u-8-2
sw4149B-ms98-a-0006,27.112500,27.798000,monthly,I,sd,u-8-2
sw4149B-ms98-a-0006,28.194000,28.615875,so,B,sd,u-8-3
sw4149B-ms98-a-0006,28.615875,28.882500,that's,I,sd,u-8-3
sw4149B-ms98-a-0006,28.882500,29.082500,kind,I,sd,u-8-3
sw4149B-ms98-a-0006,29.082500,29.182500,of,I,sd,u-8-3
sw4149B-ms98-a-0006,29.182500,29.392500,hard,I,sd,u-8-3
sw4149B-ms98-a-0006,29.392500,29.482500,to,I,sd,u-8-3
sw4149B-ms98-a-0006,29.482500,29.622500,have,I,sd,u-8-3
sw4149B-ms98-a-0006,29.622500,29.722500,a,I,sd,u-8-3
sw4149B-ms98-a-0006,29.722500,30.152500,budget,I,sd,u-8-3
sw4149B-ms98-a-0006,30.152500,30.302500,my,B,sd,u-8-4
sw4149B-ms98-a-0006,30.302500,30.732500,mother,I,sd,u-8-4
sw4149B-ms98-a-0006,30.732500,31.012500,uh,I,sd,u-8-4
sw4149B-ms98-a-0006,31.012500,31.352500,doesn't,I,sd,u-8-4
sw4149B-ms98-a-0006,31.352500,31.482500,get,I,sd,u-8-4
sw4149B-ms98-a-0006,31.482500,31.692500,paid,I,sd,u-8-4
sw4149B-ms98-a-0006,31.692500,31.922500,much,I,sd,u-8-4
sw4149B-ms98-a-0006,31.922500,32.222500,money,I,sd,u-8-4
sw4149B-ms98-a-0006,32.222500,32.452500,so,B,sd,u-8-5
sw4149B-ms98-a-0006,32.452500,32.622500,her,I,sd,u-8-5
sw4149B-ms98-a-0006,32.622500,33.072500,budget,I,sd,u-8-5
sw4149B-ms98-a-0006,33.072500,33.312500,is,I,sd,u-8-5
sw4149B-ms98-a-0006,33.312500,33.614375,um,I,sd,u-8-5
sw4149B-ms98-a-0006,34.171875,34.512500,just,I,sd,u-8-5
sw4149B-ms98-a-0006,34.512500,34.612500,uh,I,sd,u-8-5
sw4149B-ms98-a-0006,34.612500,35.182500,planning,I,sd,u-8-5
sw4149B-ms98-a-0006,35.182500,35.757875,for,I,sd,u-8-5
sw4149B-ms98-a-0006,36.130125,37.263875,IRAs,O,,
sw4149B-ms98-a-0008,51.811125,52.884625,[laughter],O,,
sw4149B-ms98-a-0010,55.153875,55.520875,uh-huh,B,b,u-12-1
sw4149B-ms98-a-0012,63.092375,63.626625,oh,B,b,u-14-1
sw4149B-ms98-a-0014,76.898500,77.252000,uh-huh,B,b,u-16-1
sw4149B-ms98-a-0016,103.920250,104.289750,um-hum,B,b^r,u-18-1
sw4149B-ms98-a-0018,113.003500,113.223250,that,B,ba,u-20-1
sw4149B-ms98-a-0018,113.223250,113.473250,sounds,I,ba,u-20-1
sw4149B-ms98-a-0018,113.473250,113.855750,good,I,ba,u-20-1
sw4149B-ms98-a-0020,123.102250,123.607125,right,B,b,u-22-1
