sw2956B-ms98-a-0003,4.405000,4.787125,um-hum,B,b,u-2-1
sw2956B-ms98-a-0005,7.526625,7.912125,yeah,B,b,u-4-1
sw2956B-ms98-a-0006,8.893875,9.136375,um-hum,B,b,u-6-1
sw2956B-ms98-a-0007,10.530875,11.110250,um-hum,B,b,u-8-1
sw2956B-ms98-a-0009,28.613750,29.093750,um-hum,B,b,u-10-1
sw2956B-ms98-a-0011,30.857750,31.327375,um-hum,B,b,u-12-1
sw2956B-ms98-a-0013,44.110625,44.370625,what,B,%,u-14-1
sw2956B-ms98-a-0015,48.639750,48.975000,right,B,b,u-16-1
sw2956B-ms98-a-0017,62.458375,62.795875,right,B,b,u-18-1
sw2956B-ms98-a-0019,70.148125,70.309000,oh,B,bh,u-20-1
sw2956B-ms98-a-0019,70.309000,70.579000,really,I,bh,u-20-1
sw2956B-ms98-a-0019,70.579000,70.699000,they,B,qy,u-20-2
sw2956B-ms98-a-0019,70.699000,70.929000,hold,I,qy,u-20-2
sw2956B-ms98-a-0019,70.929000,70.989000,it,I,qy,u-20-2
sw2956B-ms98-a-0019,70.989000,71.119000,on,I,qy,u-20-2
sw2956B-ms98-a-0019,71.119000,71.209000,the,I,qy,u-20-2
sw2956B-ms98-a-0019,71.209000,71.759000,weekends,I,qy,u-20-2
sw2956B-ms98-a-0020,73.537500,74.261500,Sunday,B,^2,u-22-1
sw2956B-ms98-a-0021,75.206250,75.719875,uh-huh,B,b,u-24-1
sw2956B-ms98-a-0023,79.892625,80.248250,huh,I,b,u-24-1
sw2956B-ms98-a-0025,84.560500,84.879500,well,B,%,u-28-1
sw2956B-ms98-a-0025,85.164875,85.314750,uh,I,%,u-28-1
sw2956B-ms98-a-0026,86.698750,86.804375,i-,O,,
sw2956B-ms98-a-0026,86.804375,86.937500,i,B,sd,u-30-1
sw2956B-ms98-a-0026,86.937500,87.157500,know,I,sd,u-30-1
sw2956B-ms98-a-0026,87.157500,87.347500,here,I,sd,u-30-1
sw2956B-ms98-a-0026,87.347500,87.477500,in,I,sd,u-30-1
sw2956B-ms98-a-0026,87.477500,87.987500,Dallas,I,sd,u-30-1
sw2956B-ms98-a-0026,87.987500,88.147500,that,I,sd,u-30-1
sw2956B-ms98-a-0026,88.147500,88.327500,they've,I,sd,u-30-1
sw2956B-ms98-a-0026,88.327500,88.567500,just,I,sd,u-30-1
sw2956B-ms98-a-0026,88.567500,89.107500,instituted,I,sd,u-30-1
sw2956B-ms98-a-0026,89.107500,89.167500,in,I,sd,u-30-1
sw2956B-ms98-a-0026,89.167500,89.227500,the,I,sd,u-30-1
sw2956B-ms98-a-0026,89.227500,89.487500,last,I,sd,u-30-1
sw2956B-ms98-a-0026,89.487500,89.767500,couple,I,sd,u-30-1
sw2956B-ms98-a-0026,89.767500,89.837500,of,I,sd,u-30-1
sw2956B-ms98-a-0026,89.837500,90.715875,years,I,sd,u-30-1
sw2956B-ms98-a-0026,90.715875,91.107500,a,I,sd,u-30-1
sw2956B-ms98-a-0026,91.107500,91.650250,um,I,sd,u-30-1
sw2956B-ms98-a-0026,91.872500,91.967500,a,I,sd,u-30-1
sw2956B-ms98-a-0026,91.967500,92.327500,real,I,sd,u-30-1
sw2956B-ms98-a-0026,92.327500,92.777500,long,I,sd,u-30-1
sw2956B-ms98-a-0026,92.777500,93.057500,period,I,sd,u-30-1
sw2956B-ms98-a-0026,93.057500,93.117500,of,I,sd,u-30-1
sw2956B-ms98-a-0026,93.117500,93.387500,time,I,sd,u-30-1
sw2956B-ms98-a-0026,93.387500,93.557500,that,I,sd,u-30-1
sw2956B-ms98-a-0026,93.557500,93.687500,you,I,sd,u-30-1
sw2956B-ms98-a-0026,93.687500,94.104250,can,I,sd,u-30-1
sw2956B-ms98-a-0026,94.213500,94.717500,absentee,I,sd,u-30-1
sw2956B-ms98-a-0026,94.717500,95.077500,vote,I,sd,u-30-1
sw2956B-ms98-a-0026,95.077500,95.427500,before,I,sd,u-30-1
sw2956B-ms98-a-0026,95.427500,95.517500,the,I,sd,u-30-1
sw2956B-ms98-a-0026,95.517500,96.123125,elections,I,sd,u-30-1
sw2956B-ms98-a-0026,96.257500,96.656625,and,B,sd,u-30-2
sw2956B-ms98-a-0027,97.095750,97.562875,they,I,sd,u-30-2
sw2956B-ms98-a-0027,97.562875,97.686375,i,I,sd,u-30-2
sw2956B-ms98-a-0027,97.686375,97.879625,don't,I,sd,u-30-2
sw2956B-ms98-a-0027,97.879625,98.119625,think,I,sd,u-30-2
sw2956B-ms98-a-0027,98.119625,98.269625,they've,I,sd,u-30-2
sw2956B-ms98-a-0027,98.269625,98.861125,seen,I,sd,u-30-2
sw2956B-ms98-a-0027,99.087125,99.179625,a,I,sd,u-30-2
sw2956B-ms98-a-0027,99.179625,99.419625,really,I,sd,u-30-2
sw2956B-ms98-a-0027,99.419625,100.099500,high,I,sd,u-30-2
sw2956B-ms98-a-0027,100.566500,101.069625,improvement,B,+,u-32-1
sw2956B-ms98-a-0028,101.824875,102.174250,no,B,nn,u-34-1
sw2956B-ms98-a-0028,102.761750,103.094875,no,B,nn,u-36-1
sw2956B-ms98-a-0028,103.094875,103.354875,i,B,sd^e,u-36-2
sw2956B-ms98-a-0028,103.354875,103.634875,always,I,sd^e,u-36-2
sw2956B-ms98-a-0028,103.634875,103.989375,vote,I,sd^e,u-36-2
sw2956B-ms98-a-0030,109.508750,109.648750,oh,B,b,u-38-1
sw2956B-ms98-a-0030,109.648750,109.876750,really,I,b,u-38-1
sw2956B-ms98-a-0032,120.449125,120.699250,hum,O,,
sw2956B-ms98-a-0034,123.097000,123.247000,to,B,qy,u-42-1
sw2956B-ms98-a-0034,123.247000,123.837000,absentee,I,qy,u-42-1
sw2956B-ms98-a-0034,123.837000,124.117000,vote,I,qy,u-42-1
sw2956B-ms98-a-0034,124.117000,124.974125,specifically,I,qy,u-42-1
sw2956B-ms98-a-0035,126.566750,126.866500,oh,B,bk,u-44-1
sw2956B-ms98-a-0037,133.189750,133.603000,um-hum,B,b,u-46-1
sw2956B-ms98-a-0039,140.994125,141.294125,um-hum,B,b,u-48-1
sw2956B-ms98-a-0041,149.638250,150.058500,but,B,sv,u-50-1
sw2956B-ms98-a-0041,150.220375,150.444250,i,I,sv,u-50-1
sw2956B-ms98-a-0041,150.444250,150.670250,don't,I,sv,u-50-1
sw2956B-ms98-a-0041,150.670250,150.823000,think,I,sv,u-50-1
sw2956B-ms98-a-0041,150.823000,151.043000,it's,I,sv,u-50-1
sw2956B-ms98-a-0041,151.043000,151.553000,difficult,I,sv,u-50-1
sw2956B-ms98-a-0041,151.553000,152.003000,enough,I,sv,u-50-1
sw2956B-ms98-a-0041,152.003000,152.303000,to,I,sv,u-50-1
sw2956B-ms98-a-0041,152.303000,152.763000,prevent,I,sv,u-50-1
sw2956B-ms98-a-0041,152.763000,153.063000,people,I,sv,u-50-1
sw2956B-ms98-a-0041,153.063000,153.213000,who,I,sv,u-50-1
sw2956B-ms98-a-0041,153.213000,153.343000,are,I,sv,u-50-1
sw2956B-ms98-a-0041,153.343000,153.933000,motivated,I,sv,u-50-1
sw2956B-ms98-a-0041,153.933000,154.023000,in,I,sv,u-50-1
sw2956B-ms98-a-0041,154.023000,154.093000,the,I,sv,u-50-1
sw2956B-ms98-a-0041,154.093000,154.453000,first,I,sv,u-50-1
