sw4830B-ms98-a-0002,0.625000,0.895000,no,B,nn,u-2-1
sw4830B-ms98-a-0002,0.895000,1.055000,you,B,sd^e,u-2-2
sw4830B-ms98-a-0002,1.055000,1.195000,can,I,sd^e,u-2-2
sw4830B-ms98-a-0002,1.195000,1.635000,start,I,sd^e,u-2-2
sw4830B-ms98-a-0002,1.635000,1.879125,[laughter],O,,
sw4830B-ms98-a-0004,11.088125,11.398125,um-hum,B,b,u-4-1
sw4830B-ms98-a-0006,31.126250,31.466250,right,B,b,u-6-1
sw4830B-ms98-a-0007,32.484750,32.784750,right,B,na^r,u-8-1
sw4830B-ms98-a-0007,32.784750,33.094750,there's,B,sv,u-8-2
sw4830B-ms98-a-0007,33.094750,33.264750,there,I,sv,u-8-2
sw4830B-ms98-a-0007,33.757500,33.994750,th[is]-,I,sv,u-8-2
sw4830B-ms98-a-0007,33.994750,34.134750,thi[s]-,I,sv,u-8-2
sw4830B-ms98-a-0007,34.134750,34.334750,this,I,sv,u-8-2
sw4830B-ms98-a-0007,34.334750,34.654750,topic,I,sv,u-8-2
sw4830B-ms98-a-0007,34.654750,34.754750,is,I,sv,u-8-2
sw4830B-ms98-a-0007,34.754750,34.964750,kind,I,sv,u-8-2
sw4830B-ms98-a-0007,34.964750,35.054750,of,I,sv,u-8-2
sw4830B-ms98-a-0007,35.054750,35.431500,moot,I,sv,u-8-2
sw4830B-ms98-a-0007,36.015375,36.264750,um,I,sv,u-8-2
sw4830B-ms98-a-0007,36.264750,36.484750,there,B,sv,u-10-1
sw4830B-ms98-a-0007,36.484750,36.764750,there's,I,sv,u-10-1
sw4830B-ms98-a-0007,36.764750,36.984750,no,I,sv,u-10-1
sw4830B-ms98-a-0007,36.984750,37.334750,way,I,sv,u-10-1
sw4830B-ms98-a-0007,37.334750,37.554750,we,B,sv,u-10-2
sw4830B-ms98-a-0007,37.554750,37.674750,we,I,sv,u-10-2
sw4830B-ms98-a-0007,37.674750,37.940000,couldn't,I,sv,u-10-2
sw4830B-ms98-a-0007,38.037875,38.454750,survive,I,sv,u-10-2
sw4830B-ms98-a-0007,38.454750,38.534750,in,I,sv,u-10-2
sw4830B-ms98-a-0007,38.534750,38.574750,a,I,sv,u-10-2
sw4830B-ms98-a-0007,38.574750,38.794750,sy[stem]-,I,sv,u-10-2
sw4830B-ms98-a-0007,38.794750,38.884750,in,I,sv,u-10-2
sw4830B-ms98-a-0007,38.884750,39.011375,a,I,sv,u-10-2
sw4830B-ms98-a-0007,39.143250,39.254750,in,I,sv,u-10-2
sw4830B-ms98-a-0007,39.254750,39.314750,a,I,sv,u-10-2
sw4830B-ms98-a-0007,39.314750,39.574750,juror,I,sv,u-10-2
sw4830B-ms98-a-0007,39.574750,39.894750,syst[em]-,I,sv,u-10-2
sw4830B-ms98-a-0007,39.894750,40.254750,in,I,sv,u-10-2
sw4830B-ms98-a-0007,40.254750,40.334750,a,I,sv,u-10-2
sw4830B-ms98-a-0007,40.334750,40.654750,trial,I,sv,u-10-2
sw4830B-ms98-a-0007,40.654750,41.034750,system,I,sv,u-10-2
sw4830B-ms98-a-0007,41.034750,41.434750,without,I,sv,u-10-2
sw4830B-ms98-a-0007,41.434750,41.484750,a,I,sv,u-10-2
sw4830B-ms98-a-0007,41.484750,41.907750,jury,I,sv,u-10-2
sw4830B-ms98-a-0007,42.540500,43.114750,um,B,sv,u-12-1
sw4830B-ms98-a-0008,43.993125,44.213125,one,I,sv,u-12-1
sw4830B-ms98-a-0008,44.213125,44.443125,man,I,sv,u-12-1
sw4830B-ms98-a-0008,44.443125,44.573125,can,I,sv,u-12-1
sw4830B-ms98-a-0008,44.573125,44.823125,never,I,sv,u-12-1
sw4830B-ms98-a-0008,44.823125,45.143125,be,I,sv,u-12-1
sw4830B-ms98-a-0008,45.143125,45.320500,one,I,sv,u-12-1
sw4830B-ms98-a-0008,45.320500,45.655625,man,I,sv,u-12-1
sw4830B-ms98-a-0008,45.655625,45.923125,one,I,sv,u-12-1
sw4830B-ms98-a-0008,45.923125,46.233125,woman,I,sv,u-12-1
sw4830B-ms98-a-0008,46.323125,46.473125,can,I,sv,u-12-1
sw4830B-ms98-a-0008,46.473125,46.703125,never,I,sv,u-12-1
sw4830B-ms98-a-0008,46.703125,46.843125,be,I,sv,u-12-1
sw4830B-ms98-a-0008,46.843125,47.619625,objectionable,I,sv,u-12-1
sw4830B-ms98-a-0008,47.815500,47.893250,in,I,sv,u-12-1
sw4830B-ms98-a-0008,47.893250,48.093125,every,I,sv,u-12-1
sw4830B-ms98-a-0008,48.093125,48.619000,case,I,sv,u-12-1
sw4830B-ms98-a-0009,49.411375,49.922625,um,B,sd,u-14-1
sw4830B-ms98-a-0009,50.227625,50.411375,every,I,sd,u-14-1
sw4830B-ms98-a-0009,50.411375,50.701375,person,I,sd,u-14-1
sw4830B-ms98-a-0009,50.701375,50.891375,has,I,sd,u-14-1
sw4830B-ms98-a-0009,50.891375,51.061375,their,I,sd,u-14-1
sw4830B-ms98-a-0009,51.061375,51.749500,opinions,I,sd,u-14-1
sw4830B-ms98-a-0009,52.363500,52.491375,and,B,sv,u-14-2
sw4830B-ms98-a-0009,52.491375,52.691375,that's,I,sv,u-14-2
sw4830B-ms98-a-0009,52.691375,53.121375,why,I,sv,u-14-2
sw4830B-ms98-a-0009,53.121375,53.361375,jury,I,sv,u-14-2
sw4830B-ms98-a-0009,53.361375,53.761375,selection,I,sv,u-14-2
sw4830B-ms98-a-0009,53.761375,53.861375,is,I,sv,u-14-2
sw4830B-ms98-a-0009,53.861375,54.121375,often,I,sv,u-14-2
sw4830B-ms98-a-0009,54.121375,54.291375,very,I,sv,u-14-2
sw4830B-ms98-a-0009,54.291375,54.761375,difficult,I,sv,u-14-2
sw4830B-ms98-a-0010,56.039250,56.509250,um,I,sv,u-14-2
sw4830B-ms98-a-0014,85.097125,85.357125,right,B,b,u-18-1
sw4830B-ms98-a-0016,93.364625,93.764625,right,B,aa,u-22-1
sw4830B-ms98-a-0016,93.764625,93.854625,they,B,bf,u-22-2
sw4830B-ms98-a-0016,93.854625,94.114625,shouldn't,I,bf,u-22-2
sw4830B-ms98-a-0016,94.114625,94.364625,allow,I,bf,u-22-2
sw4830B-ms98-a-0016,94.364625,94.454625,an,I,bf,u-22-2
sw4830B-ms98-a-0016,94.454625,94.854625,appeal,I,bf,u-22-2
sw4830B-ms98-a-0018,98.556000,98.743500,yep,B,b,u-26-1
sw4830B-ms98-a-0020,101.370625,101.740625,[laughter-um-hum],B,b,u-28-1
sw4830B-ms98-a-0022,105.947750,106.097750,no,O,,
sw4830B-ms98-a-0022,106.097750,106.317750,that's,B,aa,u-30-1
sw4830B-ms98-a-0022,106.317750,106.567750,right,I,aa,u-30-1
sw4830B-ms98-a-0022,106.567750,106.617750,i,B,sd,u-30-2
sw4830B-ms98-a-0022,106.617750,106.757750,work,I,sd,u-30-2
sw4830B-ms98-a-0022,106.757750,106.927750,for,I,sd,u-30-2
sw4830B-ms98-a-0022,106.927750,106.967750,a,I,sd,u-30-2
sw4830B-ms98-a-0022,106.967750,107.197875,law,I,sd,u-30-2
sw4830B-ms98-a-0022,107.197875,107.447750,firm,I,sd,u-30-2
sw4830B-ms98-a-0022,107.447750,107.568250,[laughter-i],O,,
sw4830B-ms98-a-0022,107.568250,107.942500,[laughter-ought],O,,
sw4830B-ms98-a-0022,107.942500,108.224375,[laughter-i],O,,
sw4830B-ms98-a-0024,117.091000,117.421000,right,B,b,u-32-1
sw4830B-ms98-a-0025,118.575375,118.775375,well,B,sd,u-34-1
sw4830B-ms98-a-0025,118.775375,118.975375,plea,I,sd,u-34-1
sw4830B-ms98-a-0025,118.975375,119.185375,bar[gaining]-,I,sd,u-34-1
sw4830B-ms98-a-0025,119.185375,119.495375,plea,I,sd,u-34-1
