sw3093B-ms98-a-0002,16.806250,17.101000,right,B,b,u-2-1
sw3093B-ms98-a-0004,28.613625,28.964500,yeah,B,b,u-4-1
sw3093B-ms98-a-0006,39.332500,39.566000,where,B,qw,u-6-1
sw3093B-ms98-a-0006,39.566000,39.736000,where,I,qw,u-6-1
sw3093B-ms98-a-0006,39.736000,39.836000,do,I,qw,u-6-1
sw3093B-ms98-a-0006,39.836000,39.896000,you,I,qw,u-6-1
sw3093B-ms98-a-0006,39.896000,40.216000,usually,I,qw,u-6-1
sw3093B-ms98-a-0006,40.216000,40.493125,go,I,qw,u-6-1
sw3093B-ms98-a-0008,46.842375,47.103000,um-hum,B,b,u-8-1
sw3093B-ms98-a-0010,50.383750,50.769875,hum,O,,
sw3093B-ms98-a-0012,52.785250,53.102375,uh-huh,B,b,u-10-1
sw3093B-ms98-a-0014,60.898375,61.183625,uh-huh,B,b,u-12-1
sw3093B-ms98-a-0016,73.526625,73.810125,right,B,b,u-14-1
sw3093B-ms98-a-0018,89.766625,90.142625,um-hum,B,b,u-16-1
sw3093B-ms98-a-0020,96.022750,96.356750,right,B,b,u-18-1
sw3093B-ms98-a-0021,97.538625,97.787625,we're,O,,
sw3093B-ms98-a-0021,97.787625,98.136000,um,O,,
sw3093B-ms98-a-0022,99.195250,99.445750,uh,B,sd,u-18-2
sw3093B-ms98-a-0022,99.588250,99.789125,we,I,sd,u-18-2
sw3093B-ms98-a-0022,99.789125,100.109125,haven't,I,sd,u-18-2
sw3093B-ms98-a-0022,100.109125,100.339125,had,I,sd,u-18-2
sw3093B-ms98-a-0022,100.339125,100.379125,a,I,sd,u-18-2
sw3093B-ms98-a-0022,100.379125,101.079125,vacation,I,sd,u-18-2
sw3093B-ms98-a-0022,101.079125,101.298500,in,I,sd,u-18-2
sw3093B-ms98-a-0022,101.298500,101.669125,several,I,sd,u-18-2
sw3093B-ms98-a-0022,101.669125,102.222250,years,I,sd,u-18-2
