sw3361B-ms98-a-0003,18.939000,19.463750,well,B,%,u-2-1
sw3361B-ms98-a-0004,21.391875,21.876750,uh,B,^h,u-4-1
sw3361B-ms98-a-0004,22.253500,22.431750,i'll,I,^h,u-4-1
sw3361B-ms98-a-0004,22.431750,22.701750,tell,I,^h,u-4-1
sw3361B-ms98-a-0004,22.701750,22.831750,you,I,^h,u-4-1
sw3361B-ms98-a-0004,22.831750,23.220125,i,B,qy^d,u-4-2
sw3361B-ms98-a-0004,23.220125,23.473500,i,I,qy^d,u-4-2
sw3361B-ms98-a-0004,23.473500,24.038625,watched,I,qy^d,u-4-2
sw3361B-ms98-a-0004,24.038625,24.291750,what,I,qy^d,u-4-2
sw3361B-ms98-a-0004,24.291750,24.501750,went,I,qy^d,u-4-2
sw3361B-ms98-a-0004,24.501750,24.818250,on,I,qy^d,u-4-2
sw3361B-ms98-a-0004,25.044250,25.530250,um,I,qy^d,u-4-2
sw3361B-ms98-a-0004,26.080125,26.261750,with,I,qy^d,u-4-2
sw3361B-ms98-a-0004,26.261750,26.411750,the,I,qy^d,u-4-2
sw3361B-ms98-a-0004,26.411750,26.691750,Twenty,I,qy^d,u-4-2
sw3361B-ms98-a-0004,26.691750,27.144500,Twenty,I,qy^d,u-4-2
sw3361B-ms98-a-0004,27.381750,27.913625,show,I,qy^d,u-4-2
sw3361B-ms98-a-0004,27.913625,28.041750,i,I,qy^d,u-4-2
sw3361B-ms98-a-0004,28.041750,28.191750,don't,I,qy^d,u-4-2
sw3361B-ms98-a-0004,28.191750,28.251750,know,I,qy^d,u-4-2
sw3361B-ms98-a-0004,28.251750,28.351750,if,I,qy^d,u-4-2
sw3361B-ms98-a-0004,28.351750,28.461750,you,I,qy^d,u-4-2
sw3361B-ms98-a-0004,28.461750,28.721750,saw,I,qy^d,u-4-2
sw3361B-ms98-a-0004,28.721750,29.067125,that,I,qy^d,u-4-2
sw3361B-ms98-a-0004,29.244125,29.331750,a,I,qy^d,u-4-2
sw3361B-ms98-a-0004,29.331750,29.531750,few,I,qy^d,u-4-2
sw3361B-ms98-a-0004,29.531750,29.791750,days,I,qy^d,u-4-2
sw3361B-ms98-a-0004,29.791750,30.101750,ago,I,qy^d,u-4-2
sw3361B-ms98-a-0004,30.101750,30.245875,that,I,qy^d,u-4-2
sw3361B-ms98-a-0004,30.498250,30.611750,that,I,qy^d,u-4-2
sw3361B-ms98-a-0004,30.611750,30.891750,talked,I,qy^d,u-4-2
sw3361B-ms98-a-0004,30.891750,31.091750,about,I,qy^d,u-4-2
sw3361B-ms98-a-0004,31.091750,31.451750,nursing,I,qy^d,u-4-2
sw3361B-ms98-a-0004,31.451750,31.801750,homes,I,qy^d,u-4-2
sw3361B-ms98-a-0004,31.801750,32.010125,and,B,sd,u-4-3
sw3361B-ms98-a-0005,32.739625,33.047500,actually,I,sd,u-4-3
sw3361B-ms98-a-0005,33.047500,33.187500,they,I,sd,u-4-3
sw3361B-ms98-a-0005,33.187500,34.027500,specifically,I,sd,u-4-3
sw3361B-ms98-a-0005,34.027500,34.377500,talked,I,sd,u-4-3
sw3361B-ms98-a-0005,34.377500,34.637500,about,I,sd,u-4-3
sw3361B-ms98-a-0005,34.637500,35.051000,some,I,sd,u-4-3
sw3361B-ms98-a-0005,35.408875,35.517500,in,I,sd,u-4-3
sw3361B-ms98-a-0005,35.517500,35.647500,the,I,sd,u-4-3
sw3361B-ms98-a-0005,35.647500,35.964500,area,I,sd,u-4-3
sw3361B-ms98-a-0005,35.964500,36.147500,where,I,sd,u-4-3
sw3361B-ms98-a-0005,36.147500,36.267500,i,I,sd,u-4-3
sw3361B-ms98-a-0005,36.267500,36.527500,am,I,sd,u-4-3
sw3361B-ms98-a-0005,36.527500,36.707500,here,I,sd,u-4-3
sw3361B-ms98-a-0005,36.707500,36.787500,in,I,sd,u-4-3
sw3361B-ms98-a-0005,36.787500,37.327500,Texas,I,sd,u-4-3
sw3361B-ms98-a-0005,37.327500,37.642250,and,B,%,u-4-4
sw3361B-ms98-a-0006,39.146000,39.566875,pardon,B,br,u-6-1
sw3361B-ms98-a-0007,41.244750,41.664375,well,B,%,u-8-1
sw3361B-ms98-a-0007,41.954375,42.393500,i,I,%,u-8-1
sw3361B-ms98-a-0007,42.393500,42.874625,no,B,nn,u-8-2
sw3361B-ms98-a-0007,42.874625,42.974625,i'm,B,sd^e,u-8-3
sw3361B-ms98-a-0007,42.974625,43.194625,not,I,sd^e,u-8-3
sw3361B-ms98-a-0007,43.194625,43.564625,familiar,I,sd^e,u-8-3
sw3361B-ms98-a-0007,43.564625,43.724625,with,I,sd^e,u-8-3
sw3361B-ms98-a-0007,43.724625,43.924625,those,I,sd^e,u-8-3
sw3361B-ms98-a-0007,43.924625,44.274625,homes,I,sd^e,u-8-3
sw3361B-ms98-a-0007,44.274625,44.394625,per,I,sd^e,u-8-3
sw3361B-ms98-a-0007,44.394625,44.962750,se,I,sd^e,u-8-3
sw3361B-ms98-a-0007,45.105875,45.514625,but,B,sd,u-10-1
sw3361B-ms98-a-0007,45.514625,45.924250,um,I,sd,u-10-1
sw3361B-ms98-a-0007,45.924250,46.094625,they,I,sd,u-10-1
sw3361B-ms98-a-0007,46.094625,46.244625,were,I,sd,u-10-1
sw3361B-ms98-a-0007,46.244625,46.464625,in,I,sd,u-10-1
sw3361B-ms98-a-0007,46.464625,46.613500,the,I,sd,u-10-1
sw3361B-ms98-a-0007,46.613500,47.024625,area,I,sd,u-10-1
sw3361B-ms98-a-0007,47.024625,47.204625,where,I,sd,u-10-1
sw3361B-ms98-a-0007,47.204625,47.342500,i,I,sd,u-10-1
sw3361B-ms98-a-0007,47.342500,47.828250,live,I,sd,u-10-1
sw3361B-ms98-a-0008,48.660375,49.126875,um,B,+,u-12-1
sw3361B-ms98-a-0008,49.606250,50.022750,and,B,sd,u-12-2
sw3361B-ms98-a-0008,50.022750,50.162750,it,I,sd,u-12-2
sw3361B-ms98-a-0008,50.162750,50.402750,was,I,sd,u-12-2
sw3361B-ms98-a-0008,50.402750,50.702750,really,I,sd,u-12-2
sw3361B-ms98-a-0008,50.702750,51.202750,revealing,I,sd,u-12-2
sw3361B-ms98-a-0008,51.202750,51.302750,to,I,sd,u-12-2
sw3361B-ms98-a-0008,51.302750,51.522750,see,I,sd,u-12-2
sw3361B-ms98-a-0008,51.522750,51.742750,some,I,sd,u-12-2
sw3361B-ms98-a-0008,51.742750,51.912750,of,I,sd,u-12-2
sw3361B-ms98-a-0008,51.912750,52.207750,the,I,sd,u-12-2
sw3361B-ms98-a-0008,53.149375,53.272750,you,I,sd,u-12-2
sw3361B-ms98-a-0008,53.272750,53.442750,know,I,sd,u-12-2
sw3361B-ms98-a-0008,53.442750,53.522750,the,I,sd,u-12-2
sw3361B-ms98-a-0008,53.522750,53.952750,things,I,sd,u-12-2
sw3361B-ms98-a-0008,53.952750,54.102750,that,I,sd,u-12-2
sw3361B-ms98-a-0008,54.102750,54.292750,go,I,sd,u-12-2
sw3361B-ms98-a-0008,54.292750,54.572750,on,I,sd,u-12-2
sw3361B-ms98-a-0008,54.572750,54.750500,i,I,sd,u-12-2
sw3361B-ms98-a-0008,54.750500,55.363000,guess,I,sd,u-12-2
sw3361B-ms98-a-0008,55.926250,56.272750,in,I,sd,u-12-2
sw3361B-ms98-a-0008,56.272750,56.462750,some,I,sd,u-12-2
sw3361B-ms98-a-0008,56.462750,56.522750,of,I,sd,u-12-2
sw3361B-ms98-a-0008,56.522750,56.732750,these,I,sd,u-12-2
sw3361B-ms98-a-0008,56.732750,56.982750,homes,I,sd,u-12-2
sw3361B-ms98-a-0008,56.982750,57.162750,so,B,sd,u-12-3
sw3361B-ms98-a-0008,57.162750,57.252750,i,I,sd,u-12-3
sw3361B-ms98-a-0008,57.252750,57.412750,would,I,sd,u-12-3
sw3361B-ms98-a-0008,57.412750,58.163125,definitely,I,sd,u-12-3
sw3361B-ms98-a-0008,58.711625,58.812750,you,I,sd,u-12-3
sw3361B-ms98-a-0008,58.812750,58.942750,know,I,sd,u-12-3
sw3361B-ms98-a-0008,58.942750,59.152750,want,I,sd,u-12-3
sw3361B-ms98-a-0008,59.152750,59.282750,to,I,sd,u-12-3
sw3361B-ms98-a-0008,59.282750,59.542750,really,I,sd,u-12-3
sw3361B-ms98-a-0008,59.542750,59.832750,check,I,sd,u-12-3
sw3361B-ms98-a-0008,59.832750,60.162750,things,I,sd,u-12-3
sw3361B-ms98-a-0008,60.162750,60.492750,out,I,sd,u-12-3
sw3361B-ms98-a-0008,60.492750,60.717500,and,I,sd,u-12-3
sw3361B-ms98-a-0009,61.778625,62.196250,uh,I,sd,u-12-3
sw3361B-ms98-a-0009,62.516375,63.053875,go,I,sd,u-12-3
sw3361B-ms98-a-0009,63.291125,63.398625,i,B,sv,u-12-4
sw3361B-ms98-a-0009,63.398625,63.638625,guess,I,sv,u-12-4
sw3361B-ms98-a-0009,63.638625,63.818625,that,I,sv,u-12-4
sw3361B-ms98-a-0009,63.818625,63.888625,the,I,sv,u-12-4
sw3361B-ms98-a-0009,63.888625,64.088625,big,I,sv,u-12-4
sw3361B-ms98-a-0009,64.088625,64.278625,thing,I,sv,u-12-4
sw3361B-ms98-a-0009,64.278625,64.438625,would,I,sv,u-12-4
sw3361B-ms98-a-0009,64.438625,64.778375,be,I,sv,u-12-4
sw3361B-ms98-a-0009,65.268000,65.528625,once,I,sv,u-12-4
sw3361B-ms98-a-0009,65.528625,65.618625,you,I,sv,u-12-4
sw3361B-ms98-a-0009,65.618625,65.918625,got,I,sv,u-12-4
sw3361B-ms98-a-0009,65.918625,66.238625,someone,I,sv,u-12-4
sw3361B-ms98-a-0009,66.238625,66.691125,in,I,sv,u-12-4
sw3361B-ms98-a-0009,67.056500,67.198625,a,I,sv,u-12-4
sw3361B-ms98-a-0009,67.198625,67.508625,home,I,sv,u-12-4
sw3361B-ms98-a-0009,67.508625,67.698625,like,I,sv,u-12-4
sw3361B-ms98-a-0009,67.698625,68.038625,that,I,sv,u-12-4
sw3361B-ms98-a-0009,68.038625,68.364000,to,I,sv,u-12-4
sw3361B-ms98-a-0009,68.608750,68.718625,to,I,sv,u-12-4
sw3361B-ms98-a-0009,68.718625,68.898625,make,I,sv,u-12-4
sw3361B-ms98-a-0009,68.898625,69.118625,sure,I,sv,u-12-4
sw3361B-ms98-a-0009,69.118625,69.228625,that,I,sv,u-12-4
sw3361B-ms98-a-0009,69.228625,69.348625,you,I,sv,u-12-4
sw3361B-ms98-a-0009,69.348625,69.648625,went,I,sv,u-12-4
sw3361B-ms98-a-0009,69.648625,70.220750,daily,I,sv,u-12-4
sw3361B-ms98-a-0009,70.220750,70.328625,you,I,sv,u-12-4
sw3361B-ms98-a-0009,70.328625,70.538625,know,I,sv,u-12-4
sw3361B-ms98-a-0009,70.538625,70.658625,and,B,+,u-14-1
sw3361B-ms98-a-0009,70.658625,70.848625,made,I,+,u-14-1
sw3361B-ms98-a-0009,70.848625,71.168625,sure,I,+,u-14-1
sw3361B-ms98-a-0009,71.168625,71.416500,that,I,+,u-14-1
sw3361B-ms98-a-0009,72.215000,72.338625,they,I,+,u-14-1
sw3361B-ms98-a-0009,72.338625,72.448625,were,I,+,u-14-1
sw3361B-ms98-a-0009,72.448625,72.858625,cared,I,+,u-14-1
sw3361B-ms98-a-0009,72.858625,73.188625,for,I,+,u-14-1
sw3361B-ms98-a-0009,73.188625,73.426000,and,B,%,u-14-2
sw3361B-ms98-a-0011,85.415125,85.758500,uh-huh,B,aa,u-16-1
sw3361B-ms98-a-0013,96.049750,96.481125,well,B,nd,u-18-1
sw3361B-ms98-a-0013,96.481125,96.983125,actually,I,nd,u-18-1
sw3361B-ms98-a-0013,96.983125,97.083125,i,I,nd,u-18-1
sw3361B-ms98-a-0013,97.083125,97.413125,have,I,nd,u-18-1
sw3361B-ms98-a-0013,97.413125,97.613125,that,I,nd,u-18-1
sw3361B-ms98-a-0013,97.613125,97.813125,kind,I,nd,u-18-1
sw3361B-ms98-a-0013,97.813125,97.923125,of,I,nd,u-18-1
sw3361B-ms98-a-0013,97.923125,98.593125,situation,I,nd,u-18-1
sw3361B-ms98-a-0013,98.593125,99.143125,because,I,nd,u-18-1
sw3361B-ms98-a-0013,99.143125,99.343125,my,I,nd,u-18-1
sw3361B-ms98-a-0013,99.343125,99.633125,mother,I,nd,u-18-1
sw3361B-ms98-a-0013,99.633125,99.993125,lives,I,nd,u-18-1
sw3361B-ms98-a-0013,99.993125,100.243125,with,I,nd,u-18-1
sw3361B-ms98-a-0013,100.243125,100.550625,me,I,nd,u-18-1
sw3361B-ms98-a-0013,100.874500,101.073125,and,B,sd,u-18-2
sw3361B-ms98-a-0013,101.073125,101.303125,she's,I,sd,u-18-2
sw3361B-ms98-a-0013,101.303125,101.523125,eighty,B,+,u-20-1
sw3361B-ms98-a-0013,101.523125,101.973625,seven,I,+,u-20-1
sw3361B-ms98-a-0014,103.067875,103.484000,and,B,sd(^q),u-22-1
sw3361B-ms98-a-0014,103.484000,103.714250,uh,I,sd(^q),u-22-1
sw3361B-ms98-a-0014,103.891250,104.114000,from,I,sd(^q),u-22-1
sw3361B-ms98-a-0014,104.114000,104.174000,the,I,sd(^q),u-22-1
sw3361B-ms98-a-0014,104.174000,104.504000,time,I,sd(^q),u-22-1
sw3361B-ms98-a-0014,104.504000,104.604000,that,I,sd(^q),u-22-1
sw3361B-ms98-a-0014,104.604000,104.774000,we,I,sd(^q),u-22-1
sw3361B-ms98-a-0014,104.774000,104.894000,were,I,sd(^q),u-22-1
sw3361B-ms98-a-0014,104.894000,105.544000,tiny,I,sd(^q),u-22-1
sw3361B-ms98-a-0014,105.544000,105.969250,she,I,sd(^q),u-22-1
sw3361B-ms98-a-0014,106.146250,106.644000,said,I,sd(^q),u-22-1
sw3361B-ms98-a-0014,106.644000,106.764000,you,I,sd(^q),u-22-1
sw3361B-ms98-a-0014,106.764000,106.924000,know,I,sd(^q),u-22-1
sw3361B-ms98-a-0014,106.924000,106.964000,i,I,sd(^q),u-22-1
sw3361B-ms98-a-0014,106.964000,107.174000,want,I,sd(^q),u-22-1
sw3361B-ms98-a-0014,107.174000,107.264000,you,I,sd(^q),u-22-1
sw3361B-ms98-a-0014,107.264000,107.324000,to,I,sd(^q),u-22-1
sw3361B-ms98-a-0014,107.324000,107.774000,promise,I,sd(^q),u-22-1
sw3361B-ms98-a-0014,107.774000,107.864000,that,I,sd(^q),u-22-1
sw3361B-ms98-a-0014,107.864000,108.044000,you'll,I,sd(^q),u-22-1
sw3361B-ms98-a-0014,108.044000,108.384000,never,I,sd(^q),u-22-1
sw3361B-ms98-a-0014,108.384000,108.604000,put,I,sd(^q),u-22-1
sw3361B-ms98-a-0014,108.604000,108.714000,me,I,sd(^q),u-22-1
sw3361B-ms98-a-0014,108.714000,108.804000,in,I,sd(^q),u-22-1
sw3361B-ms98-a-0014,108.804000,108.894000,a,I,sd(^q),u-22-1
sw3361B-ms98-a-0014,108.894000,109.194000,rest,I,sd(^q),u-22-1
sw3361B-ms98-a-0014,109.194000,109.469625,home,I,sd(^q),u-22-1
sw3361B-ms98-a-0015,110.161375,110.391375,so,B,sd,u-24-1
sw3361B-ms98-a-0015,110.391375,110.521375,i,I,sd,u-24-1
sw3361B-ms98-a-0015,110.521375,110.801375,know,I,sd,u-24-1
sw3361B-ms98-a-0015,110.801375,110.971375,how,I,sd,u-24-1
sw3361B-ms98-a-0015,110.971375,111.151375,she,I,sd,u-24-1
sw3361B-ms98-a-0015,111.151375,111.421375,feels,I,sd,u-24-1
sw3361B-ms98-a-0015,111.421375,111.691375,about,I,sd,u-24-1
sw3361B-ms98-a-0015,111.691375,111.771375,it,I,sd,u-24-1
sw3361B-ms98-a-0015,111.771375,111.861375,you,B,sd,u-24-2
sw3361B-ms98-a-0015,111.861375,112.031375,know,I,sd,u-24-2
sw3361B-ms98-a-0015,112.031375,112.151375,if,I,sd,u-24-2
sw3361B-ms98-a-0015,112.151375,112.471375,i,I,sd,u-24-2
sw3361B-ms98-a-0015,112.471375,112.648000,uh,I,sd,u-24-2
