sw2486B-ms98-a-0001,0.844250,1.335000,okay,B,o,u-1-1
sw2486B-ms98-a-0001,1.335000,1.460000,what,B,qw,u-1-2
sw2486B-ms98-a-0001,1.460000,1.610000,do,I,qw,u-1-2
sw2486B-ms98-a-0001,1.610000,1.670000,you,I,qw,u-1-2
sw2486B-ms98-a-0001,1.670000,2.030000,usually,I,qw,u-1-2
sw2486B-ms98-a-0001,2.030000,2.261625,wear,I,qw,u-1-2
sw2486B-ms98-a-0001,2.261625,2.337000,to,I,qw,u-1-2
sw2486B-ms98-a-0001,2.337000,2.834875,work,I,qw,u-1-2
sw2486B-ms98-a-0001,2.834875,3.460875,[laughter],O,,
sw2486B-ms98-a-0003,6.114500,6.716500,uh-huh,B,b,u-3-1
sw2486B-ms98-a-0005,10.981125,11.545375,uh-huh,B,b,u-5-1
sw2486B-ms98-a-0007,13.831125,14.398875,uh-huh,B,b,u-7-1
sw2486B-ms98-a-0009,26.337250,26.824625,uh-huh,B,b,u-9-1
sw2486B-ms98-a-0011,38.366500,38.805750,uh-huh,B,b,u-13-1
sw2486B-ms98-a-0011,39.622625,39.888000,well,B,sd,u-15-1
sw2486B-ms98-a-0011,39.888000,40.076375,i,I,sd,u-15-1
sw2486B-ms98-a-0011,40.076375,40.294000,work,I,sd,u-15-1
sw2486B-ms98-a-0011,40.294000,40.454000,at,I,sd,u-15-1
sw2486B-ms98-a-0011,40.454000,41.144000,TI,O,,
sw2486B-ms98-a-0011,41.144000,41.434000,and,B,sd,u-15-2
sw2486B-ms98-a-0011,41.434000,41.914000,they,I,sd,u-15-2
sw2486B-ms98-a-0011,41.914000,42.454000,don't,I,sd,u-15-2
sw2486B-ms98-a-0011,42.454000,42.804000,really,I,sd,u-15-2
sw2486B-ms98-a-0011,42.804000,43.257500,have,I,sd,u-15-2
sw2486B-ms98-a-0011,43.592750,43.837500,uh,I,sd,u-15-2
sw2486B-ms98-a-0011,43.837500,44.184000,dress,I,sd,u-15-2
sw2486B-ms98-a-0011,44.184000,44.466875,code,I,sd,u-15-2
sw2486B-ms98-a-0011,44.557375,44.664000,so,I,sd,u-15-2
sw2486B-ms98-a-0011,44.664000,44.744000,to,I,sd,u-15-2
sw2486B-ms98-a-0011,44.744000,45.094375,speak,I,sd,u-15-2
sw2486B-ms98-a-0011,45.193875,45.554375,there,I,sd,u-15-2
sw2486B-ms98-a-0011,45.893125,46.122875,it's,B,sd,u-15-3
sw2486B-ms98-a-0011,46.122875,46.414000,pretty,I,sd,u-15-3
sw2486B-ms98-a-0011,46.414000,46.854000,lax,I,sd,u-15-3
sw2486B-ms98-a-0011,46.854000,47.324000,about,I,sd,u-15-3
sw2486B-ms98-a-0011,47.324000,47.811875,um,I,sd,u-15-3
sw2486B-ms98-a-0011,47.811875,47.936125,you,I,sd,u-15-3
