sw3811B-ms98-a-0002,1.209500,1.529500,yeah,B,ny,u-2-1
sw3811B-ms98-a-0002,1.529500,1.679500,we,B,%,u-2-2
sw3811B-ms98-a-0002,1.679500,1.809500,have,O,,
sw3811B-ms98-a-0002,1.809500,1.884375,a,O,,
sw3811B-ms98-a-0003,2.853250,2.985250,two,B,na^m,u-4-1
sw3811B-ms98-a-0003,2.985250,3.165250,year,I,na^m,u-4-1
sw3811B-ms98-a-0003,3.165250,3.425250,old,I,na^m,u-4-1
sw3811B-ms98-a-0003,3.425250,3.785250,daughter,I,na^m,u-4-1
sw3811B-ms98-a-0003,3.785250,3.905250,in,I,na^m,u-4-1
sw3811B-ms98-a-0003,3.905250,4.255250,child,I,na^m,u-4-1
sw3811B-ms98-a-0003,4.255250,4.465250,care,I,na^m,u-4-1
sw3811B-ms98-a-0003,4.465250,4.565250,and,B,sd,u-4-2
sw3811B-ms98-a-0003,4.565250,4.645250,we,I,sd,u-4-2
sw3811B-ms98-a-0003,4.645250,4.815250,went,I,sd,u-4-2
sw3811B-ms98-a-0003,4.815250,4.915250,through,I,sd,u-4-2
sw3811B-ms98-a-0003,4.915250,4.975250,the,I,sd,u-4-2
sw3811B-ms98-a-0003,4.975250,5.495250,process,I,sd,u-4-2
sw3811B-ms98-a-0003,5.495250,5.797875,of,I,sd,u-4-2
sw3811B-ms98-a-0003,6.167000,6.845750,searching,I,sd,u-4-2
sw3811B-ms98-a-0003,7.353500,7.628500,for,I,sd,u-4-2
sw3811B-ms98-a-0003,7.628500,8.005250,child,I,sd,u-4-2
sw3811B-ms98-a-0003,8.005250,8.335250,care,I,sd,u-4-2
sw3811B-ms98-a-0003,8.335250,8.898125,and,I,sd,u-4-2
sw3811B-ms98-a-0003,9.538500,9.955250,uh,B,+,u-6-1
sw3811B-ms98-a-0003,9.955250,10.685250,finding,I,+,u-6-1
sw3811B-ms98-a-0003,10.685250,10.835250,what,I,+,u-6-1
sw3811B-ms98-a-0003,10.835250,10.935250,we,I,+,u-6-1
sw3811B-ms98-a-0003,10.935250,11.345250,consider,I,+,u-6-1
sw3811B-ms98-a-0003,11.345250,11.435250,to,I,+,u-6-1
sw3811B-ms98-a-0003,11.435250,11.535250,be,I,+,u-6-1
sw3811B-ms98-a-0003,11.535250,11.765250,real,B,+,u-8-1
sw3811B-ms98-a-0003,11.765250,11.965250,good,I,+,u-8-1
sw3811B-ms98-a-0003,11.965250,12.325250,child,I,+,u-8-1
sw3811B-ms98-a-0003,12.325250,12.720375,care,I,+,u-8-1
sw3811B-ms98-a-0003,13.297500,13.478250,at,I,+,u-8-1
sw3811B-ms98-a-0003,13.478250,13.784000,a,I,+,u-8-1
sw3811B-ms98-a-0003,13.784000,14.061625,uh,I,+,u-8-1
sw3811B-ms98-a-0004,14.910750,15.130750,pretty,I,+,u-8-1
sw3811B-ms98-a-0004,15.130750,15.600750,reasonable,I,+,u-8-1
sw3811B-ms98-a-0004,15.600750,16.050750,price,I,+,u-8-1
sw3811B-ms98-a-0004,16.050750,16.180750,we,I,+,u-8-1
sw3811B-ms98-a-0004,16.180750,16.622125,think,I,+,u-8-1
sw3811B-ms98-a-0005,17.318500,17.408500,how,B,qo,u-10-1
sw3811B-ms98-a-0005,17.408500,17.628500,about,I,qo,u-10-1
sw3811B-ms98-a-0005,17.628500,17.758500,you,I,qo,u-10-1
sw3811B-ms98-a-0005,17.758500,17.818500,do,B,qy,u-10-2
sw3811B-ms98-a-0005,17.818500,17.878500,you,I,qy,u-10-2
sw3811B-ms98-a-0005,17.878500,17.968500,have,I,qy,u-10-2
sw3811B-ms98-a-0005,17.968500,18.088500,any,I,qy,u-10-2
sw3811B-ms98-a-0005,18.088500,18.528500,children,I,qy,u-10-2
sw3811B-ms98-a-0007,22.763125,23.043125,oh,B,ba,u-12-1
