sw3435B-ms98-a-0002,0.770750,1.131375,okay,B,b^m,u-2-1
sw3435B-ms98-a-0002,1.131375,1.291375,so,B,qy,u-2-2
sw3435B-ms98-a-0002,1.291375,1.391375,are,I,qy,u-2-2
sw3435B-ms98-a-0002,1.391375,1.681375,you,I,qy,u-2-2
sw3435B-ms98-a-0002,1.681375,1.941375,a,I,qy,u-2-2
sw3435B-ms98-a-0002,1.941375,2.401375,a,I,qy,u-2-2
sw3435B-ms98-a-0002,2.401375,2.451375,a,I,qy,u-2-2
sw3435B-ms98-a-0002,2.451375,2.931375,golfer,I,qy,u-2-2
sw3435B-ms98-a-0002,2.931375,3.021375,or,B,qrr,u-2-3
sw3435B-ms98-a-0002,3.021375,3.161375,are,I,qrr,u-2-3
sw3435B-ms98-a-0002,3.161375,3.331375,you,I,qrr,u-2-3
sw3435B-ms98-a-0002,3.331375,3.401375,a,I,qrr,u-2-3
sw3435B-ms98-a-0002,3.401375,4.177125,spectator,I,qrr,u-2-3
sw3435B-ms98-a-0004,8.993375,9.296250,well,B,sd,u-4-1
sw3435B-ms98-a-0004,9.296250,9.406250,i'm,I,sd,u-4-1
sw3435B-ms98-a-0004,9.406250,9.466250,the,I,sd,u-4-1
sw3435B-ms98-a-0004,9.466250,9.756250,same,I,sd,u-4-1
sw3435B-ms98-a-0004,9.756250,10.016250,way,I,sd,u-4-1
sw3435B-ms98-a-0004,10.016250,10.237000,i,B,sd,u-4-2
sw3435B-ms98-a-0004,10.237000,10.356250,i,B,+,u-6-1
sw3435B-ms98-a-0004,10.356250,10.466250,go,I,+,u-6-1
sw3435B-ms98-a-0004,10.466250,10.526250,out,I,+,u-6-1
sw3435B-ms98-a-0004,10.526250,10.616250,there,I,+,u-6-1
sw3435B-ms98-a-0004,10.616250,10.706250,and,I,+,u-6-1
sw3435B-ms98-a-0004,10.706250,10.836250,hit,I,+,u-6-1
sw3435B-ms98-a-0004,10.836250,10.938375,the,I,+,u-6-1
sw3435B-ms98-a-0004,10.938375,11.415750,ball,I,+,u-6-1
sw3435B-ms98-a-0006,13.240375,13.774375,yeah,B,aa,u-8-1
sw3435B-ms98-a-0008,15.996625,16.576125,um,B,sd,u-10-1
sw3435B-ms98-a-0009,17.609000,18.243625,uh,I,sd,u-10-1
sw3435B-ms98-a-0009,18.243625,18.401875,well,I,sd,u-10-1
sw3435B-ms98-a-0009,18.401875,18.604625,in,I,sd,u-10-1
sw3435B-ms98-a-0009,18.604625,18.664625,the,I,sd,u-10-1
sw3435B-ms98-a-0009,18.664625,19.274625,Carolina's,I,sd,u-10-1
sw3435B-ms98-a-0009,19.274625,19.514625,it's,I,sd,u-10-1
sw3435B-ms98-a-0009,19.514625,19.994625,it's,I,sd,u-10-1
sw3435B-ms98-a-0009,19.994625,20.384625,just,I,sd,u-10-1
