sw2963A-ms98-a-0002,4.548750,4.848750,yes,B,ny,u-2-1
sw2963A-ms98-a-0002,4.848750,5.008750,we,B,sd^e,u-2-2
sw2963A-ms98-a-0002,5.008750,5.298750,try,I,sd^e,u-2-2
sw2963A-ms98-a-0002,5.298750,5.828750,to,I,sd^e,u-2-2
sw2963A-ms98-a-0002,5.828750,6.118750,uh,B,sd,u-2-3
sw2963A-ms98-a-0002,6.288750,6.408750,we,I,sd,u-2-3
sw2963A-ms98-a-0002,6.408750,6.578750,have,I,sd,u-2-3
sw2963A-ms98-a-0002,6.578750,6.708750,not,I,sd,u-2-3
sw2963A-ms98-a-0002,6.708750,6.818750,in,I,sd,u-2-3
sw2963A-ms98-a-0002,6.818750,7.098750,some,I,sd,u-2-3
sw2963A-ms98-a-0002,7.098750,7.408750,years,I,sd,u-2-3
sw2963A-ms98-a-0002,7.408750,7.628750,now,I,sd,u-2-3
sw2963A-ms98-a-0002,7.628750,7.738750,and,B,sd,u-2-4
sw2963A-ms98-a-0002,7.738750,7.778750,i,I,sd,u-2-4
sw2963A-ms98-a-0002,7.778750,8.028750,think,I,sd,u-2-4
sw2963A-ms98-a-0002,8.028750,8.088750,we,I,sd,u-2-4
sw2963A-ms98-a-0002,8.088750,8.148750,are,I,sd,u-2-4
sw2963A-ms98-a-0002,8.148750,8.288750,going,I,sd,u-2-4
sw2963A-ms98-a-0002,8.288750,8.358750,to,I,sd,u-2-4
sw2963A-ms98-a-0002,8.358750,8.548750,try,I,sd,u-2-4
sw2963A-ms98-a-0002,8.548750,8.628750,to,I,sd,u-2-4
sw2963A-ms98-a-0002,8.628750,8.798750,have,I,sd,u-2-4
sw2963A-ms98-a-0002,8.798750,8.988750,one,I,sd,u-2-4
sw2963A-ms98-a-0002,8.988750,9.128750,this,I,sd,u-2-4
sw2963A-ms98-a-0002,9.128750,9.578750,summer,I,sd,u-2-4
sw2963A-ms98-a-0003,10.979750,11.179750,my,B,sd,u-4-1
sw2963A-ms98-a-0003,11.179750,11.439750,aunt,I,sd,u-4-1
sw2963A-ms98-a-0003,11.439750,11.659750,is,B,+,u-6-1
sw2963A-ms98-a-0003,11.659750,12.039750,planning,I,+,u-6-1
sw2963A-ms98-a-0003,12.039750,12.273125,it,I,+,u-6-1
sw2963A-ms98-a-0005,15.385875,15.475875,uh,B,sd,u-8-1
sw2963A-ms98-a-0005,15.475875,16.005875,Missouri,I,sd,u-8-1
sw2963A-ms98-a-0006,16.860000,17.390000,southwest,B,sd,u-10-1
sw2963A-ms98-a-0006,17.390000,17.580000,part,I,sd,u-10-1
sw2963A-ms98-a-0006,17.580000,17.640000,of,I,sd,u-10-1
sw2963A-ms98-a-0006,17.640000,18.175375,Missouri,I,sd,u-10-1
sw2963A-ms98-a-0008,19.817125,20.037125,that,B,na,u-12-1
sw2963A-ms98-a-0008,20.037125,20.177125,will,I,na,u-12-1
sw2963A-ms98-a-0008,20.177125,20.357125,will,I,na,u-12-1
sw2963A-ms98-a-0008,20.357125,20.497125,be,I,na,u-12-1
sw2963A-ms98-a-0008,20.497125,20.737125,where,I,na,u-12-1
sw2963A-ms98-a-0008,20.737125,20.817125,it,I,na,u-12-1
sw2963A-ms98-a-0008,20.817125,21.437125,is,I,na,u-12-1
sw2963A-ms98-a-0008,21.627125,22.127125,uh,I,na,u-12-1
sw2963A-ms98-a-0008,22.127125,22.447125,if,B,+,u-14-1
sw2963A-ms98-a-0008,22.447125,22.687125,if,I,+,u-14-1
sw2963A-ms98-a-0008,22.687125,22.857125,she,I,+,u-14-1
sw2963A-ms98-a-0008,22.857125,23.117125,gets,I,+,u-14-1
sw2963A-ms98-a-0008,23.117125,23.247125,it,I,+,u-14-1
sw2963A-ms98-a-0008,23.247125,23.687125,planned,I,+,u-14-1
sw2963A-ms98-a-0008,23.687125,23.737125,i,B,sd,u-14-2
sw2963A-ms98-a-0008,23.737125,23.907125,have,I,sd,u-14-2
sw2963A-ms98-a-0008,23.907125,24.057125,been,I,sd,u-14-2
sw2963A-ms98-a-0008,24.057125,24.197125,out,I,sd,u-14-2
sw2963A-ms98-a-0008,24.197125,24.267125,of,I,sd,u-14-2
sw2963A-ms98-a-0008,24.267125,24.567125,town,I,sd,u-14-2
sw2963A-ms98-a-0008,24.567125,24.697125,so,B,sd,u-14-3
sw2963A-ms98-a-0008,24.697125,24.767125,i,I,sd,u-14-3
sw2963A-ms98-a-0008,24.767125,24.827125,do,I,sd,u-14-3
sw2963A-ms98-a-0008,24.827125,24.957125,not,I,sd,u-14-3
sw2963A-ms98-a-0008,24.957125,25.247125,know,I,sd,u-14-3
sw2963A-ms98-a-0008,25.247125,25.497125,what,I,sd,u-14-3
sw2963A-ms98-a-0008,25.497125,25.607125,she,I,sd,u-14-3
sw2963A-ms98-a-0008,25.607125,25.707125,has,I,sd,u-14-3
sw2963A-ms98-a-0008,25.707125,25.937125,been,I,sd,u-14-3
sw2963A-ms98-a-0008,25.937125,26.287125,doing,I,sd,u-14-3
sw2963A-ms98-a-0008,26.287125,26.587125,but,B,sd,u-14-4
sw2963A-ms98-a-0008,26.587125,26.757125,uh,I,sd,u-14-4
sw2963A-ms98-a-0009,27.547875,27.657875,they,I,sd,u-14-4
sw2963A-ms98-a-0009,27.657875,27.717875,are,I,sd,u-14-4
sw2963A-ms98-a-0009,27.717875,27.907875,all,I,sd,u-14-4
sw2963A-ms98-a-0009,27.907875,28.207875,getting,I,sd,u-14-4
sw2963A-ms98-a-0009,28.207875,28.507875,very,I,sd,u-14-4
sw2963A-ms98-a-0009,28.507875,28.747875,very,I,sd,u-14-4
sw2963A-ms98-a-0009,28.747875,29.257250,old,I,sd,u-14-4
sw2963A-ms98-a-0009,29.967875,30.137875,all,B,sd,u-16-1
sw2963A-ms98-a-0009,30.137875,30.277875,my,I,sd,u-16-1
sw2963A-ms98-a-0009,30.277875,30.547875,aunts,I,sd,u-16-1
sw2963A-ms98-a-0009,30.547875,30.647875,and,I,sd,u-16-1
sw2963A-ms98-a-0009,30.647875,30.957875,uncles,I,sd,u-16-1
sw2963A-ms98-a-0009,30.957875,31.299375,so,B,sd,u-16-2
sw2963A-ms98-a-0009,31.457625,31.587875,we,I,sd,u-16-2
sw2963A-ms98-a-0009,31.587875,31.797875,need,I,sd,u-16-2
sw2963A-ms98-a-0009,31.797875,31.887875,to,I,sd,u-16-2
sw2963A-ms98-a-0009,31.887875,32.147875,see,I,sd,u-16-2
sw2963A-ms98-a-0009,32.147875,32.457875,them,I,sd,u-16-2
sw2963A-ms98-a-0009,32.457875,32.937875,soon,I,sd,u-16-2
sw2963A-ms98-a-0011,37.407875,37.807875,uh-huh,B,b,u-20-1
sw2963A-ms98-a-0013,41.849875,42.099875,right,B,b,u-22-1
sw2963A-ms98-a-0013,42.099875,42.189875,do,B,qy,u-22-2
sw2963A-ms98-a-0013,42.189875,42.319875,you,I,qy,u-22-2
sw2963A-ms98-a-0013,42.319875,42.509875,all,I,qy,u-22-2
sw2963A-ms98-a-0013,42.509875,42.669875,get,I,qy,u-22-2
sw2963A-ms98-a-0013,42.669875,43.089875,together,I,qy,u-22-2
sw2963A-ms98-a-0013,43.089875,43.469875,often,I,qy,u-22-2
sw2963A-ms98-a-0013,43.469875,43.599875,or,B,%,u-22-3
sw2963A-ms98-a-0015,48.479625,48.853875,uh-huh,B,b,u-24-1
sw2963A-ms98-a-0017,52.051125,52.501125,right,B,b,u-26-1
sw2963A-ms98-a-0018,54.047875,54.137875,i,B,sd,u-28-1
sw2963A-ms98-a-0018,54.137875,54.287875,think,I,sd,u-28-1
sw2963A-ms98-a-0018,54.287875,54.397875,as,I,sd,u-28-1
sw2963A-ms98-a-0018,54.397875,54.537875,we,B,+,u-30-1
sw2963A-ms98-a-0018,54.537875,54.697875,get,I,+,u-30-1
sw2963A-ms98-a-0018,54.697875,55.027875,older,I,+,u-30-1
sw2963A-ms98-a-0018,55.027875,55.137875,it,I,+,u-30-1
sw2963A-ms98-a-0018,55.137875,55.217875,is,I,+,u-30-1
sw2963A-ms98-a-0018,55.217875,55.437875,diff[icult]-,I,+,u-30-1
sw2963A-ms98-a-0018,55.437875,55.627875,more,I,+,u-30-1
sw2963A-ms98-a-0018,55.627875,56.247875,difficult,I,+,u-30-1
sw2963A-ms98-a-0018,56.247875,56.347875,to,I,+,u-30-1
sw2963A-ms98-a-0018,56.347875,56.787875,uh,I,+,u-30-1
sw2963A-ms98-a-0019,57.759875,57.879875,when,I,+,u-30-1
sw2963A-ms98-a-0019,57.879875,58.039875,all,B,sd,u-30-2
sw2963A-ms98-a-0019,58.039875,58.229875,my,I,sd,u-30-2
sw2963A-ms98-a-0019,58.229875,58.489875,aunts,I,sd,u-30-2
sw2963A-ms98-a-0019,58.489875,58.579875,and,I,sd,u-30-2
sw2963A-ms98-a-0019,58.579875,58.919875,uncles,I,sd,u-30-2
sw2963A-ms98-a-0019,58.919875,58.999875,are,I,sd,u-30-2
sw2963A-ms98-a-0019,58.999875,59.119875,in,I,sd,u-30-2
sw2963A-ms98-a-0019,59.119875,59.309875,their,I,sd,u-30-2
sw2963A-ms98-a-0019,59.309875,59.759875,eighties,I,sd,u-30-2
sw2963A-ms98-a-0019,59.759875,60.019875,now,I,sd,u-30-2
sw2963A-ms98-a-0019,60.019875,60.289875,so,B,%,u-30-3
sw2963A-ms98-a-0019,60.289875,60.449875,it,I,%,u-30-3
sw2963A-ms98-a-0019,60.449875,60.619875,is,I,%,u-30-3
sw2963A-ms98-a-0019,60.619875,60.799875,uh,I,%,u-30-3
sw2963A-ms98-a-0020,62.034500,62.104500,i,B,sd,u-32-1
sw2963A-ms98-a-0020,62.104500,62.404500,have,I,sd,u-32-1
sw2963A-ms98-a-0020,62.404500,62.564500,to,I,sd,u-32-1
sw2963A-ms98-a-0020,62.564500,62.989625,uh,I,sd,u-32-1
sw2963A-ms98-a-0020,63.283375,63.385125,i,I,sd,u-32-1
sw2963A-ms98-a-0020,63.385125,63.444500,will,I,sd,u-32-1
sw2963A-ms98-a-0020,63.444500,63.714500,probably,I,sd,u-32-1
sw2963A-ms98-a-0020,63.714500,63.814500,have,I,sd,u-32-1
