sw2457B-ms98-a-0002,4.360375,4.957625,yeah,B,b,u-2-1
sw2457B-ms98-a-0004,8.161750,8.515000,oh,B,b,u-4-1
sw2457B-ms98-a-0004,8.515000,9.099375,boy,I,b,u-4-1
sw2457B-ms98-a-0006,17.300000,17.979875,yeah,B,b,u-6-1
sw2457B-ms98-a-0006,18.107875,18.251875,i've,B,sd,u-8-1
sw2457B-ms98-a-0006,18.251875,18.361875,been,I,sd,u-8-1
sw2457B-ms98-a-0006,18.361875,18.631875,trying,I,sd,u-8-1
sw2457B-ms98-a-0006,18.631875,18.711875,to,I,sd,u-8-1
sw2457B-ms98-a-0006,18.711875,18.941875,put,I,sd,u-8-1
sw2457B-ms98-a-0006,18.941875,19.381875,weed,I,sd,u-8-1
sw2457B-ms98-a-0006,19.381875,19.761875,spray,I,sd,u-8-1
sw2457B-ms98-a-0006,19.761875,19.911875,on,I,sd,u-8-1
sw2457B-ms98-a-0006,19.911875,19.981875,the,I,sd,u-8-1
sw2457B-ms98-a-0006,19.981875,20.451875,lawn,I,sd,u-8-1
sw2457B-ms98-a-0006,20.451875,20.631875,for,I,sd,u-8-1
sw2457B-ms98-a-0006,20.631875,20.741875,the,I,sd,u-8-1
sw2457B-ms98-a-0006,20.741875,21.031875,whole,I,sd,u-8-1
sw2457B-ms98-a-0006,21.031875,21.541875,week,I,sd,u-8-1
sw2457B-ms98-a-0006,21.541875,21.801875,and,B,sd,u-8-2
sw2457B-ms98-a-0006,21.801875,21.951875,you,I,sd,u-8-2
sw2457B-ms98-a-0006,21.951875,22.241875,can't,I,sd,u-8-2
sw2457B-ms98-a-0006,22.241875,22.401875,put,I,sd,u-8-2
sw2457B-ms98-a-0006,22.401875,22.471875,it,I,sd,u-8-2
sw2457B-ms98-a-0006,22.471875,22.721875,on,I,sd,u-8-2
sw2457B-ms98-a-0006,22.721875,22.851875,if,I,sd,u-8-2
sw2457B-ms98-a-0006,22.851875,22.971875,it's,I,sd,u-8-2
sw2457B-ms98-a-0006,22.971875,23.271875,suppose,I,sd,u-8-2
sw2457B-ms98-a-0006,23.271875,23.391875,to,I,sd,u-8-2
sw2457B-ms98-a-0006,23.391875,23.721875,rain,I,sd,u-8-2
sw2457B-ms98-a-0006,23.721875,23.961875,within,I,sd,u-8-2
sw2457B-ms98-a-0006,23.961875,24.251875,forty,I,sd,u-8-2
sw2457B-ms98-a-0006,24.251875,24.361875,eight,I,sd,u-8-2
sw2457B-ms98-a-0006,24.361875,24.868125,hours,I,sd,u-8-2
sw2457B-ms98-a-0007,25.558375,25.748375,and,B,sd,u-10-1
sw2457B-ms98-a-0007,25.748375,25.868375,so,I,sd,u-10-1
sw2457B-ms98-a-0007,25.868375,25.988375,i,I,sd,u-10-1
sw2457B-ms98-a-0007,25.988375,26.258375,keep,I,sd,u-10-1
sw2457B-ms98-a-0007,26.258375,26.458375,hearing,I,sd,u-10-1
sw2457B-ms98-a-0007,26.458375,26.518375,the,I,sd,u-10-1
sw2457B-ms98-a-0007,26.518375,27.108375,forecast,I,sd,u-10-1
sw2457B-ms98-a-0007,27.108375,27.218375,it's,I,sd,u-10-1
sw2457B-ms98-a-0007,27.218375,27.338375,going,I,sd,u-10-1
sw2457B-ms98-a-0007,27.338375,27.408375,to,I,sd,u-10-1
sw2457B-ms98-a-0007,27.408375,27.608375,rain,I,sd,u-10-1
sw2457B-ms98-a-0007,27.608375,27.698375,it's,I,sd,u-10-1
sw2457B-ms98-a-0007,27.698375,27.818375,going,I,sd,u-10-1
sw2457B-ms98-a-0007,27.818375,27.878375,to,I,sd,u-10-1
sw2457B-ms98-a-0007,27.878375,28.048375,rain,I,sd,u-10-1
sw2457B-ms98-a-0007,28.048375,28.148375,it's,I,sd,u-10-1
sw2457B-ms98-a-0007,28.148375,28.268375,going,I,sd,u-10-1
sw2457B-ms98-a-0007,28.268375,28.328375,to,I,sd,u-10-1
sw2457B-ms98-a-0007,28.328375,28.548375,rain,I,sd,u-10-1
sw2457B-ms98-a-0007,28.548375,28.638375,but,B,^2,u-10-2
sw2457B-ms98-a-0007,28.638375,28.728375,it,I,^2,u-10-2
sw2457B-ms98-a-0007,28.728375,28.948375,really,I,^2,u-10-2
sw2457B-ms98-a-0007,28.948375,29.361250,hasn't,I,^2,u-10-2
sw2457B-ms98-a-0007,29.361250,30.176125,rained,I,^2,u-10-2
sw2457B-ms98-a-0007,30.989125,31.688750,yeah,O,,
sw2457B-ms98-a-0009,37.350625,38.035750,yeah,B,b,u-14-1
sw2457B-ms98-a-0010,39.190875,39.870750,yeah,B,b,u-16-1
sw2457B-ms98-a-0012,46.823250,47.301125,um-hum,B,b,u-18-1
sw2457B-ms98-a-0014,51.782125,52.466625,yeah,B,b,u-20-1
sw2457B-ms98-a-0014,52.466625,53.094125,yeah,B,b^r,u-20-2
sw2457B-ms98-a-0016,56.212625,57.036625,[laughter],O,,
sw2457B-ms98-a-0016,57.036625,57.120875,well,B,sd,u-22-1
sw2457B-ms98-a-0016,57.120875,57.240875,i,I,sd,u-22-1
sw2457B-ms98-a-0016,57.240875,57.450875,get,I,sd,u-22-1
sw2457B-ms98-a-0016,57.450875,57.730875,tired,I,sd,u-22-1
sw2457B-ms98-a-0016,57.730875,57.878500,with,I,sd,u-22-1
sw2457B-ms98-a-0016,57.878500,57.957500,the,I,sd,u-22-1
sw2457B-ms98-a-0016,57.957500,58.100875,ki[d]-,O,,
sw2457B-ms98-a-0016,58.100875,58.170875,i,B,sd,u-22-2
sw2457B-ms98-a-0016,58.170875,58.340875,have,I,sd,u-22-2
sw2457B-ms98-a-0016,58.340875,58.510875,two,I,sd,u-22-2
sw2457B-ms98-a-0016,58.510875,58.671500,ki[d]-,I,sd,u-22-2
sw2457B-ms98-a-0016,58.671500,59.400875,preschoolers,I,sd,u-22-2
sw2457B-ms98-a-0016,59.400875,59.430875,a,I,sd,u-22-2
sw2457B-ms98-a-0016,59.430875,59.600875,three,I,sd,u-22-2
sw2457B-ms98-a-0016,59.600875,59.750875,year,I,sd,u-22-2
sw2457B-ms98-a-0016,59.750875,59.900875,old,I,sd,u-22-2
sw2457B-ms98-a-0016,59.900875,60.010875,and,I,sd,u-22-2
