sw3803A-ms98-a-0001,0.320000,0.712875,hi,B,fp,u-1-1
sw3803A-ms98-a-0001,0.826000,1.020000,[vocalized-noise],O,,
sw3803A-ms98-a-0001,1.020000,1.270000,what,B,qw,u-1-2
sw3803A-ms98-a-0001,1.270000,1.330000,do,I,qw,u-1-2
sw3803A-ms98-a-0001,1.330000,1.510000,you,I,qw,u-1-2
sw3803A-ms98-a-0001,1.510000,1.750000,think,I,qw,u-1-2
sw3803A-ms98-a-0001,1.750000,2.020000,about,I,qw,u-1-2
sw3803A-ms98-a-0001,2.020000,2.250000,gun,I,qw,u-1-2
sw3803A-ms98-a-0001,2.250000,2.800000,control,I,qw,u-1-2
sw3803A-ms98-a-0003,28.734875,28.964500,well,B,sv,u-3-1
sw3803A-ms98-a-0003,28.964500,29.088750,i,I,sv,u-3-1
sw3803A-ms98-a-0003,29.088750,29.434875,guess,I,sv,u-3-1
sw3803A-ms98-a-0003,29.514875,29.844875,that,I,sv,u-3-1
sw3803A-ms98-a-0003,29.934875,30.144875,i,I,sv,u-3-1
sw3803A-ms98-a-0003,30.144875,30.284875,would,I,sv,u-3-1
sw3803A-ms98-a-0003,30.284875,30.500125,like,I,sv,u-3-1
sw3803A-ms98-a-0003,30.500125,31.080250,to,I,sv,u-3-1
sw3803A-ms98-a-0003,31.080250,31.537250,to,I,sv,u-3-1
sw3803A-ms98-a-0003,32.019375,32.304875,say,I,sv,u-3-1
sw3803A-ms98-a-0003,32.304875,32.576125,that,I,sv,u-3-1
sw3803A-ms98-a-0003,32.754875,33.124875,perhaps,I,sv,u-3-1
sw3803A-ms98-a-0003,33.124875,33.504875,someplace,I,sv,u-3-1
sw3803A-ms98-a-0003,33.504875,33.614875,in,I,sv,u-3-1
sw3803A-ms98-a-0003,33.614875,33.684875,the,I,sv,u-3-1
sw3803A-ms98-a-0003,33.684875,34.184875,middle,I,sv,u-3-1
sw3803A-ms98-a-0003,34.184875,34.590500,where,I,sv,u-3-1
sw3803A-ms98-a-0003,34.684625,35.164875,people,I,sv,u-3-1
sw3803A-ms98-a-0003,35.494875,35.733625,could,I,sv,u-3-1
sw3803A-ms98-a-0003,35.986000,36.344875,somehow,I,sv,u-3-1
sw3803A-ms98-a-0003,36.344875,37.354875,qualify,I,sv,u-3-1
sw3803A-ms98-a-0003,37.354875,37.734875,or,I,sv,u-3-1
sw3803A-ms98-a-0004,38.330750,38.670750,um,I,sv,u-3-1
sw3803A-ms98-a-0004,38.670750,38.950125,have,I,sv,u-3-1
sw3803A-ms98-a-0004,38.950125,39.138375,a,I,sv,u-3-1
sw3803A-ms98-a-0004,39.711375,40.250750,legitimate,I,sv,u-3-1
sw3803A-ms98-a-0004,40.250750,40.610750,use,I,sv,u-3-1
sw3803A-ms98-a-0004,40.610750,40.831875,for,I,sv,u-3-1
sw3803A-ms98-a-0004,40.831875,41.280000,the,I,sv,u-3-1
sw3803A-ms98-a-0004,41.280000,41.549750,the,I,sv,u-3-1
sw3803A-ms98-a-0004,42.056000,42.180250,the,I,sv,u-3-1
sw3803A-ms98-a-0004,42.180250,42.540750,weapon,I,sv,u-3-1
sw3803A-ms98-a-0004,42.540750,42.650750,i,I,sv,u-3-1
sw3803A-ms98-a-0004,42.650750,43.266750,suppose,I,sv,u-3-1
sw3803A-ms98-a-0004,43.760750,44.080750,because,B,+,u-5-1
sw3803A-ms98-a-0004,44.080750,44.550750,also,I,+,u-5-1
sw3803A-ms98-a-0004,44.550750,44.800750,living,I,+,u-5-1
sw3803A-ms98-a-0004,44.800750,44.910750,in,I,+,u-5-1
sw3803A-ms98-a-0004,44.910750,45.100750,this,I,+,u-5-1
sw3803A-ms98-a-0004,45.100750,45.700750,area,I,+,u-5-1
sw3803A-ms98-a-0004,45.700750,45.880750,the,I,+,u-5-1
sw3803A-ms98-a-0004,46.352500,46.450375,the,I,+,u-5-1
sw3803A-ms98-a-0004,46.450375,46.890750,problems,I,+,u-5-1
sw3803A-ms98-a-0004,46.890750,47.010750,in,I,+,u-5-1
sw3803A-ms98-a-0004,47.010750,47.480750,DC,I,+,u-5-1
sw3803A-ms98-a-0004,47.480750,47.750750,come,I,+,u-5-1
sw3803A-ms98-a-0004,47.750750,48.080750,home,I,+,u-5-1
sw3803A-ms98-a-0004,48.080750,48.427500,very,I,+,u-5-1
sw3803A-ms98-a-0004,48.525375,49.040750,quickly,I,+,u-5-1
sw3803A-ms98-a-0006,64.851000,64.981000,well,B,no,u-7-1
sw3803A-ms98-a-0006,64.981000,65.071000,i'm,I,no,u-7-1
sw3803A-ms98-a-0006,65.071000,65.251000,not,I,no,u-7-1
sw3803A-ms98-a-0006,65.251000,65.351000,so,I,no,u-7-1
sw3803A-ms98-a-0006,65.351000,65.561000,sure,I,no,u-7-1
sw3803A-ms98-a-0006,65.561000,65.841000,about,I,no,u-7-1
sw3803A-ms98-a-0006,65.841000,66.191000,that,I,no,u-7-1
sw3803A-ms98-a-0006,66.191000,66.341000,but,B,sv,u-7-2
sw3803A-ms98-a-0006,66.341000,66.441000,i,I,sv,u-7-2
sw3803A-ms98-a-0006,66.441000,66.811000,think,I,sv,u-7-2
sw3803A-ms98-a-0006,66.811000,67.461375,somehow,I,sv,u-7-2
sw3803A-ms98-a-0006,67.551750,67.801000,uh,I,sv,u-7-2
