sw3283B-ms98-a-0003,2.558000,3.408500,right,B,b,u-2-1
sw3283B-ms98-a-0004,4.656250,4.916250,i,B,sd,u-4-1
sw3283B-ms98-a-0004,4.916250,5.156250,am,I,sd,u-4-1
sw3283B-ms98-a-0004,5.156250,5.446250,very,I,sd,u-4-1
sw3283B-ms98-a-0004,5.446250,5.666250,much,I,sd,u-4-1
sw3283B-ms98-a-0004,5.666250,6.036250,for,I,sd,u-4-1
sw3283B-ms98-a-0004,6.036250,6.556250,capital,I,sd,u-4-1
sw3283B-ms98-a-0004,6.556250,7.385250,punishment,I,sd,u-4-1
sw3283B-ms98-a-0006,9.772750,10.110250,my,B,sd,u-6-1
sw3283B-ms98-a-0006,10.110250,10.669500,dad,I,sd,u-6-1
sw3283B-ms98-a-0006,10.669500,11.442750,retired,I,sd,u-6-1
sw3283B-ms98-a-0006,11.442750,11.682750,from,I,sd,u-6-1
sw3283B-ms98-a-0006,11.682750,11.762750,the,I,sd,u-6-1
sw3283B-ms98-a-0006,11.762750,12.381250,federal,I,sd,u-6-1
sw3283B-ms98-a-0006,12.863375,13.282750,prison,I,sd,u-6-1
sw3283B-ms98-a-0006,13.282750,13.402750,of,I,sd,u-6-1
sw3283B-ms98-a-0006,13.402750,14.158750,bureaus,I,sd,u-6-1
sw3283B-ms98-a-0006,15.074125,15.342750,and,B,sd,u-8-1
sw3283B-ms98-a-0006,15.342750,15.512750,i've,I,sd,u-8-1
sw3283B-ms98-a-0006,15.512750,15.722750,been,I,sd,u-8-1
sw3283B-ms98-a-0006,15.722750,16.172750,raised,I,sd,u-8-1
sw3283B-ms98-a-0006,16.172750,16.793500,around,I,sd,u-8-1
sw3283B-ms98-a-0007,17.808375,18.508375,prison,I,sd,u-8-1
sw3283B-ms98-a-0008,19.834250,20.364250,prisons,B,+,u-10-1
sw3283B-ms98-a-0008,20.364250,20.554250,all,I,+,u-10-1
sw3283B-ms98-a-0008,20.554250,20.724250,my,I,+,u-10-1
sw3283B-ms98-a-0008,20.724250,21.427625,life,I,+,u-10-1
sw3283B-ms98-a-0008,22.104375,22.586250,and,B,sv,u-12-1
sw3283B-ms98-a-0008,22.993125,23.244250,i,I,sv,u-12-1
sw3283B-ms98-a-0008,23.244250,23.744250,believe,I,sv,u-12-1
sw3283B-ms98-a-0008,23.744250,23.964250,if,I,sv,u-12-1
sw3283B-ms98-a-0008,23.964250,24.183625,you,I,sv,u-12-1
