sw3304B-ms98-a-0002,1.754125,2.428500,okay,B,b,u-2-1
sw3304B-ms98-a-0004,4.645125,5.013750,oh,B,ny,u-4-1
sw3304B-ms98-a-0004,5.013750,5.383750,yeah,O,,
sw3304B-ms98-a-0004,5.383750,6.273750,cycling,B,sd^e,u-4-2
sw3304B-ms98-a-0004,6.273750,7.213750,computers,I,sd^e,u-4-2
sw3304B-ms98-a-0004,7.213750,7.553750,uh,I,sd^e,u-4-2
sw3304B-ms98-a-0004,7.553750,8.413750,backpacking,I,sd^e,u-4-2
sw3304B-ms98-a-0004,8.413750,8.603750,just,I,sd^e,u-4-2
sw3304B-ms98-a-0004,8.603750,8.783750,about,I,sd^e,u-4-2
sw3304B-ms98-a-0004,8.783750,9.251000,everything,I,sd^e,u-4-2
sw3304B-ms98-a-0004,9.972000,10.683750,[laughter],O,,
sw3304B-ms98-a-0004,10.683750,10.743750,you,O,,
sw3304B-ms98-a-0004,10.743750,10.843750,know,O,,
sw3304B-ms98-a-0004,10.843750,10.953750,i,B,sd,u-6-1
sw3304B-ms98-a-0004,10.953750,11.553750,generically,I,sd,u-6-1
sw3304B-ms98-a-0004,11.553750,11.813750,have,I,sd,u-6-1
sw3304B-ms98-a-0004,11.813750,11.903750,you,I,sd,u-6-1
sw3304B-ms98-a-0004,11.903750,11.993750,know,I,sd,u-6-1
sw3304B-ms98-a-0004,11.993750,12.413750,millions,I,sd,u-6-1
sw3304B-ms98-a-0004,12.413750,12.493750,of,I,sd,u-6-1
sw3304B-ms98-a-0004,12.493750,13.060125,hobbies,I,sd,u-6-1
sw3304B-ms98-a-0006,15.254000,16.051250,[laughter],O,,
sw3304B-ms98-a-0008,18.180875,19.193500,uh-huh,B,b,u-10-1
sw3304B-ms98-a-0010,22.646250,22.786500,i,O,,
sw3304B-ms98-a-0010,22.786500,22.966500,am,O,,
sw3304B-ms98-a-0010,22.966500,23.186500,not,B,sd,u-12-1
sw3304B-ms98-a-0010,23.186500,23.766500,quite,I,sd,u-12-1
sw3304B-ms98-a-0010,23.766500,24.086500,that,I,sd,u-12-1
sw3304B-ms98-a-0010,24.086500,24.426500,bad,I,sd,u-12-1
sw3304B-ms98-a-0010,24.426500,24.616500,i'm,B,sd,u-14-1
sw3304B-ms98-a-0010,24.616500,24.826500,just,I,sd,u-14-1
sw3304B-ms98-a-0010,24.826500,24.956500,a,I,sd,u-14-1
sw3304B-ms98-a-0010,24.956500,25.486500,weekend,I,sd,u-14-1
sw3304B-ms98-a-0010,25.486500,26.223375,cyclist,I,sd,u-14-1
sw3304B-ms98-a-0012,31.965250,33.269375,handicraft,B,b^m,u-16-1
sw3304B-ms98-a-0012,33.269375,33.559375,type,I,b^m,u-16-1
sw3304B-ms98-a-0012,33.559375,34.410500,things,I,b^m,u-16-1
sw3304B-ms98-a-0013,35.255625,36.352375,[laughter],O,,
sw3304B-ms98-a-0013,36.352375,36.542375,yeah,B,aa,u-18-1
sw3304B-ms98-a-0013,36.542375,36.862375,just,B,sd,u-18-2
sw3304B-ms98-a-0013,36.862375,37.152375,whittle,I,sd,u-18-2
sw3304B-ms98-a-0013,37.152375,37.382375,away,I,sd,u-18-2
sw3304B-ms98-a-0013,37.382375,37.582375,my,I,sd,u-18-2
sw3304B-ms98-a-0013,37.582375,38.102375,life,I,sd,u-18-2
sw3304B-ms98-a-0013,38.102375,38.956500,uh,B,ar,u-18-3
sw3304B-ms98-a-0013,38.956500,40.056625,no,I,ar,u-18-3
sw3304B-ms98-a-0013,40.056625,41.730750,no,B,ar^r,u-18-4
sw3304B-ms98-a-0013,41.730750,42.388125,i,B,%,u-18-5
sw3304B-ms98-a-0013,42.388125,42.651750,c[annot]-,O,,
sw3304B-ms98-a-0013,42.651750,42.932750,[vocalized-noise],O,,
sw3304B-ms98-a-0015,54.370500,54.491500,oh,B,ba,u-22-1
sw3304B-ms98-a-0015,54.491500,54.721500,that's,I,ba,u-22-1
sw3304B-ms98-a-0015,54.721500,54.961500,pretty,I,ba,u-22-1
sw3304B-ms98-a-0015,54.961500,55.316000,good,I,ba,u-22-1
sw3304B-ms98-a-0017,61.601000,65.702750,[laughter],O,,
sw3304B-ms98-a-0017,65.702750,65.952750,yeah,B,b,u-26-1
sw3304B-ms98-a-0017,65.952750,66.298125,they,B,%,u-26-2
sw3304B-ms98-a-0017,66.561750,66.812750,my,B,sd,u-26-3
sw3304B-ms98-a-0017,66.812750,66.992750,only,I,sd,u-26-3
sw3304B-ms98-a-0017,66.992750,67.502750,craft,I,sd,u-26-3
sw3304B-ms98-a-0017,67.502750,67.782750,work,I,sd,u-26-3
sw3304B-ms98-a-0017,67.782750,67.912750,is,I,sd,u-26-3
sw3304B-ms98-a-0017,67.912750,68.062750,kind,I,sd,u-26-3
sw3304B-ms98-a-0017,68.062750,68.142750,of,I,sd,u-26-3
sw3304B-ms98-a-0017,68.142750,68.292750,like,I,sd,u-26-3
sw3304B-ms98-a-0017,68.292750,69.102750,computers,I,sd,u-26-3
sw3304B-ms98-a-0017,69.102750,69.422750,and,I,sd,u-26-3
sw3304B-ms98-a-0017,69.422750,69.512750,you,I,sd,u-26-3
sw3304B-ms98-a-0017,69.512750,69.732750,know,I,sd,u-26-3
sw3304B-ms98-a-0017,69.732750,69.942750,go,I,sd,u-26-3
sw3304B-ms98-a-0017,69.942750,70.122750,off,I,sd,u-26-3
sw3304B-ms98-a-0017,70.122750,70.272750,to,I,sd,u-26-3
sw3304B-ms98-a-0017,70.272750,70.362750,the,I,sd,u-26-3
sw3304B-ms98-a-0017,70.362750,70.562750,little,I,sd,u-26-3
sw3304B-ms98-a-0017,70.562750,70.922750,computer,I,sd,u-26-3
sw3304B-ms98-a-0017,70.922750,71.162750,club,I,sd,u-26-3
sw3304B-ms98-a-0017,71.162750,71.732750,meetings,I,sd,u-26-3
sw3304B-ms98-a-0017,71.732750,71.932000,and,B,sd,u-26-4
sw3304B-ms98-a-0017,72.242125,72.358875,it's,I,sd,u-26-4
sw3304B-ms98-a-0017,72.358875,72.472750,kind,I,sd,u-26-4
sw3304B-ms98-a-0017,72.472750,72.532750,of,I,sd,u-26-4
sw3304B-ms98-a-0017,72.532750,72.832750,nice,I,sd,u-26-4
sw3304B-ms98-a-0017,72.832750,73.132750,because,I,sd,u-26-4
sw3304B-ms98-a-0017,73.132750,73.305875,i've,I,sd,u-26-4
sw3304B-ms98-a-0017,73.305875,73.542750,made,I,sd,u-26-4
sw3304B-ms98-a-0017,73.542750,73.832750,money,I,sd,u-26-4
sw3304B-ms98-a-0017,73.832750,73.932750,on,I,sd,u-26-4
sw3304B-ms98-a-0017,73.932750,74.132750,it,I,sd,u-26-4
sw3304B-ms98-a-0017,74.132750,74.536250,too,I,sd,u-26-4
sw3304B-ms98-a-0018,75.471875,75.981875,considering,B,sd,u-26-5
sw3304B-ms98-a-0018,75.981875,76.191875,i-,I,sd,u-26-5
sw3304B-ms98-a-0018,76.191875,76.291875,i,I,sd,u-26-5
sw3304B-ms98-a-0018,76.291875,76.581875,work,I,sd,u-26-5
sw3304B-ms98-a-0018,76.581875,76.821875,for,I,sd,u-26-5
sw3304B-ms98-a-0018,76.821875,76.881875,it,I,sd,u-26-5
sw3304B-ms98-a-0018,76.881875,76.911875,a,I,sd,u-26-5
sw3304B-ms98-a-0018,76.911875,77.331875,living,I,sd,u-26-5
