sw3346B-ms98-a-0003,3.670125,4.290000,well,B,sv,u-2-1
sw3346B-ms98-a-0003,4.290000,5.019375,um,B,+,u-4-1
sw3346B-ms98-a-0003,5.207625,5.603125,i-,I,+,u-4-1
sw3346B-ms98-a-0003,5.603125,5.693125,i,I,+,u-4-1
sw3346B-ms98-a-0003,5.693125,5.863125,just,I,+,u-4-1
sw3346B-ms98-a-0003,5.863125,6.053125,think,I,+,u-4-1
sw3346B-ms98-a-0003,6.053125,6.143125,the,I,+,u-4-1
sw3346B-ms98-a-0003,6.143125,6.323125,way,I,+,u-4-1
sw3346B-ms98-a-0003,6.323125,6.463125,that,I,+,u-4-1
sw3346B-ms98-a-0003,6.463125,6.723125,things,I,+,u-4-1
sw3346B-ms98-a-0003,6.723125,6.783125,are,I,+,u-4-1
sw3346B-ms98-a-0003,6.783125,7.323750,going,I,+,u-4-1
sw3346B-ms98-a-0003,7.323750,7.881125,that,I,+,u-4-1
sw3346B-ms98-a-0003,7.881125,8.487125,um,I,+,u-4-1
sw3346B-ms98-a-0003,8.675375,8.863125,that,I,+,u-4-1
sw3346B-ms98-a-0003,8.863125,8.943125,it,I,+,u-4-1
sw3346B-ms98-a-0003,8.943125,9.103125,would,I,+,u-4-1
sw3346B-ms98-a-0003,9.103125,9.253125,be,I,+,u-4-1
sw3346B-ms98-a-0003,9.253125,9.593125,good,I,+,u-4-1
sw3346B-ms98-a-0003,9.593125,9.933125,for,I,+,u-4-1
sw3346B-ms98-a-0003,9.933125,10.273125,young,I,+,u-4-1
sw3346B-ms98-a-0003,10.273125,10.753125,people,I,+,u-4-1
sw3346B-ms98-a-0003,10.753125,11.563125,to,I,+,u-4-1
sw3346B-ms98-a-0003,11.563125,11.743125,go,I,+,u-4-1
sw3346B-ms98-a-0003,11.743125,12.043125,ahead,I,+,u-4-1
sw3346B-ms98-a-0003,12.043125,12.183125,and,I,+,u-4-1
sw3346B-ms98-a-0003,12.183125,12.817375,have,I,+,u-4-1
sw3346B-ms98-a-0003,12.817375,13.327000,um,I,+,u-4-1
sw3346B-ms98-a-0003,13.617000,14.003125,dedicate,I,+,u-4-1
sw3346B-ms98-a-0003,14.003125,14.393125,themselves,I,+,u-4-1
sw3346B-ms98-a-0003,14.393125,14.513125,to,I,+,u-4-1
sw3346B-ms98-a-0003,14.513125,14.593125,at,I,+,u-4-1
sw3346B-ms98-a-0003,14.593125,14.853125,least,I,+,u-4-1
sw3346B-ms98-a-0003,14.853125,15.373125,something,I,+,u-4-1
sw3346B-ms98-a-0004,15.700875,15.890875,i,B,sv,u-6-1
sw3346B-ms98-a-0004,15.890875,16.120875,know,I,sv,u-6-1
sw3346B-ms98-a-0004,16.120875,16.280875,like,I,sv,u-6-1
sw3346B-ms98-a-0004,16.280875,16.350875,the,I,sv,u-6-1
sw3346B-ms98-a-0004,16.350875,16.730875,Mormon,I,sv,u-6-1
sw3346B-ms98-a-0004,16.730875,17.210875,religion,I,sv,u-6-1
sw3346B-ms98-a-0004,17.210875,17.290875,you,I,sv,u-6-1
