sw2285B-ms98-a-0002,23.735625,24.229125,um-hum,B,b,u-2-1
sw2285B-ms98-a-0004,34.572500,35.036375,um-hum,B,b,u-4-1
sw2285B-ms98-a-0006,42.441000,42.914250,right,B,b,u-6-1
sw2285B-ms98-a-0006,43.193000,43.432375,yeah,B,b,u-6-2
sw2285B-ms98-a-0006,44.046375,44.312125,well,B,sd,u-6-3
sw2285B-ms98-a-0006,44.413750,44.716750,when,I,sd,u-6-3
sw2285B-ms98-a-0006,44.716750,45.006750,uh,I,sd,u-6-3
sw2285B-ms98-a-0006,45.006750,45.246750,we,I,sd,u-6-3
sw2285B-ms98-a-0006,45.246750,45.456750,lived,I,sd,u-6-3
sw2285B-ms98-a-0006,45.456750,45.576750,in,I,sd,u-6-3
sw2285B-ms98-a-0006,45.576750,45.776750,San,I,sd,u-6-3
sw2285B-ms98-a-0006,45.776750,46.296750,Antonio,I,sd,u-6-3
sw2285B-ms98-a-0006,46.296750,46.416750,i,B,sd,u-6-4
sw2285B-ms98-a-0006,46.416750,46.686750,grew,I,sd,u-6-4
sw2285B-ms98-a-0006,46.686750,46.966750,up,I,sd,u-6-4
sw2285B-ms98-a-0006,46.966750,47.366750,around,I,sd,u-6-4
sw2285B-ms98-a-0006,47.366750,47.566750,San,I,sd,u-6-4
sw2285B-ms98-a-0006,47.566750,48.188750,Antonio,I,sd,u-6-4
sw2285B-ms98-a-0006,48.188750,48.386750,and,B,sd,u-6-5
sw2285B-ms98-a-0006,48.386750,48.566750,it's,I,sd,u-6-5
sw2285B-ms98-a-0006,48.566750,48.856750,always,I,sd,u-6-5
sw2285B-ms98-a-0006,48.856750,48.996750,been,I,sd,u-6-5
sw2285B-ms98-a-0006,48.996750,49.046750,a,I,sd,u-6-5
sw2285B-ms98-a-0006,49.046750,49.400875,very,I,sd,u-6-5
sw2285B-ms98-a-0006,49.585375,50.162375,large,I,sd,u-6-5
sw2285B-ms98-a-0006,50.162375,50.416750,uh,I,sd,u-6-5
sw2285B-ms98-a-0006,50.416750,50.874875,city,I,sd,u-6-5
sw2285B-ms98-a-0006,50.874875,51.223125,and,I,sd,u-6-5
sw2285B-ms98-a-0006,51.343750,51.926750,increasingly,I,sd,u-6-5
