sw3517B-ms98-a-0002,0.479000,1.048125,okay,B,b^m,u-2-1
sw3517B-ms98-a-0002,1.048125,1.138125,i,B,sv,u-2-2
sw3517B-ms98-a-0002,1.138125,1.358125,guess,I,sv,u-2-2
sw3517B-ms98-a-0002,1.358125,1.498125,we're,I,sv,u-2-2
sw3517B-ms98-a-0002,1.498125,1.748125,ready,I,sv,u-2-2
sw3517B-ms98-a-0002,1.748125,1.898125,to,I,sv,u-2-2
sw3517B-ms98-a-0002,1.898125,2.248125,start,I,sv,u-2-2
sw3517B-ms98-a-0002,2.248125,2.682500,well,B,qw,u-2-3
sw3517B-ms98-a-0002,2.682500,2.828125,i,I,qw,u-2-3
sw3517B-ms98-a-0002,2.828125,3.208125,guess,I,qw,u-2-3
sw3517B-ms98-a-0002,3.208125,3.378125,what,I,qw,u-2-3
sw3517B-ms98-a-0002,3.378125,3.578125,part,I,qw,u-2-3
sw3517B-ms98-a-0002,3.578125,3.678125,of,I,qw,u-2-3
sw3517B-ms98-a-0002,3.678125,3.938125,[vocalized-noise],I,qw,u-2-3
sw3517B-ms98-a-0002,3.938125,4.208125,what,I,qw,u-2-3
sw3517B-ms98-a-0002,4.208125,4.408125,part,I,qw,u-2-3
sw3517B-ms98-a-0002,4.408125,4.468125,of,I,qw,u-2-3
sw3517B-ms98-a-0002,4.468125,4.528125,the,I,qw,u-2-3
sw3517B-ms98-a-0002,4.528125,4.908125,country,I,qw,u-2-3
sw3517B-ms98-a-0002,4.908125,5.008125,do,I,qw,u-2-3
sw3517B-ms98-a-0002,5.008125,5.128125,you,I,qw,u-2-3
sw3517B-ms98-a-0002,5.128125,5.341875,live,I,qw,u-2-3
sw3517B-ms98-a-0002,5.341875,5.677875,in,I,qw,u-2-3
sw3517B-ms98-a-0002,6.111000,6.759000,oh,B,bk,u-4-1
sw3517B-ms98-a-0002,6.759000,7.312750,okay,I,bk,u-4-1
sw3517B-ms98-a-0002,8.291375,8.689000,well,B,sd,u-6-1
sw3517B-ms98-a-0002,8.689000,9.048125,i'm,I,sd,u-6-1
sw3517B-ms98-a-0002,9.048125,9.458125,also,I,sd,u-6-1
sw3517B-ms98-a-0002,9.458125,9.618125,in,I,sd,u-6-1
sw3517B-ms98-a-0002,9.618125,10.168125,Dallas,I,sd,u-6-1
sw3517B-ms98-a-0003,10.705000,10.841875,the,B,sd,u-8-1
sw3517B-ms98-a-0003,10.841875,11.191875,reason,I,sd,u-8-1
sw3517B-ms98-a-0003,11.191875,11.371875,i,I,sd,u-8-1
sw3517B-ms98-a-0003,11.371875,11.771875,ask,I,sd,u-8-1
sw3517B-ms98-a-0003,11.771875,11.941875,is,I,sd,u-8-1
sw3517B-ms98-a-0003,11.941875,12.021875,the,I,sd,u-8-1
sw3517B-ms98-a-0003,12.021875,12.561875,last,I,sd,u-8-1
sw3517B-ms98-a-0003,12.561875,12.981875,two,I,sd,u-8-1
sw3517B-ms98-a-0003,12.981875,13.781875,conversations,I,sd,u-8-1
sw3517B-ms98-a-0003,13.781875,13.951875,i've,I,sd,u-8-1
sw3517B-ms98-a-0003,13.951875,14.151875,had,I,sd,u-8-1
sw3517B-ms98-a-0003,14.151875,14.341875,or,I,sd,u-8-1
sw3517B-ms98-a-0003,14.341875,14.571875,have,I,sd,u-8-1
sw3517B-ms98-a-0003,14.571875,14.741875,been,I,sd,u-8-1
sw3517B-ms98-a-0003,14.741875,14.931875,out,I,sd,u-8-1
sw3517B-ms98-a-0003,14.931875,15.011875,of,I,sd,u-8-1
sw3517B-ms98-a-0003,15.011875,15.632750,state,I,sd,u-8-1
sw3517B-ms98-a-0004,16.726375,16.923500,but,B,qy,u-10-1
sw3517B-ms98-a-0004,16.923500,17.229875,um,I,qy,u-10-1
sw3517B-ms98-a-0004,17.998250,18.183500,have,I,qy,u-10-1
sw3517B-ms98-a-0004,18.183500,18.313500,you,I,qy,u-10-1
sw3517B-ms98-a-0004,18.313500,18.613500,always,I,qy,u-10-1
sw3517B-ms98-a-0004,18.613500,18.873500,lived,I,qy,u-10-1
sw3517B-ms98-a-0004,18.873500,19.043500,here,I,qy,u-10-1
sw3517B-ms98-a-0004,19.043500,19.123500,in,I,qy,u-10-1
sw3517B-ms98-a-0004,19.123500,19.603500,Dallas,I,qy,u-10-1
sw3517B-ms98-a-0004,19.603500,19.842375,and,B,%,u-10-2
sw3517B-ms98-a-0006,22.858625,23.136500,i,B,bk,u-12-1
sw3517B-ms98-a-0006,23.136500,23.533375,see,I,bk,u-12-1
sw3517B-ms98-a-0008,30.026875,30.276875,oh,B,qy^d,u-14-1
sw3517B-ms98-a-0008,30.276875,30.396875,well,I,qy^d,u-14-1
sw3517B-ms98-a-0008,30.396875,30.926875,you,I,qy^d,u-14-1
sw3517B-ms98-a-0008,30.926875,31.106875,are,I,qy^d,u-14-1
sw3517B-ms98-a-0008,31.106875,31.586875,seeing,I,qy^d,u-14-1
sw3517B-ms98-a-0008,31.586875,31.926875,quite,I,qy^d,u-14-1
sw3517B-ms98-a-0008,31.926875,32.031000,a,I,qy^d,u-14-1
sw3517B-ms98-a-0008,32.189250,32.656875,different,I,qy^d,u-14-1
sw3517B-ms98-a-0008,32.656875,33.136875,climate,I,qy^d,u-14-1
sw3517B-ms98-a-0008,33.136875,33.326875,and,I,qy^d,u-14-1
sw3517B-ms98-a-0008,33.326875,33.576875,quite,I,qy^d,u-14-1
sw3517B-ms98-a-0008,33.576875,33.636875,a,I,qy^d,u-14-1
sw3517B-ms98-a-0008,33.636875,34.076875,different,I,qy^d,u-14-1
sw3517B-ms98-a-0008,34.076875,34.726875,neighborhood,I,qy^d,u-14-1
sw3517B-ms98-a-0010,38.060250,38.185375,you,B,qy^d,u-16-1
sw3517B-ms98-a-0010,38.185375,38.691125,probably,I,qy^d,u-16-1
sw3517B-ms98-a-0010,38.691125,38.821125,have,I,qy^d,u-16-1
sw3517B-ms98-a-0010,38.821125,39.281125,enjoyed,I,qy^d,u-16-1
sw3517B-ms98-a-0010,39.281125,39.501125,getting,I,qy^d,u-16-1
sw3517B-ms98-a-0010,39.501125,39.721125,away,I,qy^d,u-16-1
sw3517B-ms98-a-0010,39.721125,39.901125,from,I,qy^d,u-16-1
sw3517B-ms98-a-0010,39.901125,39.991125,the,I,qy^d,u-16-1
sw3517B-ms98-a-0010,39.991125,40.601125,snow,I,qy^d,u-16-1
sw3517B-ms98-a-0012,47.509375,47.908500,yeah,B,bk,u-18-1
sw3517B-ms98-a-0013,50.135750,50.330125,well,B,ba,u-20-1
sw3517B-ms98-a-0013,50.330125,50.570125,that's,I,ba,u-20-1
sw3517B-ms98-a-0013,50.570125,51.300125,good,I,ba,u-20-1
sw3517B-ms98-a-0013,51.300125,51.729625,i,B,sd,u-20-2
sw3517B-ms98-a-0014,52.703125,52.823375,i,I,sd,u-20-2
sw3517B-ms98-a-0014,52.823375,53.013375,have,I,sd,u-20-2
sw3517B-ms98-a-0014,53.013375,53.490250,lived,I,sd,u-20-2
sw3517B-ms98-a-0015,54.304000,54.560875,in,I,sd,u-20-2
sw3517B-ms98-a-0015,54.560875,55.392000,Texas,I,sd,u-20-2
sw3517B-ms98-a-0015,55.700875,56.250875,essentially,I,sd,u-20-2
sw3517B-ms98-a-0015,56.250875,56.440875,all,I,sd,u-20-2
sw3517B-ms98-a-0015,56.440875,56.630875,my,I,sd,u-20-2
sw3517B-ms98-a-0015,56.630875,57.140875,life,I,sd,u-20-2
sw3517B-ms98-a-0015,57.140875,57.520875,and,O,,
sw3517B-ms98-a-0015,57.520875,57.950875,around,B,sd,u-22-1
sw3517B-ms98-a-0015,57.950875,58.130875,in,I,sd,u-22-1
sw3517B-ms98-a-0015,58.130875,58.803625,Texas,I,sd,u-22-1
sw3517B-ms98-a-0015,58.803625,59.000875,a[nd]-,O,,
sw3517B-ms98-a-0015,59.000875,59.284750,and,B,sd,u-22-2
sw3517B-ms98-a-0016,60.131125,60.625500,uh,I,sd,u-22-2
sw3517B-ms98-a-0016,60.625500,60.725500,i,I,sd,u-22-2
sw3517B-ms98-a-0016,60.725500,60.905500,have,I,sd,u-22-2
sw3517B-ms98-a-0016,60.905500,61.649750,traveled,I,sd,u-22-2
sw3517B-ms98-a-0016,61.792875,61.985500,up,I,sd,u-22-2
sw3517B-ms98-a-0016,61.985500,62.075500,in,I,sd,u-22-2
sw3517B-ms98-a-0016,62.075500,62.135500,the,I,sd,u-22-2
sw3517B-ms98-a-0016,62.135500,62.875500,northeast,I,sd,u-22-2
sw3517B-ms98-a-0016,62.875500,62.965500,and,I,sd,u-22-2
sw3517B-ms98-a-0016,62.965500,63.375500,around,I,sd,u-22-2
sw3517B-ms98-a-0016,63.375500,63.495500,and,I,sd,u-22-2
sw3517B-ms98-a-0016,63.495500,63.705500,have,I,sd,u-22-2
sw3517B-ms98-a-0016,63.705500,64.255500,enjoyed,I,sd,u-22-2
sw3517B-ms98-a-0016,64.255500,64.380375,it,I,sd,u-22-2
sw3517B-ms98-a-0016,64.610125,64.945500,but,B,h,u-24-1
sw3517B-ms98-a-0016,64.945500,65.303875,uh,I,h,u-24-1
sw3517B-ms98-a-0017,66.436375,66.660500,i,I,h,u-24-1
sw3517B-ms98-a-0017,66.660500,67.094375,don't,I,h,u-24-1
sw3517B-ms98-a-0017,67.094375,67.444375,know,I,h,u-24-1
sw3517B-ms98-a-0017,67.444375,67.714375,i'm,B,sd,u-24-2
sw3517B-ms98-a-0017,67.714375,67.954375,not,I,sd,u-24-2
sw3517B-ms98-a-0017,67.954375,68.234375,sure,I,sd,u-24-2
sw3517B-ms98-a-0017,68.234375,68.284375,i,I,sd,u-24-2
sw3517B-ms98-a-0017,68.284375,68.444375,would,I,sd,u-24-2
sw3517B-ms98-a-0017,68.444375,68.744625,want,I,sd,u-24-2
sw3517B-ms98-a-0017,68.744625,69.004375,to,I,sd,u-24-2
sw3517B-ms98-a-0017,69.004375,69.314375,take,I,sd,u-24-2
sw3517B-ms98-a-0017,69.314375,69.564375,on,I,sd,u-24-2
sw3517B-ms98-a-0017,69.564375,69.774375,those,I,sd,u-24-2
sw3517B-ms98-a-0017,69.774375,70.334375,winters,I,sd,u-24-2
sw3517B-ms98-a-0017,70.334375,70.544375,i'm,B,sd,u-24-3
sw3517B-ms98-a-0017,70.544375,70.814375,getting,B,+,u-26-1
sw3517B-ms98-a-0017,70.814375,71.354375,older,I,+,u-26-1
sw3517B-ms98-a-0017,71.354375,71.576250,and,I,+,u-26-1
sw3517B-ms98-a-0018,72.250875,72.830250,uh,I,+,u-26-1
sw3517B-ms98-a-0018,72.830250,73.079250,not,I,+,u-26-1
sw3517B-ms98-a-0018,73.079250,73.349250,sure,I,+,u-26-1
sw3517B-ms98-a-0018,73.349250,73.596000,that's,I,+,u-26-1
sw3517B-ms98-a-0018,73.596000,73.789250,really,I,+,u-26-1
sw3517B-ms98-a-0018,73.789250,74.069250,something,I,+,u-26-1
sw3517B-ms98-a-0018,74.069250,74.169250,i,I,+,u-26-1
sw3517B-ms98-a-0018,74.169250,74.499250,wanna,I,+,u-26-1
sw3517B-ms98-a-0018,74.499250,74.929250,do,I,+,u-26-1
sw3517B-ms98-a-0019,76.598125,76.721375,i,B,sd,u-28-1
sw3517B-ms98-a-0019,76.721375,77.261375,live,I,sd,u-28-1
sw3517B-ms98-a-0019,77.261375,77.643750,uh,I,sd,u-28-1
sw3517B-ms98-a-0019,78.027875,78.401375,over,I,sd,u-28-1
sw3517B-ms98-a-0019,78.401375,78.501375,in,I,sd,u-28-1
sw3517B-ms98-a-0019,78.501375,78.581375,the,I,sd,u-28-1
sw3517B-ms98-a-0019,78.581375,78.871375,Lake,I,sd,u-28-1
sw3517B-ms98-a-0019,78.871375,79.391375,Highlands,I,sd,u-28-1
sw3517B-ms98-a-0019,79.391375,79.941375,area,I,sd,u-28-1
sw3517B-ms98-a-0019,79.941375,80.051375,if,I,sd,u-28-1
sw3517B-ms98-a-0019,80.051375,80.171375,you're,I,sd,u-28-1
sw3517B-ms98-a-0019,80.171375,80.581375,familiar,I,sd,u-28-1
sw3517B-ms98-a-0019,80.581375,80.731375,with,I,sd,u-28-1
