sw3253B-ms98-a-0001,0.755125,1.224625,hi,B,fp^m,u-2-1
sw3253B-ms98-a-0003,4.722250,5.002250,when,B,sd,u-4-1
sw3253B-ms98-a-0003,5.002250,5.092250,i,I,sd,u-4-1
sw3253B-ms98-a-0003,5.092250,5.322250,think,I,sd,u-4-1
sw3253B-ms98-a-0003,5.322250,5.452250,of,I,sd,u-4-1
sw3253B-ms98-a-0003,5.452250,5.992250,camping,I,sd,u-4-1
sw3253B-ms98-a-0003,5.992250,6.088500,i,I,sd,u-4-1
sw3253B-ms98-a-0003,6.088500,6.333375,think,I,sd,u-4-1
sw3253B-ms98-a-0003,6.333375,6.632250,of,I,sd,u-4-1
sw3253B-ms98-a-0003,7.202250,7.442250,of,I,sd,u-4-1
sw3253B-ms98-a-0003,7.752250,8.192250,bugs,I,sd,u-4-1
sw3253B-ms98-a-0003,8.192250,9.012250,[laughter],I,sd,u-4-1
sw3253B-ms98-a-0003,9.012250,9.342250,and,I,sd,u-4-1
sw3253B-ms98-a-0003,9.342250,9.752250,sleeping,I,sd,u-4-1
sw3253B-ms98-a-0003,9.752250,10.162250,bags,I,sd,u-4-1
sw3253B-ms98-a-0003,10.162250,10.412250,and,I,sd,u-4-1
sw3253B-ms98-a-0003,10.412250,10.652250,and,I,sd,u-4-1
sw3253B-ms98-a-0003,10.652250,11.082250,tents,I,sd,u-4-1
sw3253B-ms98-a-0003,11.082250,11.263250,uh,I,sd,u-4-1
sw3253B-ms98-a-0003,11.681375,11.852250,like,I,sd,u-4-1
sw3253B-ms98-a-0003,11.852250,12.082250,along,I,sd,u-4-1
sw3253B-ms98-a-0003,12.082250,12.142250,the,I,sd,u-4-1
sw3253B-ms98-a-0003,12.142250,12.632250,Appalachian,I,sd,u-4-1
sw3253B-ms98-a-0003,12.632250,13.002250,Trail,I,sd,u-4-1
sw3253B-ms98-a-0005,21.432750,21.882750,no,B,aa,u-6-1
sw3253B-ms98-a-0007,23.836250,24.276250,i,B,ng,u-8-1
sw3253B-ms98-a-0007,24.276250,24.446250,have,I,ng,u-8-1
sw3253B-ms98-a-0007,24.446250,24.876250,never,I,ng,u-8-1
sw3253B-ms98-a-0007,24.876250,25.126250,been,I,ng,u-8-1
sw3253B-ms98-a-0007,25.126250,25.917125,camping,I,ng,u-8-1
sw3253B-ms98-a-0007,25.917125,26.257750,[laughter],O,,
sw3253B-ms98-a-0008,26.921125,27.486875,no,B,nn,u-10-1
sw3253B-ms98-a-0008,28.040500,28.190375,do,B,qy,u-10-2
sw3253B-ms98-a-0008,28.190375,28.567000,you,I,qy,u-10-2
sw3253B-ms98-a-0008,28.567000,28.751125,do,I,qy,u-10-2
sw3253B-ms98-a-0008,28.751125,29.098625,much,I,qy,u-10-2
sw3253B-ms98-a-0010,40.872375,41.251625,really,B,b,u-12-1
sw3253B-ms98-a-0010,42.001250,42.208375,uh,O,,
sw3253B-ms98-a-0011,43.068875,43.327375,where,B,qy^d,u-14-1
sw3253B-ms98-a-0011,43.327375,43.472875,you,I,qy^d,u-14-1
sw3253B-ms98-a-0011,43.472875,43.712875,live,I,qy^d,u-14-1
sw3253B-ms98-a-0011,43.712875,44.152875,now,I,qy^d,u-14-1
sw3253B-ms98-a-0011,44.152875,44.504125,or,B,%@,u-14-2
sw3253B-ms98-a-0011,45.249875,45.444625,uh,O,,
sw3253B-ms98-a-0011,45.444625,45.602875,did,B,+@,u-16-1
sw3253B-ms98-a-0011,45.602875,45.672875,you,I,+@,u-16-1
sw3253B-ms98-a-0011,45.672875,45.962875,camp,I,+@,u-16-1
sw3253B-ms98-a-0011,45.962875,46.182875,up,I,+@,u-16-1
sw3253B-ms98-a-0011,46.182875,46.302875,in,I,+@,u-16-1
sw3253B-ms98-a-0011,46.302875,46.902875,Maryland,I,+@,u-16-1
sw3253B-ms98-a-0011,46.902875,47.188500,or,B,%,u-16-2
sw3253B-ms98-a-0013,54.649000,54.969000,oh,B,bk,u-18-1
sw3253B-ms98-a-0013,54.969000,55.385625,okay,I,bk,u-18-1
sw3253B-ms98-a-0015,58.655500,58.845500,oh,B,ba,u-20-1
sw3253B-ms98-a-0015,58.845500,59.055500,i,I,ba,u-20-1
sw3253B-ms98-a-0015,59.055500,59.564875,bet,I,ba,u-20-1
sw3253B-ms98-a-0017,61.946625,63.088000,[laughter],O,,
sw3253B-ms98-a-0019,67.119000,67.568500,[laughter],O,,
sw3253B-ms98-a-0021,75.112500,75.427625,uh-huh,B,b,u-26-1
sw3253B-ms98-a-0023,78.133125,78.324500,oh,B,b,u-28-1
sw3253B-ms98-a-0023,78.324500,78.912750,okay,I,b,u-28-1
sw3253B-ms98-a-0023,79.733125,79.873125,well,B,sd,u-28-2
sw3253B-ms98-a-0023,79.873125,80.094000,my,I,sd,u-28-2
sw3253B-ms98-a-0023,80.094000,80.297375,cou[sin]-,I,sd,u-28-2
sw3253B-ms98-a-0023,80.297375,80.583125,uh,I,sd,u-28-2
sw3253B-ms98-a-0023,80.583125,81.123125,husband,I,sd,u-28-2
sw3253B-ms98-a-0023,81.123125,81.380875,and,I,sd,u-28-2
sw3253B-ms98-a-0023,81.512625,81.883125,and,I,sd,u-28-2
sw3253B-ms98-a-0023,81.883125,82.253125,his,I,sd,u-28-2
sw3253B-ms98-a-0023,82.253125,82.643125,uncle,I,sd,u-28-2
