sw3821B-ms98-a-0002,2.610250,3.076875,yeah,B,b,u-2-1
sw3821B-ms98-a-0004,11.478750,11.615625,is,B,bh,u-4-1
sw3821B-ms98-a-0004,11.615625,11.735625,that,I,bh,u-4-1
sw3821B-ms98-a-0004,11.735625,12.065625,right,I,bh,u-4-1
sw3821B-ms98-a-0004,12.065625,12.253500,i,B,sd,u-4-2
sw3821B-ms98-a-0004,12.355125,12.485625,i,I,sd,u-4-2
sw3821B-ms98-a-0004,12.485625,12.665625,know,I,sd,u-4-2
sw3821B-ms98-a-0004,12.665625,12.865625,pe[ople]-,I,sd,u-4-2
sw3821B-ms98-a-0004,12.865625,12.955625,i,I,sd,u-4-2
sw3821B-ms98-a-0004,12.955625,13.285625,know,I,sd,u-4-2
sw3821B-ms98-a-0004,13.285625,13.385625,some,I,sd,u-4-2
sw3821B-ms98-a-0004,13.385625,13.505625,other,I,sd,u-4-2
sw3821B-ms98-a-0004,13.505625,13.725625,people,I,sd,u-4-2
sw3821B-ms98-a-0004,13.725625,13.815625,that,I,sd,u-4-2
sw3821B-ms98-a-0004,13.815625,13.905625,have,I,sd,u-4-2
sw3821B-ms98-a-0004,13.905625,14.075625,done,I,sd,u-4-2
sw3821B-ms98-a-0004,14.075625,14.250000,that,I,sd,u-4-2
sw3821B-ms98-a-0006,26.583375,26.759000,um,B,%,u-6-1
sw3821B-ms98-a-0008,39.424875,39.771375,uh-huh,B,b,u-8-1
sw3821B-ms98-a-0009,40.565125,40.747625,yeah,B,b,u-10-2
sw3821B-ms98-a-0009,40.747625,40.857625,i,B,sd,u-10-3
sw3821B-ms98-a-0009,40.857625,41.083125,h[ave]-,I,sd,u-10-3
sw3821B-ms98-a-0009,41.083125,41.299500,i,I,sd,u-10-3
sw3821B-ms98-a-0009,41.299500,41.467625,have,I,sd,u-10-3
sw3821B-ms98-a-0009,41.467625,41.617625,we,I,sd,u-10-3
sw3821B-ms98-a-0009,41.617625,41.767625,have,I,sd,u-10-3
sw3821B-ms98-a-0009,41.767625,42.015000,some,I,sd,u-10-3
sw3821B-ms98-a-0009,42.338875,42.517625,some,I,sd,u-10-3
sw3821B-ms98-a-0009,42.517625,42.837625,friends,I,sd,u-10-3
sw3821B-ms98-a-0009,42.837625,43.107625,that,I,sd,u-10-3
sw3821B-ms98-a-0009,43.107625,43.257625,did,I,sd,u-10-3
sw3821B-ms98-a-0009,43.257625,43.347625,the,I,sd,u-10-3
sw3821B-ms98-a-0009,43.347625,43.797625,exactly,I,sd,u-10-3
sw3821B-ms98-a-0009,43.797625,43.887625,the,I,sd,u-10-3
sw3821B-ms98-a-0009,43.887625,44.037625,same,I,sd,u-10-3
sw3821B-ms98-a-0009,44.037625,44.267625,thing,I,sd,u-10-3
sw3821B-ms98-a-0009,44.267625,44.490375,they,B,sd,u-10-4
sw3821B-ms98-a-0009,44.490375,44.733875,uh,I,sd,u-10-4
sw3821B-ms98-a-0009,44.963625,45.127625,you,I,sd,u-10-4
sw3821B-ms98-a-0009,45.127625,45.217625,know,I,sd,u-10-4
sw3821B-ms98-a-0009,45.217625,45.507000,they,I,sd,u-10-4
sw3821B-ms98-a-0009,45.668875,45.817625,kind,I,sd,u-10-4
sw3821B-ms98-a-0009,45.817625,45.907625,of,I,sd,u-10-4
sw3821B-ms98-a-0009,45.907625,46.597625,overextended,I,sd,u-10-4
sw3821B-ms98-a-0009,46.597625,46.697625,and,I,sd,u-10-4
sw3821B-ms98-a-0009,46.697625,46.977625,borrowed,I,sd,u-10-4
sw3821B-ms98-a-0009,46.977625,47.087625,and,I,sd,u-10-4
sw3821B-ms98-a-0009,47.087625,47.397625,borrowed,I,sd,u-10-4
sw3821B-ms98-a-0009,47.397625,47.517625,and,B,sd,u-10-5
sw3821B-ms98-a-0009,47.517625,47.857625,finally,I,sd,u-10-5
sw3821B-ms98-a-0009,47.857625,47.967625,they,I,sd,u-10-5
sw3821B-ms98-a-0009,47.967625,48.367625,realized,I,sd,u-10-5
sw3821B-ms98-a-0009,48.367625,48.477625,that,I,sd,u-10-5
sw3821B-ms98-a-0009,48.477625,48.617625,they,I,sd,u-10-5
sw3821B-ms98-a-0009,48.617625,48.827750,were,I,sd,u-10-5
sw3821B-ms98-a-0010,49.573000,49.698375,they,I,sd,u-10-5
sw3821B-ms98-a-0010,49.698375,49.878375,were,I,sd,u-10-5
sw3821B-ms98-a-0010,49.878375,50.208375,abusing,I,sd,u-10-5
sw3821B-ms98-a-0010,50.208375,50.338375,them,I,sd,u-10-5
sw3821B-ms98-a-0010,50.338375,50.448375,and,I,sd,u-10-5
sw3821B-ms98-a-0010,50.448375,50.578375,weren't,I,sd,u-10-5
sw3821B-ms98-a-0010,50.578375,50.698375,going,I,sd,u-10-5
sw3821B-ms98-a-0010,50.698375,50.758375,to,I,sd,u-10-5
sw3821B-ms98-a-0010,50.758375,50.868375,get,I,sd,u-10-5
sw3821B-ms98-a-0010,50.868375,50.958375,out,I,sd,u-10-5
sw3821B-ms98-a-0010,50.958375,51.018375,of,I,sd,u-10-5
sw3821B-ms98-a-0010,51.018375,51.098375,the,I,sd,u-10-5
sw3821B-ms98-a-0010,51.098375,51.278375,hole,I,sd,u-10-5
sw3821B-ms98-a-0010,51.278375,51.368375,and,B,sd,u-10-6
sw3821B-ms98-a-0010,51.368375,51.438375,they,I,sd,u-10-6
sw3821B-ms98-a-0010,51.438375,51.628375,just,I,sd,u-10-6
sw3821B-ms98-a-0010,51.628375,51.778375,cut,I,sd,u-10-6
sw3821B-ms98-a-0010,51.778375,51.888375,them,I,sd,u-10-6
sw3821B-ms98-a-0010,51.888375,52.048375,all,I,sd,u-10-6
sw3821B-ms98-a-0010,52.048375,52.218375,up,I,sd,u-10-6
sw3821B-ms98-a-0010,52.218375,52.508375,except,I,sd,u-10-6
sw3821B-ms98-a-0010,52.508375,52.710250,for,I,sd,u-10-6
sw3821B-ms98-a-0010,52.823125,53.068375,for,I,sd,u-10-6
sw3821B-ms98-a-0010,53.068375,53.318375,one,I,sd,u-10-6
sw3821B-ms98-a-0010,53.318375,53.428375,they,I,sd,u-10-6
sw3821B-ms98-a-0010,53.428375,53.658375,kept,I,sd,u-10-6
sw3821B-ms98-a-0010,53.658375,53.748375,for,I,sd,u-10-6
sw3821B-ms98-a-0010,53.748375,54.338375,emergencies,I,sd,u-10-6
sw3821B-ms98-a-0010,54.338375,54.451125,and,B,sd,u-10-7
sw3821B-ms98-a-0011,55.094250,55.244250,they're,B,+,u-12-1
sw3821B-ms98-a-0011,55.244250,55.474250,still,I,+,u-12-1
sw3821B-ms98-a-0011,55.474250,55.754250,paying,I,+,u-12-1
sw3821B-ms98-a-0011,55.754250,55.934250,away,I,+,u-12-1
sw3821B-ms98-a-0011,55.934250,56.004250,to,I,+,u-12-1
sw3821B-ms98-a-0011,56.004250,56.174250,get,I,+,u-12-1
sw3821B-ms98-a-0011,56.174250,56.304250,out,I,+,u-12-1
sw3821B-ms98-a-0011,56.304250,56.374250,of,I,+,u-12-1
sw3821B-ms98-a-0011,56.374250,56.651250,debt,I,+,u-12-1
sw3821B-ms98-a-0012,57.803250,58.125500,but,B,o,u-14-1
sw3821B-ms98-a-0013,58.677750,58.801375,no,I,o,u-14-1
sw3821B-ms98-a-0013,58.801375,58.887500,i,B,sd,u-14-2
sw3821B-ms98-a-0013,58.887500,59.087000,did,I,sd,u-14-2
sw3821B-ms98-a-0013,59.087000,59.331000,[vocalized-noise],I,sd,u-14-2
sw3821B-ms98-a-0013,59.331000,59.507750,just,I,sd,u-14-2
sw3821B-ms98-a-0013,59.507750,59.657750,the,I,sd,u-14-2
sw3821B-ms98-a-0013,59.657750,59.987750,opposite,I,sd,u-14-2
sw3821B-ms98-a-0013,59.987750,60.137750,i,B,sd,u-14-3
sw3821B-ms98-a-0013,60.137750,60.297750,i,I,sd,u-14-3
sw3821B-ms98-a-0013,60.297750,60.547750,guess,I,sd,u-14-3
sw3821B-ms98-a-0013,60.547750,60.667750,i,I,sd,u-14-3
sw3821B-ms98-a-0013,60.667750,60.807750,i,I,sd,u-14-3
sw3821B-ms98-a-0013,60.807750,61.017750,sort,I,sd,u-14-3
sw3821B-ms98-a-0013,61.017750,61.087750,of,I,sd,u-14-3
sw3821B-ms98-a-0013,61.087750,61.347750,followed,I,sd,u-14-3
sw3821B-ms98-a-0013,61.347750,61.417750,in,I,sd,u-14-3
sw3821B-ms98-a-0013,61.417750,61.716250,my,I,sd,u-14-3
sw3821B-ms98-a-0013,61.716250,61.988250,uh,I,sd,u-14-3
sw3821B-ms98-a-0014,62.259000,62.470250,parents',I,sd,u-14-3
sw3821B-ms98-a-0014,62.470250,62.860250,footsteps,I,sd,u-14-3
sw3821B-ms98-a-0014,62.860250,62.960250,i,B,sd,u-14-4
sw3821B-ms98-a-0014,62.960250,63.191500,have,I,sd,u-14-4
sw3821B-ms98-a-0014,63.507875,63.700250,quite,I,sd,u-14-4
sw3821B-ms98-a-0014,63.700250,63.740250,a,I,sd,u-14-4
sw3821B-ms98-a-0014,63.740250,63.970250,few,I,sd,u-14-4
sw3821B-ms98-a-0014,63.970250,64.080250,of,I,sd,u-14-4
sw3821B-ms98-a-0014,64.080250,64.270250,them,I,sd,u-14-4
sw3821B-ms98-a-0014,64.270250,64.330250,i,B,sd,u-14-5
sw3821B-ms98-a-0014,64.330250,64.525250,use,B,+,u-16-1
sw3821B-ms98-a-0014,64.525250,64.709875,them,I,+,u-16-1
sw3821B-ms98-a-0014,64.709875,65.422625,continually,I,+,u-16-1
sw3821B-ms98-a-0015,66.187625,66.355625,but,B,sd,u-18-1
sw3821B-ms98-a-0015,66.355625,66.695625,i,I,sd,u-18-1
sw3821B-ms98-a-0015,66.695625,67.115625,uh,I,sd,u-18-1
sw3821B-ms98-a-0015,67.115625,67.205625,i,I,sd,u-18-1
sw3821B-ms98-a-0015,67.205625,67.655625,basically,I,sd,u-18-1
sw3821B-ms98-a-0015,67.655625,67.845625,never,I,sd,u-18-1
sw3821B-ms98-a-0015,67.845625,68.145625,charge,I,sd,u-18-1
sw3821B-ms98-a-0015,68.145625,68.425625,anything,I,sd,u-18-1
sw3821B-ms98-a-0015,68.425625,68.465625,i,I,sd,u-18-1
sw3821B-ms98-a-0015,68.465625,68.635625,don't,I,sd,u-18-1
sw3821B-ms98-a-0015,68.635625,68.745625,have,I,sd,u-18-1
sw3821B-ms98-a-0015,68.745625,68.805625,the,I,sd,u-18-1
sw3821B-ms98-a-0015,68.805625,68.975625,money,I,sd,u-18-1
sw3821B-ms98-a-0015,68.975625,69.035625,in,I,sd,u-18-1
sw3821B-ms98-a-0015,69.035625,69.095625,the,I,sd,u-18-1
sw3821B-ms98-a-0015,69.095625,69.285625,bank,I,sd,u-18-1
sw3821B-ms98-a-0015,69.285625,69.355625,to,I,sd,u-18-1
sw3821B-ms98-a-0015,69.355625,69.545625,pay,I,sd,u-18-1
sw3821B-ms98-a-0015,69.545625,69.785625,for,I,sd,u-18-1
sw3821B-ms98-a-0016,70.508375,71.068375,and,B,sd,u-18-2
sw3821B-ms98-a-0016,71.068375,71.312500,uh,I,sd,u-18-2
sw3821B-ms98-a-0016,71.466875,71.628375,and,I,sd,u-18-2
sw3821B-ms98-a-0016,71.628375,71.678375,i,I,sd,u-18-2
sw3821B-ms98-a-0016,71.678375,71.888375,always,I,sd,u-18-2
sw3821B-ms98-a-0016,71.888375,72.008375,pay,I,sd,u-18-2
sw3821B-ms98-a-0016,72.008375,72.128375,them,I,sd,u-18-2
sw3821B-ms98-a-0016,72.128375,72.288375,off,I,sd,u-18-2
sw3821B-ms98-a-0016,72.288375,72.672250,totally,I,sd,u-18-2
sw3821B-ms98-a-0016,72.917000,73.238000,every,I,sd,u-18-2
sw3821B-ms98-a-0016,73.238000,73.457875,month,I,sd,u-18-2
