sw4321B-ms98-a-0003,2.550375,2.760375,no,B,nn,u-2-1
sw4321B-ms98-a-0003,2.760375,2.960375,i've,B,sd^e,u-2-2
sw4321B-ms98-a-0003,2.960375,3.310375,not,I,sd^e,u-2-2
sw4321B-ms98-a-0003,3.310375,3.430375,i've,B,sd,u-2-3
sw4321B-ms98-a-0003,3.430375,3.610375,been,I,sd,u-2-3
sw4321B-ms98-a-0003,3.610375,4.080375,called,I,sd,u-2-3
sw4321B-ms98-a-0003,4.080375,4.230375,but,B,sd,u-2-4
sw4321B-ms98-a-0003,4.230375,4.330375,i,I,sd,u-2-4
sw4321B-ms98-a-0003,4.330375,4.580375,had,I,sd,u-2-4
sw4321B-ms98-a-0003,4.580375,4.900375,to,I,sd,u-2-4
sw4321B-ms98-a-0003,4.900375,5.220375,beg,I,sd,u-2-4
sw4321B-ms98-a-0003,5.220375,5.490375,off,I,sd,u-2-4
sw4321B-ms98-a-0003,5.490375,5.710375,from,I,sd,u-2-4
sw4321B-ms98-a-0003,5.710375,5.813000,the,I,sd,u-2-4
sw4321B-ms98-a-0003,5.813000,6.199000,duty,I,sd,u-2-4
sw4321B-ms98-a-0004,6.886375,7.016375,and,B,qy,u-2-5
sw4321B-ms98-a-0004,7.016375,7.236625,you,I,qy,u-2-5
sw4321B-ms98-a-0006,11.720000,12.180000,um,B,%,u-4-1
sw4321B-ms98-a-0007,13.339625,13.523500,well,B,sv,u-4-2
sw4321B-ms98-a-0007,13.523500,13.613625,i,I,sv,u-4-2
sw4321B-ms98-a-0007,13.613625,13.909625,was,I,sv,u-4-2
sw4321B-ms98-a-0007,13.909625,14.039625,i,I,sv,u-4-2
sw4321B-ms98-a-0007,14.039625,14.419625,was,I,sv,u-4-2
sw4321B-ms98-a-0007,14.419625,14.846250,uh,I,sv,u-4-2
sw4321B-ms98-a-0007,15.019500,15.489625,originally,I,sv,u-4-2
sw4321B-ms98-a-0007,15.489625,16.119625,chosen,I,sv,u-4-2
sw4321B-ms98-a-0008,17.039625,17.542250,primarily,I,sv,u-4-2
sw4321B-ms98-a-0008,17.542250,17.659000,i,I,sv,u-4-2
sw4321B-ms98-a-0008,17.659000,17.835000,think,I,sv,u-4-2
sw4321B-ms98-a-0008,17.835000,18.145000,because,I,sv,u-4-2
sw4321B-ms98-a-0008,18.145000,18.185000,i,I,sv,u-4-2
sw4321B-ms98-a-0008,18.185000,18.325000,was,I,sv,u-4-2
sw4321B-ms98-a-0008,18.325000,18.355000,a,I,sv,u-4-2
sw4321B-ms98-a-0008,18.355000,18.665000,young,I,sv,u-4-2
sw4321B-ms98-a-0008,18.665000,19.065000,fellow,I,sv,u-4-2
sw4321B-ms98-a-0008,19.065000,19.195000,and,B,sv,u-4-3
sw4321B-ms98-a-0008,19.195000,19.295000,they,I,sv,u-4-3
sw4321B-ms98-a-0008,19.295000,19.525000,tend,I,sv,u-4-3
sw4321B-ms98-a-0008,19.525000,19.585000,to,I,sv,u-4-3
sw4321B-ms98-a-0008,19.585000,20.005000,view,I,sv,u-4-3
sw4321B-ms98-a-0009,20.649750,21.009750,younger,I,sv,u-4-3
sw4321B-ms98-a-0009,21.009750,21.469750,fellows,I,sv,u-4-3
sw4321B-ms98-a-0009,21.469750,21.889750,as,I,sv,u-4-3
sw4321B-ms98-a-0009,21.889750,22.109750,more,I,sv,u-4-3
sw4321B-ms98-a-0009,22.109750,22.429750,likely,I,sv,u-4-3
sw4321B-ms98-a-0009,22.429750,22.549750,to,I,sv,u-4-3
sw4321B-ms98-a-0009,22.549750,22.819750,hand,I,sv,u-4-3
sw4321B-ms98-a-0009,22.819750,23.019750,down,I,sv,u-4-3
sw4321B-ms98-a-0009,23.019750,23.089750,a,I,sv,u-4-3
sw4321B-ms98-a-0009,23.089750,23.469750,guilty,I,sv,u-4-3
sw4321B-ms98-a-0009,23.469750,23.909750,verdict,I,sv,u-4-3
sw4321B-ms98-a-0009,23.909750,23.979750,i,B,sd,u-4-4
sw4321B-ms98-a-0009,23.979750,24.169750,don't,I,sd,u-4-4
sw4321B-ms98-a-0009,24.169750,24.259750,know,I,sd,u-4-4
sw4321B-ms98-a-0009,24.259750,24.682625,why,I,sd,u-4-4
sw4321B-ms98-a-0010,25.514000,25.814000,something,B,sd,u-4-5
sw4321B-ms98-a-0010,25.814000,26.024000,i,I,sd,u-4-5
sw4321B-ms98-a-0010,26.024000,26.264000,picked,I,sd,u-4-5
sw4321B-ms98-a-0010,26.264000,26.394000,up,I,sd,u-4-5
sw4321B-ms98-a-0010,26.394000,26.454000,in,I,sd,u-4-5
sw4321B-ms98-a-0010,26.454000,26.534000,a,I,sd,u-4-5
sw4321B-ms98-a-0010,26.534000,27.064000,psychology,I,sd,u-4-5
sw4321B-ms98-a-0010,27.064000,27.344000,class,I,sd,u-4-5
sw4321B-ms98-a-0010,27.344000,27.504000,some,I,sd,u-4-5
sw4321B-ms98-a-0010,27.504000,27.744000,time,I,sd,u-4-5
sw4321B-ms98-a-0010,27.744000,28.164000,ago,I,sd,u-4-5
sw4321B-ms98-a-0011,29.198000,29.650625,yeah,B,ny,u-6-1
sw4321B-ms98-a-0011,29.903000,30.118000,it's,B,sd^e,u-6-2
sw4321B-ms98-a-0011,30.118000,30.318000,that,I,sd^e,u-6-2
sw4321B-ms98-a-0011,30.318000,30.378000,the,I,sd^e,u-6-2
sw4321B-ms98-a-0011,30.378000,30.718000,younger,I,sd^e,u-6-2
sw4321B-ms98-a-0011,30.718000,30.868000,they,I,sd^e,u-6-2
sw4321B-ms98-a-0011,30.868000,31.278000,are,I,sd^e,u-6-2
sw4321B-ms98-a-0011,31.278000,31.510750,they,I,sd^e,u-6-2
sw4321B-ms98-a-0011,31.733000,31.898000,tend,I,sd^e,u-6-2
sw4321B-ms98-a-0011,31.898000,31.958000,to,I,sd^e,u-6-2
sw4321B-ms98-a-0011,31.958000,32.078000,be,I,sd^e,u-6-2
sw4321B-ms98-a-0011,32.078000,32.238000,more,I,sd^e,u-6-2
sw4321B-ms98-a-0011,32.238000,32.868000,conservative,I,sd^e,u-6-2
sw4321B-ms98-a-0011,32.868000,33.068000,for,I,sd^e,u-6-2
sw4321B-ms98-a-0011,33.068000,33.388000,some,I,sd^e,u-6-2
sw4321B-ms98-a-0011,33.388000,34.149500,statistical,I,sd^e,u-6-2
sw4321B-ms98-a-0011,34.319000,34.728000,oddball,I,sd^e,u-6-2
sw4321B-ms98-a-0011,34.728000,35.119750,reason,I,sd^e,u-6-2
sw4321B-ms98-a-0012,36.001000,36.630000,and,B,sd,u-6-3
sw4321B-ms98-a-0013,37.968500,38.138500,they,I,sd,u-6-3
sw4321B-ms98-a-0013,38.138500,38.348500,kind,I,sd,u-6-3
sw4321B-ms98-a-0013,38.348500,38.428500,of,I,sd,u-6-3
sw4321B-ms98-a-0013,38.428500,38.708500,liked,I,sd,u-6-3
sw4321B-ms98-a-0013,38.708500,38.858500,me,I,sd,u-6-3
sw4321B-ms98-a-0013,38.858500,39.008500,i,B,sd,u-6-4
sw4321B-ms98-a-0013,39.008500,39.248500,looked,I,sd,u-6-4
sw4321B-ms98-a-0013,39.248500,39.990375,[laughter-conser[vative]-],I,sd,u-6-4
sw4321B-ms98-a-0013,39.990375,40.050625,and,I,sd,u-6-4
sw4321B-ms98-a-0013,40.050625,40.198500,all,I,sd,u-6-4
sw4321B-ms98-a-0013,40.198500,40.408500,that,I,sd,u-6-4
sw4321B-ms98-a-0013,40.408500,40.768500,stuff,I,sd,u-6-4
sw4321B-ms98-a-0013,40.768500,40.858500,and,B,%,u-6-5
sw4321B-ms98-a-0013,40.858500,41.043750,they,I,%,u-6-5
sw4321B-ms98-a-0013,41.190625,41.338500,i,B,sd,u-6-6
sw4321B-ms98-a-0013,41.338500,41.498500,don't,I,sd,u-6-6
sw4321B-ms98-a-0013,41.498500,41.658500,know,I,sd,u-6-6
sw4321B-ms98-a-0013,41.658500,41.898500,what,I,sd,u-6-6
sw4321B-ms98-a-0013,41.898500,42.018500,they,I,sd,u-6-6
sw4321B-ms98-a-0013,42.018500,42.288500,saw,I,sd,u-6-6
sw4321B-ms98-a-0013,42.288500,42.408500,in,I,sd,u-6-6
sw4321B-ms98-a-0013,42.408500,42.598500,me,I,sd,u-6-6
sw4321B-ms98-a-0013,42.598500,42.878500,but,B,sd,u-6-7
sw4321B-ms98-a-0013,42.878500,43.048500,they,I,sd,u-6-7
sw4321B-ms98-a-0013,43.048500,43.288500,saw,I,sd,u-6-7
sw4321B-ms98-a-0013,43.288500,43.467500,it,I,sd,u-6-7
sw4321B-ms98-a-0014,44.426000,44.674625,but,B,sd,u-6-8
sw4321B-ms98-a-0014,44.674625,44.862250,uh,I,sd,u-6-8
sw4321B-ms98-a-0014,44.862250,45.102250,back,I,sd,u-6-8
sw4321B-ms98-a-0014,45.102250,45.272250,to,I,sd,u-6-8
sw4321B-ms98-a-0014,45.272250,45.332250,the,I,sd,u-6-8
sw4321B-ms98-a-0014,45.332250,45.768750,issue,I,sd,u-6-8
sw4321B-ms98-a-0014,45.953375,46.352250,is,I,sd,u-6-8
sw4321B-ms98-a-0014,46.352250,46.732250,uh,I,sd,u-6-8
sw4321B-ms98-a-0016,48.765125,48.915125,i,B,h,u-6-9
sw4321B-ms98-a-0016,48.915125,49.075125,don't,I,h,u-6-9
sw4321B-ms98-a-0016,49.075125,49.205125,know,I,h,u-6-9
sw4321B-ms98-a-0016,49.205125,49.345125,at,B,sv,u-6-10
sw4321B-ms98-a-0016,49.345125,49.802250,times,I,sv,u-6-10
sw4321B-ms98-a-0016,49.802250,50.126125,i,I,sv,u-6-10
sw4321B-ms98-a-0016,50.126125,50.744000,feel,I,sv,u-6-10
sw4321B-ms98-a-0016,51.139500,51.860500,that,I,sv,u-6-10
sw4321B-ms98-a-0016,52.386250,52.590000,a,I,sv,u-6-10
sw4321B-ms98-a-0016,52.590000,53.312500,unanimous,I,sv,u-6-10
sw4321B-ms98-a-0016,53.944750,54.595375,decision,I,sv,u-6-10
sw4321B-ms98-a-0017,55.456000,55.736000,is,I,sv,u-6-10
sw4321B-ms98-a-0017,55.736000,56.293875,warranted,I,sv,u-6-10
sw4321B-ms98-a-0018,56.793500,57.313500,especially,I,sv,u-6-10
sw4321B-ms98-a-0018,57.313500,57.383500,in,I,sv,u-6-10
sw4321B-ms98-a-0018,57.383500,57.813500,cases,I,sv,u-6-10
sw4321B-ms98-a-0018,57.813500,57.913500,in,I,sv,u-6-10
sw4321B-ms98-a-0018,57.913500,58.093500,which,I,sv,u-6-10
sw4321B-ms98-a-0018,58.093500,58.343500,there's,I,sv,u-6-10
sw4321B-ms98-a-0018,58.343500,58.503500,no,I,sv,u-6-10
sw4321B-ms98-a-0018,58.503500,58.973500,smoking,I,sv,u-6-10
sw4321B-ms98-a-0018,58.973500,59.323500,gun,I,sv,u-6-10
sw4321B-ms98-a-0019,60.691625,61.343000,but,B,sv,u-6-11
sw4321B-ms98-a-0019,61.343000,61.533000,there,I,sv,u-6-11
sw4321B-ms98-a-0019,61.533000,61.863000,too,I,sv,u-6-11
sw4321B-ms98-a-0019,61.863000,62.023000,there,I,sv,u-6-11
sw4321B-ms98-a-0019,62.023000,62.123000,are,I,sv,u-6-11
sw4321B-ms98-a-0019,62.123000,62.383000,also,I,sv,u-6-11
sw4321B-ms98-a-0019,62.383000,62.863000,cases,I,sv,u-6-11
sw4321B-ms98-a-0019,62.863000,62.973000,in,I,sv,u-6-11
sw4321B-ms98-a-0019,62.973000,63.143000,which,I,sv,u-6-11
sw4321B-ms98-a-0019,63.143000,63.213000,i,I,sv,u-6-11
sw4321B-ms98-a-0019,63.213000,63.492250,feel,I,sv,u-6-11
sw4321B-ms98-a-0019,63.492250,63.575125,a,I,sv,u-6-11
sw4321B-ms98-a-0019,63.575125,64.039250,majority,I,sv,u-6-11
sw4321B-ms98-a-0019,64.039250,64.469875,rule,I,sv,u-6-11
sw4321B-ms98-a-0020,64.919250,65.259250,might,I,sv,u-6-11
sw4321B-ms98-a-0020,65.259250,65.409250,be,I,sv,u-6-11
sw4321B-ms98-a-0020,65.409250,66.126375,acceptable,I,sv,u-6-11
sw4321B-ms98-a-0021,66.820250,67.350250,particularly,I,sv,u-6-11
sw4321B-ms98-a-0021,67.350250,67.430250,i,I,sv,u-6-11
sw4321B-ms98-a-0021,67.430250,67.690250,think,I,sv,u-6-11
sw4321B-ms98-a-0021,67.690250,67.840250,in,I,sv,u-6-11
sw4321B-ms98-a-0021,67.840250,68.220250,civil,I,sv,u-6-11
sw4321B-ms98-a-0021,68.220250,68.700250,cases,I,sv,u-6-11
sw4321B-ms98-a-0021,68.700250,68.790250,in,B,sv,u-6-12
sw4321B-ms98-a-0021,68.790250,69.120250,criminal,I,sv,u-6-12
sw4321B-ms98-a-0021,69.120250,69.630250,cases,I,sv,u-6-12
sw4321B-ms98-a-0022,70.340875,70.530875,i'd,I,sv,u-6-12
sw4321B-ms98-a-0022,70.530875,70.670875,like,I,sv,u-6-12
sw4321B-ms98-a-0022,70.670875,70.780875,to,I,sv,u-6-12
sw4321B-ms98-a-0022,70.780875,71.210875,see,I,sv,u-6-12
sw4321B-ms98-a-0022,71.210875,71.300875,the,I,sv,u-6-12
sw4321B-ms98-a-0022,71.300875,71.710875,unani[mity]-,I,sv,u-6-12
sw4321B-ms98-a-0022,72.030875,72.570875,unanimity,I,sv,u-6-12
sw4321B-ms98-a-0022,73.060875,73.627250,remain,I,sv,u-6-12
sw4321B-ms98-a-0023,74.329000,74.459000,but,B,sv,u-6-13
sw4321B-ms98-a-0023,74.459000,74.569000,in,I,sv,u-6-13
sw4321B-ms98-a-0023,74.569000,74.919000,civil,I,sv,u-6-13
sw4321B-ms98-a-0023,74.919000,75.429000,cases,I,sv,u-6-13
sw4321B-ms98-a-0023,75.429000,75.509000,i,I,sv,u-6-13
sw4321B-ms98-a-0023,75.509000,75.799000,think,I,sv,u-6-13
sw4321B-ms98-a-0023,75.799000,75.899000,a,I,sv,u-6-13
sw4321B-ms98-a-0023,75.899000,76.279000,majority,I,sv,u-6-13
sw4321B-ms98-a-0023,76.279000,76.549000,rule,I,sv,u-6-13
sw4321B-ms98-a-0023,76.549000,76.871875,by,I,sv,u-6-13
sw4321B-ms98-a-0023,77.049000,77.199000,by,I,sv,u-6-13
sw4321B-ms98-a-0023,77.199000,77.559000,jury,I,sv,u-6-13
sw4321B-ms98-a-0023,77.559000,77.739000,would,I,sv,u-6-13
sw4321B-ms98-a-0023,77.739000,77.906750,be,I,sv,u-6-13
sw4321B-ms98-a-0023,77.906750,78.106375,be,I,sv,u-6-13
sw4321B-ms98-a-0023,78.106375,78.635625,sufficient,I,sv,u-6-13
sw4321B-ms98-a-0025,84.609500,84.810250,well,B,sv,u-8-1
sw4321B-ms98-a-0025,84.810250,84.880500,in,I,sv,u-8-1
sw4321B-ms98-a-0025,84.880500,84.920500,a,I,sv,u-8-1
sw4321B-ms98-a-0025,84.920500,85.290500,criminal,I,sv,u-8-1
sw4321B-ms98-a-0025,85.290500,85.700500,case,I,sv,u-8-1
sw4321B-ms98-a-0025,85.700500,85.990500,say,I,sv,u-8-1
sw4321B-ms98-a-0025,85.990500,86.290500,one,I,sv,u-8-1
sw4321B-ms98-a-0025,86.290500,86.420500,in,I,sv,u-8-1
sw4321B-ms98-a-0025,86.420500,87.146625,which,I,sv,u-8-1
sw4321B-ms98-a-0026,87.588875,87.743125,you,I,sv,u-8-1
sw4321B-ms98-a-0026,87.743125,87.994250,know,I,sv,u-8-1
sw4321B-ms98-a-0026,87.994250,88.224250,there,I,sv,u-8-1
sw4321B-ms98-a-0026,88.224250,89.004250,is,I,sv,u-8-1
sw4321B-ms98-a-0026,89.004250,89.171375,like,I,sv,u-8-1
sw4321B-ms98-a-0026,89.171375,89.495250,say,I,sv,u-8-1
sw4321B-ms98-a-0026,89.495250,89.954250,assault,I,sv,u-8-1
sw4321B-ms98-a-0026,89.954250,90.034250,or,I,sv,u-8-1
sw4321B-ms98-a-0026,90.034250,90.284250,some,I,sv,u-8-1
sw4321B-ms98-a-0026,90.284250,90.704250,such,I,sv,u-8-1
sw4321B-ms98-a-0026,90.704250,90.794250,i,I,sv,u-8-1
sw4321B-ms98-a-0026,90.794250,91.044250,think,I,sv,u-8-1
sw4321B-ms98-a-0026,91.044250,91.234250,there,I,sv,u-8-1
sw4321B-ms98-a-0026,91.234250,91.394250,ought,I,sv,u-8-1
sw4321B-ms98-a-0026,91.394250,91.464250,to,I,sv,u-8-1
sw4321B-ms98-a-0026,91.464250,91.754250,be,I,sv,u-8-1
sw4321B-ms98-a-0026,91.754250,91.834250,a,I,sv,u-8-1
sw4321B-ms98-a-0026,91.834250,92.475750,unanimous,I,sv,u-8-1
sw4321B-ms98-a-0026,92.585000,92.724250,uh,I,sv,u-8-1
sw4321B-ms98-a-0026,92.724250,92.974250,vote,I,sv,u-8-1
sw4321B-ms98-a-0026,92.974250,93.354250,because,I,sv,u-8-1
sw4321B-ms98-a-0027,94.120125,94.341250,by,I,sv,u-8-1
sw4321B-ms98-a-0027,94.341250,94.773500,law,I,sv,u-8-1
sw4321B-ms98-a-0027,94.863500,95.013500,and,I,sv,u-8-1
sw4321B-ms98-a-0027,95.013500,95.163500,by,I,sv,u-8-1
sw4321B-ms98-a-0027,95.163500,95.843500,constitution,I,sv,u-8-1
sw4321B-ms98-a-0027,95.843500,95.963500,there,I,sv,u-8-1
sw4321B-ms98-a-0027,95.963500,96.273500,must,I,sv,u-8-1
sw4321B-ms98-a-0027,96.273500,96.675375,be,I,sv,u-8-1
sw4321B-ms98-a-0028,97.359750,97.728000,proven,I,sv,u-8-1
sw4321B-ms98-a-0028,97.728000,98.324500,beyond,I,sv,u-8-1
sw4321B-ms98-a-0028,98.324500,98.381000,a,I,sv,u-8-1
sw4321B-ms98-a-0028,98.381000,98.741500,shadow,I,sv,u-8-1
sw4321B-ms98-a-0028,98.741500,98.821500,of,I,sv,u-8-1
sw4321B-ms98-a-0028,98.821500,98.921500,a,I,sv,u-8-1
sw4321B-ms98-a-0028,98.921500,99.361500,reasonable,I,sv,u-8-1
sw4321B-ms98-a-0028,99.361500,99.758125,doubt,I,sv,u-8-1
sw4321B-ms98-a-0028,99.976625,100.131500,that,I,sv,u-8-1
sw4321B-ms98-a-0028,100.131500,100.191500,the,I,sv,u-8-1
sw4321B-ms98-a-0028,100.191500,100.551500,person,I,sv,u-8-1
sw4321B-ms98-a-0028,100.551500,100.621500,in,I,sv,u-8-1
sw4321B-ms98-a-0028,100.621500,101.051500,question,I,sv,u-8-1
