sw2743B-ms98-a-0002,1.951875,2.546625,hi,B,fp,u-2-1
sw2743B-ms98-a-0004,6.623750,6.952125,well,B,sd,u-4-1
sw2743B-ms98-a-0004,6.996375,7.081750,the,I,sd,u-4-1
sw2743B-ms98-a-0004,7.301750,7.621750,only,I,sd,u-4-1
sw2743B-ms98-a-0004,7.621750,7.851750,thing,I,sd,u-4-1
sw2743B-ms98-a-0004,7.851750,8.041750,we've,I,sd,u-4-1
sw2743B-ms98-a-0004,8.041750,8.381750,taken,I,sd,u-4-1
sw2743B-ms98-a-0004,8.381750,8.819875,back,I,sd,u-4-1
sw2743B-ms98-a-0004,8.819875,9.373500,recently,I,sd,u-4-1
sw2743B-ms98-a-0004,9.373500,9.481750,are,I,sd,u-4-1
sw2743B-ms98-a-0004,9.481750,10.329250,plants,I,sd,u-4-1
sw2743B-ms98-a-0004,11.151250,11.854750,shrubbery,B,+,u-6-1
sw2743B-ms98-a-0004,12.338750,12.491750,that,I,+,u-6-1
sw2743B-ms98-a-0004,12.491750,12.651750,were,I,+,u-6-1
sw2743B-ms98-a-0004,12.651750,13.281750,guaranteed,I,+,u-6-1
sw2743B-ms98-a-0004,13.281750,13.391750,and,B,sd,u-6-2
sw2743B-ms98-a-0004,13.391750,13.491750,we,I,sd,u-6-2
sw2743B-ms98-a-0004,13.491750,13.651750,had,I,sd,u-6-2
sw2743B-ms98-a-0004,13.651750,13.811750,no,I,sd,u-6-2
sw2743B-ms98-a-0004,13.811750,14.311750,problem,I,sd,u-6-2
sw2743B-ms98-a-0004,14.311750,14.511750,with,I,sd,u-6-2
sw2743B-ms98-a-0004,14.511750,14.759125,it,I,sd,u-6-2
sw2743B-ms98-a-0004,15.252500,15.341750,we,B,sd,u-8-1
sw2743B-ms98-a-0004,15.341750,15.561750,got,I,sd,u-8-1
sw2743B-ms98-a-0004,15.561750,15.671750,our,I,sd,u-8-1
sw2743B-ms98-a-0004,15.671750,15.928625,mo[ney]-,I,sd,u-8-1
sw2743B-ms98-a-0004,16.201625,16.352500,got,I,sd,u-8-1
sw2743B-ms98-a-0004,16.352500,16.484250,our,I,sd,u-8-1
