sw2991B-ms98-a-0003,7.313625,7.563625,no,B,nn,u-2-1
sw2991B-ms98-a-0003,7.563625,7.633625,i,B,sd^e,u-2-2
sw2991B-ms98-a-0003,7.633625,8.013625,don't,I,sd^e,u-2-2
sw2991B-ms98-a-0003,8.013625,8.223625,not,I,sd^e,u-2-2
sw2991B-ms98-a-0003,8.223625,8.333625,at,I,sd^e,u-2-2
sw2991B-ms98-a-0003,8.333625,8.813625,home,I,sd^e,u-2-2
sw2991B-ms98-a-0003,9.343625,9.489000,i,B,sd,u-4-1
sw2991B-ms98-a-0003,9.489000,9.703625,work,I,sd,u-4-1
sw2991B-ms98-a-0003,9.703625,9.843625,with,I,sd,u-4-1
sw2991B-ms98-a-0003,9.843625,9.983625,them,I,sd,u-4-1
sw2991B-ms98-a-0003,9.983625,10.233625,quite,I,sd,u-4-1
sw2991B-ms98-a-0003,10.233625,10.273625,a,I,sd,u-4-1
sw2991B-ms98-a-0003,10.273625,10.503625,bit,I,sd,u-4-1
sw2991B-ms98-a-0003,10.503625,10.763625,though,I,sd,u-4-1
sw2991B-ms98-a-0005,18.205125,18.485125,oh,B,b,u-6-1
sw2991B-ms98-a-0005,18.485125,18.949000,okay,I,b,u-6-1
sw2991B-ms98-a-0007,23.471250,23.571250,the,O,,
sw2991B-ms98-a-0007,23.571250,23.962750,well,B,sv,u-8-1
sw2991B-ms98-a-0007,24.143500,24.286500,i,I,sv,u-8-1
sw2991B-ms98-a-0007,24.286500,24.482375,think,I,sv,u-8-1
sw2991B-ms98-a-0007,24.482375,24.591250,they're,I,sv,u-8-1
sw2991B-ms98-a-0007,24.591250,25.071250,useful,I,sv,u-8-1
sw2991B-ms98-a-0007,25.071250,25.141250,i,B,sv,u-8-2
sw2991B-ms98-a-0007,25.141250,25.391250,think,I,sv,u-8-2
sw2991B-ms98-a-0007,25.391250,25.681250,they're,I,sv,u-8-2
sw2991B-ms98-a-0008,26.863625,27.103625,in,I,sv,u-8-2
sw2991B-ms98-a-0008,27.103625,27.363625,some,I,sv,u-8-2
sw2991B-ms98-a-0008,27.363625,27.543625,in,I,sv,u-8-2
sw2991B-ms98-a-0008,27.543625,27.803625,some,I,sv,u-8-2
sw2991B-ms98-a-0008,27.803625,28.463625,instances,I,sv,u-8-2
sw2991B-ms98-a-0008,28.463625,28.763625,they're,I,sv,u-8-2
sw2991B-ms98-a-0008,29.243625,29.513625,they're,I,sv,u-8-2
sw2991B-ms98-a-0008,29.513625,29.823625,over,I,sv,u-8-2
sw2991B-ms98-a-0008,29.823625,30.547875,used,I,sv,u-8-2
sw2991B-ms98-a-0009,31.423375,31.623375,well,B,^h,u-8-3
sw2991B-ms98-a-0009,31.623375,31.843375,that's,I,^h,u-8-3
sw2991B-ms98-a-0009,31.843375,32.003375,not,I,^h,u-8-3
sw2991B-ms98-a-0009,32.003375,32.093375,the,I,^h,u-8-3
sw2991B-ms98-a-0009,32.093375,32.333375,right,I,^h,u-8-3
sw2991B-ms98-a-0009,32.333375,32.483375,way,I,^h,u-8-3
sw2991B-ms98-a-0009,32.483375,32.623375,to,I,^h,u-8-3
sw2991B-ms98-a-0009,32.623375,32.903375,say,I,^h,u-8-3
sw2991B-ms98-a-0009,32.903375,33.013375,it,I,^h,u-8-3
sw2991B-ms98-a-0009,33.483375,34.013375,um,O,,
sw2991B-ms98-a-0011,38.350000,38.570000,well,B,na,u-10-1
sw2991B-ms98-a-0011,38.570000,38.650000,i,I,na,u-10-1
sw2991B-ms98-a-0011,38.650000,39.040000,think,I,na,u-10-1
sw2991B-ms98-a-0011,39.040000,39.500000,that,I,na,u-10-1
sw2991B-ms98-a-0011,39.500000,39.858875,uh,I,na,u-10-1
sw2991B-ms98-a-0011,40.088625,40.420000,some,I,na,u-10-1
sw2991B-ms98-a-0011,40.520000,40.800000,some,I,na,u-10-1
sw2991B-ms98-a-0011,40.800000,41.030000,work,I,na,u-10-1
sw2991B-ms98-a-0011,41.030000,41.580000,places,I,na,u-10-1
sw2991B-ms98-a-0011,41.580000,41.750000,where,I,na,u-10-1
sw2991B-ms98-a-0011,41.750000,41.930000,i've,I,na,u-10-1
sw2991B-ms98-a-0011,41.930000,42.270000,been,I,na,u-10-1
sw2991B-ms98-a-0011,43.100000,43.430000,they,I,na,u-10-1
sw2991B-ms98-a-0011,43.430000,43.690000,they,I,na,u-10-1
sw2991B-ms98-a-0011,43.690000,43.890000,set,I,na,u-10-1
sw2991B-ms98-a-0011,43.890000,44.100000,up,I,na,u-10-1
sw2991B-ms98-a-0011,44.100000,44.360000,like,B,sd,u-10-2
sw2991B-ms98-a-0011,44.440000,45.180000,everybody,I,sd,u-10-2
sw2991B-ms98-a-0011,45.180000,45.560000,has,I,sd,u-10-2
sw2991B-ms98-a-0011,45.560000,45.755750,their,I,sd,u-10-2
sw2991B-ms98-a-0011,45.755750,45.985500,own,I,sd,u-10-2
sw2991B-ms98-a-0011,45.985500,46.854500,PC,O,,
sw2991B-ms98-a-0012,47.269500,47.753125,which,B,+,u-12-1
sw2991B-ms98-a-0012,48.018250,48.184500,a,I,+,u-12-1
sw2991B-ms98-a-0012,48.184500,48.409500,lot,I,+,u-12-1
sw2991B-ms98-a-0012,48.409500,48.479500,of,I,+,u-12-1
sw2991B-ms98-a-0012,48.479500,48.849500,times,I,+,u-12-1
sw2991B-ms98-a-0012,48.849500,49.349500,everybody,I,+,u-12-1
sw2991B-ms98-a-0012,49.349500,49.719500,doesn't,I,+,u-12-1
sw2991B-ms98-a-0012,49.719500,49.919500,need,I,+,u-12-1
sw2991B-ms98-a-0012,49.919500,49.959500,a,I,+,u-12-1
sw2991B-ms98-a-0012,49.959500,50.509500,PC,O,,
sw2991B-ms98-a-0012,50.509500,50.659500,and,B,%,u-12-2
sw2991B-ms98-a-0012,50.659500,50.799500,it,I,%,u-12-2
sw2991B-ms98-a-0012,50.799500,51.198875,really,I,%,u-12-2
sw2991B-ms98-a-0012,51.786500,52.229500,without,B,sv,u-12-3
sw2991B-ms98-a-0012,52.229500,52.447000,them,I,sv,u-12-3
sw2991B-ms98-a-0012,52.654125,53.179500,knowing,I,sv,u-12-3
sw2991B-ms98-a-0012,53.179500,53.409500,how,I,sv,u-12-3
sw2991B-ms98-a-0012,53.409500,53.509500,to,I,sv,u-12-3
sw2991B-ms98-a-0012,53.509500,53.849500,use,I,sv,u-12-3
sw2991B-ms98-a-0012,53.849500,53.959500,it,I,sv,u-12-3
sw2991B-ms98-a-0012,53.959500,54.665625,properly,I,sv,u-12-3
sw2991B-ms98-a-0012,55.019625,55.219500,it,I,sv,u-12-3
